teens	16,21	bn:00076359n	http://babelnet.org/rdf/s00076359n	null
March 22	304,312	bn:01295576n	http://babelnet.org/rdf/s01295576n	http://dbpedia.org/resource/March_22
Houston	323,330	bn:00045059n	http://babelnet.org/rdf/s00045059n	http://dbpedia.org/resource/Houston
Photo	333,338	bn:00032381n	http://babelnet.org/rdf/s00032381n	http://dbpedia.org/resource/Photograph
A.	351,353	bn:00000146n	http://babelnet.org/rdf/s00000146n	http://dbpedia.org/resource/A
Image	363,368	bn:00045970n	http://babelnet.org/rdf/s00045970n	http://dbpedia.org/resource/Mental_image
Houston	377,384	bn:00045059n	http://babelnet.org/rdf/s00045059n	http://dbpedia.org/resource/Houston
Police	385,391	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
investigate	392,403	bn:00089885v	http://babelnet.org/rdf/s00089885v	null
scene	408,413	bn:00069550n	http://babelnet.org/rdf/s00069550n	null
men	424,427	bn:00044576n	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
died	428,432	bn:00084343v	http://babelnet.org/rdf/s00084343v	null
gunshot wounds	438,452	bn:00191195n	http://babelnet.org/rdf/s00191195n	http://dbpedia.org/resource/Ballistic_trauma
accidental	459,469	bn:00096263a	http://babelnet.org/rdf/s00096263a	null
shooting	470,478	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
Missionary	486,496	bn:00055327n	http://babelnet.org/rdf/s00055327n	null
Village	497,504	bn:00070724n	http://babelnet.org/rdf/s00070724n	http://dbpedia.org/resource/Human_settlement
Apartment complex	505,522	bn:00004836n	http://babelnet.org/rdf/s00004836n	http://dbpedia.org/resource/Apartment
Wednesday	523,532	bn:00054897n	http://babelnet.org/rdf/s00054897n	http://dbpedia.org/resource/Wednesday
March 22	535,543	bn:01295576n	http://babelnet.org/rdf/s01295576n	http://dbpedia.org/resource/March_22
Houston	554,561	bn:00045059n	http://babelnet.org/rdf/s00045059n	http://dbpedia.org/resource/Houston
Photo	564,569	bn:00032381n	http://babelnet.org/rdf/s00032381n	http://dbpedia.org/resource/Photograph
A.	582,584	bn:00000146n	http://babelnet.org/rdf/s00000146n	http://dbpedia.org/resource/A
Image	594,599	bn:00045970n	http://babelnet.org/rdf/s00045970n	http://dbpedia.org/resource/Mental_image
Houston	608,615	bn:00045059n	http://babelnet.org/rdf/s00045059n	http://dbpedia.org/resource/Houston
Police	616,622	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
investigate	623,634	bn:00089885v	http://babelnet.org/rdf/s00089885v	null
scene	639,644	bn:00069550n	http://babelnet.org/rdf/s00069550n	null
men	655,658	bn:00044576n	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
died	659,663	bn:00084343v	http://babelnet.org/rdf/s00084343v	null
gunshot wounds	669,683	bn:00191195n	http://babelnet.org/rdf/s00191195n	http://dbpedia.org/resource/Ballistic_trauma
accidental	690,700	bn:00096263a	http://babelnet.org/rdf/s00096263a	null
shooting	701,709	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
Missionary	717,727	bn:00055327n	http://babelnet.org/rdf/s00055327n	null
Village	728,735	bn:00070724n	http://babelnet.org/rdf/s00070724n	http://dbpedia.org/resource/Human_settlement
Apartment complex	736,753	bn:00004836n	http://babelnet.org/rdf/s00004836n	http://dbpedia.org/resource/Apartment
Wednesday	754,763	bn:00054897n	http://babelnet.org/rdf/s00054897n	http://dbpedia.org/resource/Wednesday
March 22	766,774	bn:01295576n	http://babelnet.org/rdf/s01295576n	http://dbpedia.org/resource/March_22
Houston	785,792	bn:00045059n	http://babelnet.org/rdf/s00045059n	http://dbpedia.org/resource/Houston
Photo	795,800	bn:00032381n	http://babelnet.org/rdf/s00032381n	http://dbpedia.org/resource/Photograph
A.	813,815	bn:00000146n	http://babelnet.org/rdf/s00000146n	http://dbpedia.org/resource/A
Image	825,830	bn:00045970n	http://babelnet.org/rdf/s00045970n	http://dbpedia.org/resource/Mental_image
men	843,846	bn:00044576n	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
including	849,858	bn:00089660v	http://babelnet.org/rdf/s00089660v	null
old	871,874	bn:00107786a	http://babelnet.org/rdf/s00107786a	null
high school senior	875,893	bn:00184690n	http://babelnet.org/rdf/s00184690n	http://dbpedia.org/resource/Twelfth_grade
dead	900,904	bn:00100948a	http://babelnet.org/rdf/s00100948a	null
gun	915,918	bn:00042221n	http://babelnet.org/rdf/s00042221n	http://dbpedia.org/resource/Gun
playing	929,936	bn:00091708v	http://babelnet.org/rdf/s00091708v	null
went off	942,950	bn:00082164v	http://babelnet.org/rdf/s00082164v	null
Photo	953,958	bn:00032381n	http://babelnet.org/rdf/s00032381n	http://dbpedia.org/resource/Photograph
Metro	961,966	bn:00054667n	http://babelnet.org/rdf/s00054667n	null
Video	967,972	bn:00076373n	http://babelnet.org/rdf/s00076373n	http://dbpedia.org/resource/Television
Image	974,979	bn:00045970n	http://babelnet.org/rdf/s00045970n	http://dbpedia.org/resource/Mental_image
men	992,995	bn:00044576n	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
including	998,1007	bn:00089660v	http://babelnet.org/rdf/s00089660v	null
old	1020,1023	bn:00107786a	http://babelnet.org/rdf/s00107786a	null
high school senior	1024,1042	bn:00184690n	http://babelnet.org/rdf/s00184690n	http://dbpedia.org/resource/Twelfth_grade
dead	1049,1053	bn:00100948a	http://babelnet.org/rdf/s00100948a	null
gun	1064,1067	bn:00042221n	http://babelnet.org/rdf/s00042221n	http://dbpedia.org/resource/Gun
playing	1078,1085	bn:00091708v	http://babelnet.org/rdf/s00091708v	null
went off	1091,1099	bn:00082164v	http://babelnet.org/rdf/s00082164v	null
Photo	1102,1107	bn:00032381n	http://babelnet.org/rdf/s00032381n	http://dbpedia.org/resource/Photograph
Metro	1110,1115	bn:00054667n	http://babelnet.org/rdf/s00054667n	null
Video	1116,1121	bn:00076373n	http://babelnet.org/rdf/s00076373n	http://dbpedia.org/resource/Television
Image	1123,1128	bn:00045970n	http://babelnet.org/rdf/s00045970n	http://dbpedia.org/resource/Mental_image
men	1141,1144	bn:00044576n	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
including	1147,1156	bn:00089660v	http://babelnet.org/rdf/s00089660v	null
old	1169,1172	bn:00107786a	http://babelnet.org/rdf/s00107786a	null
high school senior	1173,1191	bn:00184690n	http://babelnet.org/rdf/s00184690n	http://dbpedia.org/resource/Twelfth_grade
dead	1198,1202	bn:00100948a	http://babelnet.org/rdf/s00100948a	null
gun	1213,1216	bn:00042221n	http://babelnet.org/rdf/s00042221n	http://dbpedia.org/resource/Gun
playing	1227,1234	bn:00091708v	http://babelnet.org/rdf/s00091708v	null
went off	1240,1248	bn:00082164v	http://babelnet.org/rdf/s00082164v	null
Photo	1251,1256	bn:00032381n	http://babelnet.org/rdf/s00032381n	http://dbpedia.org/resource/Photograph
Metro	1259,1264	bn:00054667n	http://babelnet.org/rdf/s00054667n	null
Video	1265,1270	bn:00076373n	http://babelnet.org/rdf/s00076373n	http://dbpedia.org/resource/Television
Image	1272,1277	bn:00045970n	http://babelnet.org/rdf/s00045970n	http://dbpedia.org/resource/Mental_image
men	1290,1293	bn:00044576n	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
including	1296,1305	bn:00089660v	http://babelnet.org/rdf/s00089660v	null
old	1318,1321	bn:00107786a	http://babelnet.org/rdf/s00107786a	null
high school senior	1322,1340	bn:00184690n	http://babelnet.org/rdf/s00184690n	http://dbpedia.org/resource/Twelfth_grade
dead	1347,1351	bn:00100948a	http://babelnet.org/rdf/s00100948a	null
gun	1362,1365	bn:00042221n	http://babelnet.org/rdf/s00042221n	http://dbpedia.org/resource/Gun
playing	1376,1383	bn:00091708v	http://babelnet.org/rdf/s00091708v	null
went off	1389,1397	bn:00082164v	http://babelnet.org/rdf/s00082164v	null
Photo	1400,1405	bn:00032381n	http://babelnet.org/rdf/s00032381n	http://dbpedia.org/resource/Photograph
Metro	1408,1413	bn:00054667n	http://babelnet.org/rdf/s00054667n	null
Video	1414,1419	bn:00076373n	http://babelnet.org/rdf/s00076373n	http://dbpedia.org/resource/Television
Image	1421,1426	bn:00045970n	http://babelnet.org/rdf/s00045970n	http://dbpedia.org/resource/Mental_image
men	1439,1442	bn:00044576n	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
including	1445,1454	bn:00089660v	http://babelnet.org/rdf/s00089660v	null
old	1467,1470	bn:00107786a	http://babelnet.org/rdf/s00107786a	null
high school senior	1471,1489	bn:00184690n	http://babelnet.org/rdf/s00184690n	http://dbpedia.org/resource/Twelfth_grade
dead	1496,1500	bn:00100948a	http://babelnet.org/rdf/s00100948a	null
gun	1511,1514	bn:00042221n	http://babelnet.org/rdf/s00042221n	http://dbpedia.org/resource/Gun
playing	1525,1532	bn:00091708v	http://babelnet.org/rdf/s00091708v	null
went off	1538,1546	bn:00082164v	http://babelnet.org/rdf/s00082164v	null
Photo	1549,1554	bn:00032381n	http://babelnet.org/rdf/s00032381n	http://dbpedia.org/resource/Photograph
Metro	1557,1562	bn:00054667n	http://babelnet.org/rdf/s00054667n	null
Video	1563,1568	bn:00076373n	http://babelnet.org/rdf/s00076373n	http://dbpedia.org/resource/Television
Image	1570,1575	bn:00045970n	http://babelnet.org/rdf/s00045970n	http://dbpedia.org/resource/Mental_image
men	1588,1591	bn:00044576n	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
including	1594,1603	bn:00089660v	http://babelnet.org/rdf/s00089660v	null
old	1616,1619	bn:00107786a	http://babelnet.org/rdf/s00107786a	null
high school senior	1620,1638	bn:00184690n	http://babelnet.org/rdf/s00184690n	http://dbpedia.org/resource/Twelfth_grade
dead	1645,1649	bn:00100948a	http://babelnet.org/rdf/s00100948a	null
gun	1660,1663	bn:00042221n	http://babelnet.org/rdf/s00042221n	http://dbpedia.org/resource/Gun
playing	1674,1681	bn:00091708v	http://babelnet.org/rdf/s00091708v	null
went off	1687,1695	bn:00082164v	http://babelnet.org/rdf/s00082164v	null
Photo	1698,1703	bn:00032381n	http://babelnet.org/rdf/s00032381n	http://dbpedia.org/resource/Photograph
Metro	1706,1711	bn:00054667n	http://babelnet.org/rdf/s00054667n	null
Video	1712,1717	bn:00076373n	http://babelnet.org/rdf/s00076373n	http://dbpedia.org/resource/Television
Image	1719,1724	bn:00045970n	http://babelnet.org/rdf/s00045970n	http://dbpedia.org/resource/Mental_image
men	1738,1741	bn:00044576n	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
including	1744,1753	bn:00089660v	http://babelnet.org/rdf/s00089660v	null
old	1766,1769	bn:00107786a	http://babelnet.org/rdf/s00107786a	null
high school senior	1770,1788	bn:00184690n	http://babelnet.org/rdf/s00184690n	http://dbpedia.org/resource/Twelfth_grade
dead	1795,1799	bn:00100948a	http://babelnet.org/rdf/s00100948a	null
gun	1810,1813	bn:00042221n	http://babelnet.org/rdf/s00042221n	http://dbpedia.org/resource/Gun
playing	1824,1831	bn:00091708v	http://babelnet.org/rdf/s00091708v	null
went off	1837,1845	bn:00082164v	http://babelnet.org/rdf/s00082164v	null
Photo	1848,1853	bn:00032381n	http://babelnet.org/rdf/s00032381n	http://dbpedia.org/resource/Photograph
Metro	1856,1861	bn:00054667n	http://babelnet.org/rdf/s00054667n	null
Video	1862,1867	bn:00076373n	http://babelnet.org/rdf/s00076373n	http://dbpedia.org/resource/Television
