gunshot wounds	787,801	bn:00191195n	http://babelnet.org/rdf/s00191195n	http://dbpedia.org/resource/Ballistic_trauma
autopsy	808,815	bn:00007393n	http://babelnet.org/rdf/s00007393n	http://dbpedia.org/resource/Autopsy
performed	825,834	bn:00087107v	http://babelnet.org/rdf/s00087107v	null
Caddo	840,845	bn:00014517n	http://babelnet.org/rdf/s00014517n	http://dbpedia.org/resource/Caddo
schools	846,853	bn:00069619n	http://babelnet.org/rdf/s00069619n	http://dbpedia.org/resource/School
officials	854,863	bn:00036837n	http://babelnet.org/rdf/s00036837n	http://dbpedia.org/resource/Official
aware	879,884	bn:00097879a	http://babelnet.org/rdf/s00097879a	null
tragic	892,898	bn:00112046a	http://babelnet.org/rdf/s00112046a	null
loss	899,903	bn:00052050n	http://babelnet.org/rdf/s00052050n	null
Southwood High School	909,930	bn:01836277n	http://babelnet.org/rdf/s01836277n	http://dbpedia.org/resource/Caddo_Parish,_Louisiana
High School student	919,938	bn:00044028n	http://babelnet.org/rdf/s00044028n	http://dbpedia.org/resource/High_school
weekend	948,955	bn:00080816n	http://babelnet.org/rdf/s00080816n	http://dbpedia.org/resource/Workweek_and_weekend
says	960,964	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
statement	967,976	bn:00074033n	http://babelnet.org/rdf/s00074033n	null
School District	981,996	bn:00069631n	http://babelnet.org/rdf/s00069631n	http://dbpedia.org/resource/School_district
released	997,1005	bn:00084099v	http://babelnet.org/rdf/s00084099v	null
Monday	1006,1012	bn:00055609n	http://babelnet.org/rdf/s00055609n	http://dbpedia.org/resource/Monday
afternoon	1013,1022	bn:00001875n	http://babelnet.org/rdf/s00001875n	http://dbpedia.org/resource/Afternoon
thoughts	1032,1040	bn:00017339n	http://babelnet.org/rdf/s00017339n	http://dbpedia.org/resource/Thought
prayers	1045,1052	bn:00064038n	http://babelnet.org/rdf/s00064038n	null
student	1066,1073	bn:00029806n	http://babelnet.org/rdf/s00029806n	http://dbpedia.org/resource/Student
family	1077,1083	bn:00032893n	http://babelnet.org/rdf/s00032893n	http://dbpedia.org/resource/Family
friends	1086,1093	bn:00036538n	http://babelnet.org/rdf/s00036538n	null
teachers	1096,1104	bn:00046958n	http://babelnet.org/rdf/s00046958n	http://dbpedia.org/resource/Teacher
classmates	1109,1119	bn:00019501n	http://babelnet.org/rdf/s00019501n	null
death	1127,1132	bn:00025582n	http://babelnet.org/rdf/s00025582n	http://dbpedia.org/resource/Death
student	1138,1145	bn:00029806n	http://babelnet.org/rdf/s00029806n	http://dbpedia.org/resource/Student
ripple effect	1152,1165	bn:00325118n	http://babelnet.org/rdf/s00325118n	http://dbpedia.org/resource/Ripple_effect
school	1171,1177	bn:00069619n	http://babelnet.org/rdf/s00069619n	http://dbpedia.org/resource/School
community	1178,1187	bn:00021248n	http://babelnet.org/rdf/s00021248n	http://dbpedia.org/resource/Community
The School	1193,1203	bn:00069619n	http://babelnet.org/rdf/s00069619n	http://dbpedia.org/resource/School
School District	1197,1212	bn:00069631n	http://babelnet.org/rdf/s00069631n	http://dbpedia.org/resource/School_district
providing	1216,1225	bn:00088643v	http://babelnet.org/rdf/s00088643v	null
counseling	1226,1236	bn:00082415v	http://babelnet.org/rdf/s00082415v	null
services	1237,1245	bn:00070651n	http://babelnet.org/rdf/s00070651n	http://dbpedia.org/resource/Service_(economics)
students	1249,1257	bn:00029806n	http://babelnet.org/rdf/s00029806n	http://dbpedia.org/resource/Student
staffers	1262,1270	bn:00073807n	http://babelnet.org/rdf/s00073807n	null
Southwood	1274,1283	bn:00266162n	http://babelnet.org/rdf/s00266162n	http://dbpedia.org/resource/Southwood,_Edmonton
High	1284,1288	bn:00044028n	http://babelnet.org/rdf/s00044028n	http://dbpedia.org/resource/High_school
dark	1296,1300	bn:00100902a	http://babelnet.org/rdf/s00100902a	null
blue	1301,1305	bn:00098606a	http://babelnet.org/rdf/s00098606a	null
Toyota	1306,1312	bn:00077809n	http://babelnet.org/rdf/s00077809n	http://dbpedia.org/resource/Toyota
Camry	1313,1318	bn:03606178n	http://babelnet.org/rdf/s03606178n	http://dbpedia.org/resource/Toyota_Camry
found	1323,1328	bn:00084231v	http://babelnet.org/rdf/s00084231v	null
doors	1343,1348	bn:00028247n	http://babelnet.org/rdf/s00028247n	http://dbpedia.org/resource/Door
open	1349,1353	bn:00107879a	http://babelnet.org/rdf/s00107879a	null
leading	1356,1363	bn:00085567v	http://babelnet.org/rdf/s00085567v	null
investigators	1364,1377	bn:00047356n	http://babelnet.org/rdf/s00047356n	null
believe	1381,1388	bn:00083373v	http://babelnet.org/rdf/s00083373v	null
occupants	1406,1415	bn:00058564n	http://babelnet.org/rdf/s00058564n	null
vehicle	1423,1430	bn:00079675n	http://babelnet.org/rdf/s00079675n	http://dbpedia.org/resource/Vehicle
fled	1439,1443	bn:00088291v	http://babelnet.org/rdf/s00088291v	null
Camry	1451,1456	bn:03606178n	http://babelnet.org/rdf/s03606178n	http://dbpedia.org/resource/Toyota_Camry
reported	1461,1469	bn:00082233v	http://babelnet.org/rdf/s00082233v	null
stolen	1470,1476	bn:00094314v	http://babelnet.org/rdf/s00094314v	null
Jan.	1477,1481	bn:00047960n	http://babelnet.org/rdf/s00047960n	http://dbpedia.org/resource/January
arrest	1491,1497	bn:00946750n	http://babelnet.org/rdf/s00946750n	http://dbpedia.org/resource/Arrest
Authorities	1515,1526	bn:00001961n	http://babelnet.org/rdf/s00001961n	http://dbpedia.org/resource/Government_agency
urge	1527,1531	bn:00087843v	http://babelnet.org/rdf/s00087843v	null
information	1548,1559	bn:00046705n	http://babelnet.org/rdf/s00046705n	http://dbpedia.org/resource/Information
slaying	1570,1577	bn:00084236v	http://babelnet.org/rdf/s00084236v	null
call	1581,1585	bn:00084385v	http://babelnet.org/rdf/s00084385v	null
Shreveport	1586,1596	bn:00720468n	http://babelnet.org/rdf/s00720468n	http://dbpedia.org/resource/Shreveport,_Louisiana
police	1597,1603	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
homicide detectives	1604,1623	bn:00026633n	http://babelnet.org/rdf/s00026633n	http://dbpedia.org/resource/Detective
Copyright	1649,1658	bn:00022536n	http://babelnet.org/rdf/s00022536n	http://dbpedia.org/resource/Copyright
KSLA	1664,1668	bn:01450961n	http://babelnet.org/rdf/s01450961n	http://dbpedia.org/resource/KSLA
rights	1674,1680	bn:00067807n	http://babelnet.org/rdf/s00067807n	http://dbpedia.org/resource/Rights
reserved	1681,1689	bn:00092878v	http://babelnet.org/rdf/s00092878v	null
