     2017-03-30	        CD	      S-NP	         O	              -	(S1(NP*))

              1	        CD	      B-NP	         O	              -	      B-A1	(S1(X(NP(NP*
         inside	        IN	      S-PP	         O	              -	      I-A3	(PP*
              a	        DT	      B-NP	         O	              -	      I-A3	(NP*
            car	        NN	      E-NP	         O	              -	      I-A3	*))
           from	        IN	      S-PP	         O	              -	      I-A3	(PP*
             an	        DT	      B-NP	         O	              -	      I-A3	(NP*
       apparent	        JJ	      I-NP	         O	              -	      I-A3	*
        gunshot	        NN	      I-NP	         O	              -	      I-A3	*
          wound	        NN	      E-NP	         O	              -	      E-A3	*))))
              .	         .	         O	         O	              -	         O	*))

              A	        DT	      B-NP	         O	              -	      B-A1	(S1(S(NP*
        20-year	        JJ	      I-NP	         O	              -	      I-A1	*
            old	        JJ	      I-NP	         O	              -	      I-A1	*
           male	        NN	      I-NP	         O	              -	      I-A1	*
         victim	        NN	      E-NP	         O	              -	      E-A1	*)
            was	       VBD	      B-VP	         O	              -	         O	(VP*
    transported	       VBN	      E-VP	         O	    transported	       S-V	(VP*
             to	        TO	      S-PP	         O	              -	      B-A3	(PP*
            the	        DT	      B-NP	         O	              -	      I-A3	(NP*
       hospital	        NN	      E-NP	         O	              -	      E-A3	*))
           with	        IN	      S-PP	         O	              -	  B-AM-MNR	(PP*
            non	        JJ	      B-NP	         O	              -	  I-AM-MNR	(S(NP(ADJP*
              -	         :	      I-NP	         O	              -	  I-AM-MNR	*)
           life	        NN	      E-NP	         O	              -	  I-AM-MNR	(NP*))
    threatening	        JJ	      B-NP	         O	              -	  I-AM-MNR	(VP*
       injuries	       NNS	      E-NP	         O	              -	  E-AM-MNR	(NP*))))))
              .	         .	         O	         O	              -	         O	*))

             No	        DT	      B-NP	         O	              -	      B-A1	(S1(S(NP*
         arrest	        NN	      E-NP	         O	              -	      E-A1	*)
           have	       VBP	      B-VP	         O	              -	         O	(VP*
           been	       VBN	      I-VP	         O	              -	         O	(VP*
           made	       VBN	      E-VP	         O	           made	       S-V	(VP*
             so	        RB	    B-ADVP	         O	              -	  B-AM-TMP	(ADVP*
            far	        RB	    E-ADVP	         O	              -	  E-AM-TMP	*))))
              .	         .	         O	         O	              -	         O	*))

        Members	       NNS	      S-NP	         O	              -	      B-A2	(S1(S(NP(NP*)
             of	        IN	      S-PP	         O	              -	      I-A2	(PP*
            the	        DT	      B-NP	         O	              -	      I-A2	(NP*
        Violent	       NNP	      I-NP	     B-ORG	              -	      I-A2	*
         Crimes	      NNPS	      I-NP	     I-ORG	              -	      I-A2	*
         Bureau	       NNP	      E-NP	     E-ORG	              -	      E-A2	*)))
            are	       VBP	      B-VP	         O	              -	         O	(VP*
      following	       VBG	      E-VP	         O	      following	       S-V	(VP*
            all	        DT	      B-NP	         O	              -	      B-A2	(NP*
     actionable	        JJ	      I-NP	         O	              -	      I-A2	*
          leads	       NNS	      E-NP	         O	              -	      E-A2	*)))
              .	         .	         O	         O	              -	         O	*))

