     2017-01-10	        CD	      S-NP	         O	              -	(S1(NP*))

           Teen	       NNP	      B-NP	         O	              -	(S1(X(NP(NP*
           Dies	       NNP	      E-NP	         O	              -	*)
             Of	        IN	      S-PP	         O	              -	(PP*
           Self	       NNP	      B-NP	         O	              -	(NP*)))
              -	         :	      I-NP	         O	              -	*
      Inflicted	       VBN	      I-NP	         O	              -	(S(VP*
        Gunshot	       NNP	      I-NP	         O	              -	(NP*
          Wound	       NNP	      E-NP	         O	              -	*)))))

             In	        IN	      S-PP	         O	              -	(S1(PP(ADVP*)
       Valencia	       NNP	      S-NP	     S-LOC	              -	(NP*)))

         Mental	        JJ	      B-NP	         O	              -	      B-A0	      B-A0	      B-A1	         O	(S1(S(NP*
         health	        NN	      I-NP	         O	              -	      I-A0	      I-A0	      I-A1	         O	*
      officials	       NNS	      E-NP	         O	              -	      E-A0	      E-A0	      I-A1	         O	*)
            are	       VBP	      B-VP	         O	              -	         O	         O	      I-A1	         O	(VP*
        working	       VBG	      I-VP	         O	        working	       S-V	         O	      I-A1	         O	(VP*
             to	        TO	      I-VP	         O	              -	      B-A1	         O	      I-A1	         O	(S(VP*
          raise	        VB	      E-VP	         O	          raise	      I-A1	       S-V	      I-A1	         O	(VP*
      awareness	        NN	      S-NP	         O	              -	      I-A1	      B-A1	      I-A1	         O	(NP(NP*)
          about	        IN	      S-PP	         O	              -	      I-A1	      I-A1	      I-A1	         O	(PP*
      community	        NN	      B-NP	         O	              -	      I-A1	      I-A1	      I-A1	         O	(NP*
      resources	       NNS	      E-NP	         O	              -	      E-A1	      E-A1	      I-A1	         O	*)))
          after	        IN	      S-PP	         O	              -	  B-AM-TMP	  B-AM-TMP	      I-A1	         O	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	      I-A1	      B-A0	(NP*
        14-year	        JJ	      I-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	      I-A1	      I-A0	(ADJP*
              -	         :	      I-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	      I-A1	      I-A0	*
            old	        JJ	      I-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	      I-A1	      I-A0	*)
            boy	        NN	      E-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	      E-A1	      E-A0	*)))))))
            was	       VBD	      B-VP	         O	              -	  I-AM-TMP	  I-AM-TMP	         O	         O	(VP*
          found	       VBN	      E-VP	         O	          found	  I-AM-TMP	  I-AM-TMP	       S-V	         O	(VP*
           dead	        JJ	      B-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	  B-AM-TMP	         O	(NP(NP(NP*
         Sunday	       NNP	      E-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	  E-AM-TMP	         O	*)
           from	        IN	      S-PP	         O	              -	  I-AM-TMP	  I-AM-TMP	      B-A3	         O	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	      I-A3	         O	(NP*
           self	        NN	      I-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	      I-A3	         O	*
              -	         :	      I-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	      I-A3	         O	*)))
      inflicted	       VBN	      I-NP	         O	      inflicted	  I-AM-TMP	  I-AM-TMP	      I-A3	       S-V	(VP*
        gunshot	        NN	      I-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	      I-A3	      B-A1	(NP*
          wound	        NN	      E-NP	         O	              -	  E-AM-TMP	  E-AM-TMP	      E-A3	      E-A1	*)))))
              .	         .	         O	         O	              -	         O	         O	         O	         O	*))

            The	        DT	      B-NP	         O	              -	         O	(S1(S(NP*
          death	        NN	      E-NP	         O	              -	         O	*)
             is	       VBZ	      S-VP	         O	              -	         O	(VP*
            the	        DT	      B-NP	         O	              -	      B-A0	(NP(NP*
         second	        JJ	      E-NP	         O	              -	      E-A0	*)
      suspected	       VBN	      S-VP	         O	      suspected	       S-V	(VP*
           from	        IN	      S-PP	         O	              -	      B-A2	(PP*
           such	        JJ	      B-NP	         O	              -	      I-A2	(NP(NP*
          means	       NNS	      E-NP	         O	              -	      E-A2	*)
             in	        IN	      S-PP	         O	              -	  B-AM-TMP	(PP*
           2017	        CD	      S-NP	         O	              -	  E-AM-TMP	(NP*)))))))
              .	         .	         O	         O	              -	         O	*))

            The	        DT	      B-NP	         O	              -	         O	      B-A1	(S1(S(S(NP(NP*
            the	        DT	      B-NP	         O	              -	  I-AM-ADV	  I-AM-LOC	(NP(NP*
            age	        NN	      E-NP	         O	              -	  I-AM-ADV	  I-AM-LOC	*)
             of	        IN	      S-PP	         O	              -	  I-AM-ADV	  I-AM-LOC	(PP*
             16	        CD	      S-NP	         O	              -	  I-AM-ADV	  I-AM-LOC	(NP*))))
             in	        IN	      S-PP	         O	              -	  I-AM-ADV	  I-AM-LOC	(PP*
           2016	        CD	      S-NP	         O	              -	  E-AM-ADV	  E-AM-LOC	(NP*))))))))
              .	         .	         O	         O	              -	         O	         O	*))

     Paramedics	       NNS	      S-NP	         O	              -	      S-A1	         O	(S1(S(S(NP*)
           were	       VBD	      B-VP	         O	              -	         O	         O	(VP*
     dispatched	       VBN	      E-VP	         O	     dispatched	       S-V	         O	(VP*
             to	        TO	      S-PP	         O	              -	      B-A2	         O	(PP*
            the	        DT	      B-NP	         O	              -	      I-A2	         O	(NP*
           home	        NN	      E-NP	         O	              -	      E-A2	         O	*))
             at	        IN	      S-PP	         O	              -	  B-AM-TMP	         O	(PP*
           4:42	        CD	      B-NP	         O	              -	  I-AM-TMP	         O	(NP*
           p.m.	        NN	      I-NP	         O	              -	  I-AM-TMP	         O	*))
         Sunday	       NNP	      E-NP	         O	              -	  E-AM-TMP	         O	(S(NP*)
      regarding	       VBG	      S-PP	         O	              -	  B-AM-ADV	         O	(VP*
              a	        DT	      B-NP	         O	              -	  I-AM-ADV	         O	(NP(NP*
        patient	        NN	      E-NP	         O	              -	  I-AM-ADV	         O	*)
           with	        IN	      S-PP	         O	              -	  I-AM-ADV	         O	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-ADV	         O	(NP*
        gunshot	        NN	      I-NP	         O	              -	  I-AM-ADV	         O	*
          wound	        NN	      E-NP	         O	              -	  E-AM-ADV	         O	*)))
              ,	         ,	         O	         O	              -	         O	         O	*
      according	       VBG	      S-PP	         O	              -	         O	         O	(PP*
             to	        TO	      S-PP	         O	              -	         O	         O	(PP*
            Los	       NNP	      B-NP	     B-ORG	              -	         O	         O	(NP*
        Angeles	       NNP	      I-NP	     I-ORG	              -	         O	         O	*
         County	       NNP	      I-NP	     I-ORG	              -	         O	         O	*
           Fire	       NNP	      I-NP	     I-ORG	              -	         O	         O	*
     Department	       NNP	      I-NP	     E-ORG	              -	         O	         O	*
      officials	       NNS	      E-NP	         O	              -	         O	         O	*))))))))
              ,	         ,	         O	         O	              -	         O	         O	*
            but	        CC	         O	         O	              -	         O	         O	*
            the	        DT	      B-NP	         O	              -	         O	      B-A1	(S(NP*
        patient	        NN	      E-NP	         O	              -	         O	      E-A1	*)
            had	       VBD	      B-VP	         O	              -	         O	         O	(VP*
        already	        RB	      I-VP	         O	              -	         O	  S-AM-TMP	(ADVP*)
           died	       VBN	      E-VP	         O	           died	         O	       S-V	(VP*)))
              .	         .	         O	         O	              -	         O	         O	*))

           2017	        CD	      S-NP	         O	              -	      S-A1	      S-A1	         O	(S1(S(NP*)
          seems	       VBZ	      B-VP	         O	          seems	       S-V	         O	         O	(VP*
             to	        TO	      I-VP	         O	              -	    B-C-A1	         O	         O	(S(VP*
             be	        VB	      E-VP	         O	              -	    I-C-A1	         O	         O	(VP*
      following	       VBG	      S-PP	         O	      following	    I-C-A1	       S-V	         O	(VP*
            the	        DT	      B-NP	         O	              -	    I-C-A1	      B-A2	         O	(NP(NP*
      troubling	        JJ	      I-NP	         O	              -	    I-C-A1	      I-A2	         O	*
        pattern	        NN	      E-NP	         O	              -	    I-C-A1	      I-A2	         O	*)
             of	        IN	      S-PP	         O	              -	    I-C-A1	      I-A2	         O	(PP*
           2016	        CD	      S-NP	         O	              -	    I-C-A1	      E-A2	         O	(NP*)))
             so	        RB	    B-ADVP	         O	              -	    I-C-A1	  B-AM-TMP	         O	(ADVP(ADVP*
            far	        RB	    E-ADVP	         O	              -	    I-C-A1	  E-AM-TMP	         O	*)
              ,	         ,	         O	         O	              -	    I-C-A1	         O	         O	*
           when	       WRB	    S-ADVP	         O	              -	    I-C-A1	  B-AM-TMP	S-R-AM-TMP	(SBAR(WHADVP*)
            the	        DT	      B-NP	         O	              -	    I-C-A1	  I-AM-TMP	      B-A0	(S(NP*
          first	        JJ	      I-NP	         O	              -	    I-C-A1	  I-AM-TMP	      I-A0	*
            few	        JJ	      I-NP	         O	              -	    I-C-A1	  I-AM-TMP	      I-A0	*
         months	       NNS	      E-NP	         O	              -	    I-C-A1	  I-AM-TMP	      E-A0	*)
            had	       VBD	      S-VP	         O	            had	    I-C-A1	  I-AM-TMP	       S-V	(VP*
            the	        DT	      B-NP	         O	              -	    I-C-A1	  I-AM-TMP	      B-A1	(NP(NP*
        suicide	        NN	      I-NP	         O	              -	    I-C-A1	  I-AM-TMP	      I-A1	*
           rate	        NN	      E-NP	         O	              -	    I-C-A1	  I-AM-TMP	      I-A1	*)
             on	        IN	      S-PP	         O	              -	    I-C-A1	  I-AM-TMP	      I-A1	(PP*
          track	        NN	      S-NP	         O	              -	    I-C-A1	  I-AM-TMP	      I-A1	(NP*)))
             to	        TO	      S-PP	         O	              -	    I-C-A1	  I-AM-TMP	      I-A1	(PP*
    potentially	        RB	    B-ADJP	         O	              -	    I-C-A1	  I-AM-TMP	      I-A1	(ADJP*
         double	        JJ	    E-ADJP	         O	              -	    E-C-A1	  E-AM-TMP	      E-A1	*)))))))))))
              .	         .	         O	         O	              -	         O	         O	         O	*))

            The	        DT	      B-NP	         O	              -	      B-A0	      B-A2	         O	         O	(S1(S(NP*
        numbers	       NNS	      E-NP	         O	              -	      E-A0	      E-A2	         O	         O	*)
         raised	       VBD	      S-VP	         O	         raised	       S-V	         O	         O	         O	(VP(VP*
         alarms	       NNS	      S-NP	         O	              -	      S-A1	         O	         O	         O	(NP*))
            and	        CC	         O	         O	              -	         O	         O	         O	         O	*
        spurred	       VBD	      S-VP	         O	        spurred	         O	       S-V	         O	         O	(VP*
        renewed	       VBN	      B-NP	         O	        renewed	         O	      B-A1	       S-V	         O	(NP(NP*
        efforts	       NNS	      E-NP	         O	              -	         O	      I-A1	      S-A1	         O	*)
             by	        IN	      S-PP	         O	              -	         O	      I-A1	         O	         O	(PP*
          Santa	       NNP	      B-NP	     B-LOC	              -	         O	      I-A1	         O	      B-A0	(NP(NP*
        Clarita	       NNP	      I-NP	     E-LOC	              -	         O	      I-A1	         O	      I-A0	*
      officials	       NNS	      E-NP	         O	              -	         O	      I-A1	         O	      E-A0	*)
              ,	         ,	         O	         O	              -	         O	      I-A1	         O	         O	*
            who	        WP	      S-NP	         O	              -	         O	      I-A1	         O	    S-R-A0	(SBAR(WHNP*)
            are	       VBP	      B-VP	         O	              -	         O	      I-A1	         O	         O	(S(VP*
        working	       VBG	      E-VP	         O	        working	         O	      I-A1	         O	       S-V	(VP*
           with	        IN	      S-PP	         O	              -	         O	      I-A1	         O	      B-A1	(PP*
      community	        NN	      B-NP	         O	              -	         O	      I-A1	         O	      I-A1	(NP*
       partners	       NNS	      E-NP	         O	              -	         O	      I-A1	         O	      I-A1	*))
              ,	         ,	         O	         O	              -	         O	      I-A1	         O	      I-A1	*
           such	        JJ	      B-PP	         O	              -	  B-AM-LOC	      I-A1	         O	      I-A1	(PP*
             as	        IN	      E-PP	         O	              -	  I-AM-LOC	      I-A1	         O	      I-A1	*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	      I-A1	         O	      I-A1	(NP(NP*
        Sheriff	       NNP	      I-NP	     B-LOC	              -	  I-AM-LOC	      I-A1	         O	      I-A1	*
           ’s	        JJ	      I-NP	     I-LOC	              -	  I-AM-LOC	      I-A1	         O	      I-A1	*
        Station	       NNP	      I-NP	     I-LOC	              -	  I-AM-LOC	      I-A1	         O	      I-A1	*)
            and	        CC	      I-NP	     I-LOC	              -	  I-AM-LOC	      I-A1	         O	      I-A1	*
        College	       NNP	      E-NP	     I-LOC	              -	  I-AM-LOC	      I-A1	         O	      I-A1	(NP(NP*)
             of	        IN	      S-PP	     I-LOC	              -	  I-AM-LOC	      I-A1	         O	      I-A1	(PP*
            the	        DT	      B-NP	     I-LOC	              -	  I-AM-LOC	      I-A1	         O	      I-A1	(NP*
        Canyons	      NNPS	      E-NP	     E-LOC	              -	  I-AM-LOC	      I-A1	         O	      I-A1	*)))))
              ,	         ,	         O	         O	              -	  I-AM-LOC	      I-A1	         O	      I-A1	*
           with	        IN	      S-PP	         O	              -	  I-AM-LOC	      I-A1	         O	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	      I-A1	         O	      I-A1	(NP(NP*
           Blue	       NNP	      I-NP	     B-ORG	              -	  I-AM-LOC	      I-A1	         O	      I-A1	*
         Ribbon	       NNP	      I-NP	     I-ORG	              -	  I-AM-LOC	      I-A1	         O	      I-A1	*
           Task	       NNP	      I-NP	     I-ORG	              -	  I-AM-LOC	      I-A1	         O	      I-A1	*
          Force	       NNP	      I-NP	     I-ORG	              -	  I-AM-LOC	      I-A1	         O	      I-A1	*
   Subcommittee	       NNP	      E-NP	     E-ORG	              -	  I-AM-LOC	      I-A1	         O	      I-A1	*)
             on	        IN	      S-PP	         O	              -	  I-AM-LOC	      I-A1	         O	      I-A1	(PP*
        Suicide	       NNP	      B-NP	         O	              -	  I-AM-LOC	      I-A1	         O	      I-A1	(NP*
     Prevention	       NNP	      E-NP	         O	              -	  E-AM-LOC	      E-A1	         O	      E-A1	*)))))))))))))
              .	         .	         O	         O	              -	         O	         O	         O	         O	*))

            “	        NN	      S-NP	         O	              -	         O	         O	      B-A1	         O	         O	         O	         O	(S1(S(S(NP(NP(NP(NP*)
             We	       PRP	      S-NP	         O	              -	      S-A0	         O	      I-A1	         O	         O	         O	         O	(SBAR(S(NP*)
           have	       VBP	      S-VP	         O	           have	       S-V	         O	      I-A1	         O	         O	         O	         O	(VP*
             an	        DT	      B-NP	         O	              -	      B-A1	         O	      I-A1	         O	         O	         O	         O	(NP(NP*
       advisory	        JJ	      I-NP	         O	              -	      I-A1	         O	      I-A1	         O	         O	         O	         O	*
      committee	        NN	      E-NP	         O	              -	      I-A1	         O	      I-A1	         O	         O	         O	         O	*)
             on	        IN	      S-PP	         O	              -	      I-A1	         O	      I-A1	         O	         O	         O	         O	(PP*
        suicide	        NN	      B-NP	         O	              -	      I-A1	         O	      I-A1	         O	         O	         O	         O	(NP*
     prevention	        NN	      E-NP	         O	              -	      E-A1	         O	      I-A1	         O	         O	         O	         O	*)))))))
              ,	         ,	         O	         O	              -	         O	         O	      I-A1	         O	         O	         O	         O	*)
            and	        CC	         O	         O	              -	         O	         O	      I-A1	         O	         O	         O	         O	*
             we	       PRP	      S-NP	         O	              -	         O	      S-A0	      I-A1	         O	         O	         O	         O	(NP*))
           have	       VBP	      B-VP	         O	              -	         O	         O	      I-A1	         O	         O	         O	         O	(VP*
      developed	       VBN	      E-VP	         O	      developed	         O	       S-V	      I-A1	         O	         O	         O	         O	(VP*
              a	        DT	      B-NP	         O	              -	         O	      B-A1	      I-A1	         O	         O	         O	         O	(NP(NP*
      coalition	        NN	      E-NP	         O	              -	         O	      I-A1	      I-A1	         O	         O	         O	         O	*)
             of	        IN	      S-PP	         O	              -	         O	      I-A1	      I-A1	         O	         O	         O	         O	(PP*
      resources	       NNS	      S-NP	         O	              -	         O	      I-A1	      I-A1	         O	         O	         O	         O	(NP*))
           that	       WDT	      S-NP	         O	              -	         O	      I-A1	      I-A1	         O	         O	         O	         O	(SBAR(WHNP*)
            are	       VBP	      S-VP	         O	              -	         O	      I-A1	      I-A1	         O	         O	         O	         O	(S(VP*
      available	        JJ	    S-ADJP	         O	              -	         O	      I-A1	      I-A1	         O	         O	         O	         O	(ADJP*
             to	        TO	      S-PP	         O	              -	         O	      I-A1	      I-A1	         O	         O	         O	         O	(PP*
            our	      PRP$	      B-NP	         O	              -	         O	      I-A1	      I-A1	         O	         O	         O	         O	(NP*
      community	        NN	      E-NP	         O	              -	         O	      E-A1	      E-A1	         O	         O	         O	         O	*))))))))))
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	         O	         O	         O	*
            ”	        NN	      S-NP	         O	              -	         O	         O	      S-A0	         O	         O	         O	         O	(NP*)
           said	       VBD	      S-VP	         O	           said	         O	         O	       S-V	         O	         O	         O	         O	(VP*)
          Larry	       NNP	      B-NP	     B-PER	              -	         O	         O	      B-A0	      B-A0	      B-A0	      B-A0	         O	(NP(NP(NP*
      Schallert	       NNP	      E-NP	     E-PER	              -	         O	         O	      I-A0	      I-A0	      I-A0	      I-A0	         O	*)
              ,	         ,	         O	         O	              -	         O	         O	      I-A0	      I-A0	      I-A0	      I-A0	         O	*
      assistant	        JJ	      B-NP	         O	              -	         O	         O	      I-A0	      I-A0	      I-A0	      I-A0	         O	(NP(NP*
       director	        NN	      E-NP	         O	              -	         O	         O	      I-A0	      I-A0	      I-A0	      I-A0	         O	*)
             of	        IN	      S-PP	         O	              -	         O	         O	      I-A0	      I-A0	      I-A0	      I-A0	         O	(PP*
            COC	       NNP	      B-NP	     S-ORG	              -	         O	         O	      I-A0	      I-A0	      I-A0	      I-A0	         O	(NP*
           ’s	        JJ	      I-NP	         O	              -	         O	         O	      I-A0	      I-A0	      I-A0	      I-A0	         O	*
        Student	       NNP	      I-NP	     B-ORG	              -	         O	         O	      I-A0	      I-A0	      I-A0	      I-A0	         O	*
         Health	       NNP	      I-NP	     I-ORG	              -	         O	         O	      I-A0	      I-A0	      I-A0	      I-A0	         O	*
            and	        CC	      I-NP	     I-ORG	              -	         O	         O	      I-A0	      I-A0	      I-A0	      I-A0	         O	*
       Wellness	       NNP	      I-NP	     I-ORG	              -	         O	         O	      I-A0	      I-A0	      I-A0	      I-A0	         O	*
         Center	       NNP	      E-NP	     E-ORG	              -	         O	         O	      E-A0	      I-A0	      E-A0	      I-A0	         O	*))))
              ,	         ,	         O	         O	              -	         O	         O	         O	      E-A0	         O	      E-A0	         O	*)
            “	       VBD	      S-VP	         O	            “	         O	         O	    B-C-A1	       S-V	         O	         O	         O	*
           both	        DT	      S-NP	         O	              -	         O	         O	    I-C-A1	      B-A1	         O	         O	         O	*
             to	        TO	      B-VP	         O	              -	         O	         O	    I-C-A1	      I-A1	         O	         O	         O	(S(VP*
        prevent	        VB	      E-VP	         O	        prevent	         O	         O	    I-C-A1	      I-A1	       S-V	         O	         O	(VP*
        suicide	        NN	      S-NP	         O	              -	         O	         O	    I-C-A1	      E-A1	      S-A1	         O	         O	(NP*))))
            and	        CC	         O	         O	              -	         O	         O	    I-C-A1	         O	         O	         O	         O	*
           also	        RB	      B-VP	         O	              -	         O	         O	    I-C-A1	         O	         O	  S-AM-DIS	         O	(ADVP*)
