     2017-02-03	        CD	      S-NP	         O	              -	(S1(NP*))

         Arrest	        NN	      S-NP	         O	              -	      S-A1	(S1(S(NP*)
           made	       VBD	      S-VP	         O	           made	       S-V	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-MNR	(PP*
     connection	        NN	      S-NP	         O	              -	  I-AM-MNR	(NP(NP*)
           with	        IN	      S-PP	         O	              -	  I-AM-MNR	(PP*
         deadly	        JJ	      B-NP	         O	              -	  I-AM-MNR	(NP(NP*
     Shreveport	       NNP	      I-NP	     S-LOC	              -	  I-AM-MNR	*
       shooting	        NN	      I-NP	         O	              -	  I-AM-MNR	*)
              -	         :	      I-NP	         O	              -	  I-AM-MNR	*
       KTBS.com	       NNP	      I-NP	     S-LOC	              -	  I-AM-MNR	(NP*)
              -	         :	      I-NP	         O	              -	  I-AM-MNR	*
     Shreveport	       NNP	      E-NP	     S-LOC	              -	  I-AM-MNR	(NP*)
              ,	         ,	         O	         O	              -	  I-AM-MNR	*
             LA	       NNP	      B-NP	     B-ORG	              -	  I-AM-MNR	(NP*
           News	       NNP	      E-NP	     E-ORG	              -	  I-AM-MNR	*)
              ,	         ,	         O	         O	              -	  I-AM-MNR	*
        Weather	       NNP	      B-NP	     B-ORG	              -	  I-AM-MNR	(NP*)
            and	        CC	      I-NP	     I-ORG	              -	  I-AM-MNR	*
         Sports	      NNPS	      E-NP	     E-ORG	              -	  E-AM-MNR	(NP*))))))))

            The	        DT	      B-NP	         O	              -	      B-A1	      B-A1	(S1(S(NP*
             is	       VBZ	      S-VP	         O	              -	(VP*
     Rolandreon	       NNP	      B-NP	     B-PER	              -	(NP(NP*
        Marquis	       NNP	      I-NP	     I-PER	              -	*
        Fischer	       NNP	      E-NP	     E-PER	              -	*)
              ,	         ,	         O	         O	              -	*
             25	        CD	      S-NP	         O	              -	(NP*)))
              .	         .	         O	         O	              -	*))

              A	        DT	      B-NP	         O	              -	         O	         O	(S1(S(NP*
          local	        JJ	      I-NP	         O	              -	         O	         O	*
            man	        NN	      E-NP	         O	              -	         O	         O	*)
             is	       VBZ	      S-VP	         O	              -	         O	         O	(VP*
         behind	        IN	      S-PP	         O	              -	         O	         O	(PP*
           bars	       NNS	      S-NP	         O	              -	      S-A1	         O	(NP(NP*)
        charged	       VBN	      S-VP	         O	        charged	       S-V	         O	(VP*
           with	        IN	      S-PP	         O	              -	      B-A0	         O	(PP*
         second	        JJ	      B-NP	         O	              -	      I-A0	      B-A0	(NP*
         degree	        NN	      I-NP	         O	              -	      I-A0	      I-A0	*
         murder	        NN	      E-NP	         O	              -	      I-A0	      E-A0	*))
             in	        IN	      S-PP	         O	              -	      I-A0	         O	(PP*
     connection	        NN	      S-NP	         O	              -	      I-A0	         O	(NP(NP*)
           with	        IN	      S-PP	         O	              -	      I-A0	         O	(PP*
              a	        DT	      B-NP	         O	              -	      I-A0	      B-A0	(NP(NP*
       shooting	        NN	      E-NP	         O	              -	      I-A0	      I-A0	*)
             in	        IN	      S-PP	         O	              -	      I-A0	      I-A0	(PP*
           west	        JJ	      B-NP	         O	              -	      I-A0	      I-A0	(NP*
     Shreveport	       NNP	      E-NP	     S-LOC	              -	      I-A0	      I-A0	*))
           last	        JJ	      B-NP	         O	              -	      I-A0	      I-A0	(NP*
        weekend	        NN	      E-NP	         O	              -	      I-A0	      E-A0	*)
           that	       WDT	      S-NP	         O	              -	      I-A0	    S-R-A0	(SBAR(WHNP*)
           left	       VBD	      S-VP	         O	           left	      I-A0	       S-V	(S(VP*
            one	        CD	      B-NP	         O	              -	      I-A0	      B-A1	(S(NP*
           dead	        JJ	      I-NP	         O	              -	      I-A0	      I-A1	*
            and	        CC	      I-NP	         O	              -	      I-A0	      I-A1	*
          three	        CD	      E-NP	         O	              -	      I-A0	      I-A1	*)
        wounded	       VBN	      S-VP	         O	              -	      E-A0	      E-A1	(VP*)))))))))))))
              .	         .	         O	         O	              -	         O	         O	*))

           Just	        RB	    S-ADVP	         O	              -	  B-AM-TMP	  B-AM-TMP	(S1(S(PP*
          after	        IN	      S-PP	         O	              -	  I-AM-TMP	  I-AM-TMP	*
           2:00	        CD	      B-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	(NP(NP*
           a.m.	        NN	      E-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	*)
             on	        IN	      S-PP	         O	              -	  I-AM-TMP	  I-AM-TMP	(PP*
        January	       NNP	      B-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	(NP*
             29	        CD	      I-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	*
              ,	         ,	      I-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	*
           2017	        CD	      E-NP	         O	              -	  E-AM-TMP	  E-AM-TMP	*))))
              ,	         ,	         O	         O	              -	         O	         O	*
     Shreveport	       NNP	      B-NP	     B-ORG	              -	      B-A1	         O	(NP*
         Police	       NNP	      I-NP	     E-ORG	              -	      I-A1	         O	*
         patrol	        NN	      I-NP	         O	              -	      I-A1	         O	*
       officers	       NNS	      E-NP	         O	              -	      E-A1	         O	*)
           were	       VBD	      B-VP	         O	              -	         O	         O	(VP*
     dispatched	       VBN	      E-VP	         O	     dispatched	       S-V	         O	(VP*
             to	        TO	      S-PP	         O	              -	      B-A4	         O	(PP*
              a	        DT	      B-NP	         O	              -	      I-A4	         O	(NP*
        parking	        NN	      I-NP	         O	              -	      I-A4	         O	*
            lot	        NN	      E-NP	         O	              -	      I-A4	         O	*))
             in	        IN	      S-PP	         O	              -	      I-A4	         O	(PP*
            the	        DT	      B-NP	         O	              -	      I-A4	         O	(NP(NP*
           6300	        CD	      I-NP	         O	              -	      I-A4	         O	*
          block	        NN	      E-NP	         O	              -	      I-A4	         O	*)
             of	        IN	      S-PP	         O	              -	      I-A4	         O	(PP*
         Hearne	       NNP	      B-NP	     B-LOC	              -	      I-A4	         O	(NP*
         Avenue	       NNP	      E-NP	     E-LOC	              -	      E-A4	         O	*))))
       relative	        JJ	    S-ADJP	         O	              -	  B-AM-ADV	         O	(ADVP*
             to	        TO	      S-PP	         O	              -	  I-AM-ADV	         O	(PP*
        reports	       NNS	      S-NP	         O	              -	  I-AM-ADV	         O	(NP(NP*)
              a	        DT	      B-NP	         O	              -	  I-AM-ADV	      B-A1	(SBAR(S(NP*
            man	        NN	      E-NP	         O	              -	  I-AM-ADV	      E-A1	*)
            had	       VBD	      B-VP	         O	              -	  I-AM-ADV	         O	(VP*
           been	       VBN	      I-VP	         O	              -	  I-AM-ADV	         O	(VP*
           shot	       VBN	      E-VP	         O	           shot	  E-AM-ADV	       S-V	(VP*))))))))))
              .	         .	         O	         O	              -	         O	         O	*))

           Upon	        IN	      S-PP	         O	              -	  B-AM-TMP	         O	(S1(S(PP*
        arrival	        NN	      S-NP	         O	              -	  E-AM-TMP	         O	(NP*))
              ,	         ,	         O	         O	              -	         O	         O	*
       officers	       NNS	      S-NP	         O	              -	      S-A0	         O	(NP*)
     discovered	       VBD	      S-VP	         O	     discovered	       S-V	         O	(VP*
             an	        DT	      B-NP	         O	              -	      B-A1	      B-A0	(NP(NP*
          adult	        NN	      I-NP	         O	              -	      I-A1	      I-A0	*
           male	        NN	      E-NP	         O	              -	      I-A1	      E-A0	*)
      suffering	       VBG	      S-VP	         O	      suffering	      I-A1	       S-V	(VP*
           from	        IN	      S-PP	         O	              -	      I-A1	      B-A1	(PP(PP*
             at	        IN	      B-NP	         O	              -	      I-A1	      I-A1	(NP(QP*
          least	       JJS	      I-NP	         O	              -	      I-A1	      I-A1	*
            one	        CD	      I-NP	         O	              -	      I-A1	      I-A1	*)
        gunshot	        NN	      I-NP	         O	              -	      I-A1	      I-A1	*
          wound	        NN	      E-NP	         O	              -	      I-A1	      I-A1	*))
             to	        TO	      S-PP	         O	              -	      I-A1	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	      I-A1	(NP*
          upper	        JJ	      I-NP	         O	              -	      I-A1	      I-A1	*
           body	        NN	      E-NP	         O	              -	      E-A1	      E-A1	*))))))
              .	         .	         O	         O	              -	         O	         O	*))

            The	        DT	      B-NP	         O	              -	      B-A1	         O	(S1(S(NP*
         victim	        NN	      E-NP	         O	              -	      E-A1	         O	*)
            was	       VBD	      B-VP	         O	              -	         O	         O	(VP*
    transported	       VBN	      E-VP	         O	    transported	       S-V	         O	(VP*
             to	        TO	      S-PP	         O	              -	      B-A3	         O	(PP*
     University	       NNP	      B-NP	     B-ORG	              -	      I-A3	         O	(NP*
         Health	       NNP	      E-NP	     E-ORG	              -	      E-A3	         O	*))
             by	        IN	      S-PP	         O	              -	      B-A0	         O	(PP*
            the	        DT	      B-NP	         O	              -	      I-A0	         O	(NP*
     Shreveport	       NNP	      I-NP	     B-ORG	              -	      I-A0	         O	*
           Fire	       NNP	      I-NP	     I-ORG	              -	      I-A0	         O	*
     Department	       NNP	      E-NP	     E-ORG	              -	      I-A0	         O	*))
          where	       WRB	    S-ADVP	         O	              -	      I-A0	         O	(SBAR(WHADVP*)
             he	       PRP	      S-NP	         O	              -	      I-A0	      S-A1	(S(NP*)
            was	       VBD	      B-VP	         O	              -	      I-A0	         O	(VP*
          later	        RB	      I-VP	         O	              -	      I-A0	  S-AM-TMP	(ADVP*)
     pronounced	       VBN	      E-VP	         O	     pronounced	      I-A0	       S-V	(VP*
       deceased	        JJ	    S-ADJP	         O	              -	      E-A0	      S-A2	(ADJP*)))))))
              .	         .	         O	         O	              -	         O	         O	*))

          Three	        CD	      B-NP	         O	              -	      B-A1	      B-A1	         O	         O	(S1(S(NP(NP*
          other	        JJ	      I-NP	         O	              -	      I-A1	      I-A1	         O	         O	*
        victims	       NNS	      E-NP	         O	              -	      E-A1	      I-A1	         O	         O	*)
            who	        WP	      S-NP	         O	              -	    S-R-A1	      I-A1	         O	         O	(SBAR(WHNP*)
            had	       VBD	      B-VP	         O	              -	         O	      I-A1	         O	         O	(S(VP*
           also	        RB	      I-VP	         O	              -	  S-AM-DIS	      I-A1	         O	         O	(ADVP*)
           been	       VBN	      I-VP	         O	              -	         O	      I-A1	         O	         O	(VP*
           shot	       VBN	      E-VP	         O	           shot	       S-V	      I-A1	         O	         O	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	      I-A1	         O	         O	(PP*
           that	        DT	      B-NP	         O	              -	  I-AM-LOC	      I-A1	         O	         O	(NP(NP*
          block	        NN	      E-NP	         O	              -	  I-AM-LOC	      I-A1	         O	         O	*)
             of	        IN	      S-PP	         O	              -	  I-AM-LOC	      I-A1	         O	         O	(PP*
         Hearne	       NNP	      B-NP	     B-LOC	              -	  I-AM-LOC	      I-A1	         O	         O	(NP*
         Avenue	       NNP	      E-NP	     E-LOC	              -	  E-AM-LOC	      E-A1	         O	         O	*))))))))))
        arrived	       VBD	      S-VP	         O	        arrived	         O	       S-V	         O	         O	(VP*
             at	        IN	      S-PP	         O	              -	         O	      B-A4	         O	         O	(PP*
          local	        JJ	      B-NP	         O	              -	         O	      I-A4	         O	         O	(NP*
      hospitals	       NNS	      E-NP	         O	              -	         O	      I-A4	         O	         O	*))
            via	        IN	      S-PP	         O	              -	         O	      I-A4	         O	         O	(PP*
        private	        JJ	      B-NP	         O	              -	         O	      I-A4	      B-A0	         O	(NP(NP*
           auto	        NN	      E-NP	         O	              -	         O	      I-A4	      E-A0	         O	*)
        seeking	       VBG	      S-VP	         O	        seeking	         O	      I-A4	       S-V	         O	(VP*
      treatment	        NN	      S-NP	         O	              -	         O	      I-A4	      S-A1	         O	(NP(NP*)
            for	        IN	      S-PP	         O	              -	         O	      I-A4	         O	         O	(PP*
           what	        WP	      S-NP	         O	              -	         O	      I-A4	         O	    S-R-A1	(SBAR(WHNP*)
           were	       VBD	      B-VP	         O	              -	         O	      I-A4	         O	         O	(S(VP*
      described	       VBN	      E-VP	         O	      described	         O	      I-A4	         O	       S-V	(VP*
             as	        IN	      S-PP	         O	              -	         O	      I-A4	         O	      B-A2	(PP*
            non	        JJ	      B-NP	         O	              -	         O	      I-A4	         O	      I-A2	(NP(NP(ADJP*
              -	         :	      I-NP	         O	              -	         O	      I-A4	         O	      I-A2	*)
           life	        NN	      E-NP	         O	              -	         O	      I-A4	         O	      I-A2	(NP*))
              -	         :	         O	         O	              -	         O	      I-A4	         O	      I-A2	(PP*
    threatening	        JJ	      B-NP	         O	              -	         O	      I-A4	         O	      I-A2	(NP*
       injuries	       NNS	      E-NP	         O	              -	         O	      E-A4	         O	      E-A2	*))))))))))))))
              .	         .	         O	         O	              -	         O	         O	         O	         O	*))

        RELATED	       NNP	      B-NP	         O	              -	         O	         O	(S1(S(NP*
        ARTICLE	       NNP	      E-NP	         O	              -	         O	         O	*)
              -	         :	         O	         O	              -	         O	         O	*
              2	        CD	      S-NP	         O	              -	      S-A1	         O	(NP(NP*)
         killed	       VBN	      S-VP	         O	         killed	       S-V	         O	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	         O	(PP*
              6	        CD	      B-NP	         O	              -	  I-AM-LOC	         O	(NP*
     Shreveport	       NNP	      I-NP	     S-LOC	              -	  I-AM-LOC	         O	*
      shootings	       NNS	      E-NP	         O	              -	  E-AM-LOC	         O	*))))
             on	        IN	      S-PP	         O	              -	  B-AM-TMP	         O	(PP*
         Sunday	       NNP	      S-NP	         O	              -	  E-AM-TMP	         O	(NP*))
              ,	         ,	         O	         O	              -	         O	         O	*
           many	        JJ	      S-NP	         O	              -	         O	      S-A1	(NP*)
        wounded	       VBN	      S-VP	         O	        wounded	         O	         O	*))

       Evidence	        NN	      S-NP	         O	              -	      S-A1	         O	         O	         O	         O	(S1(S(NP(NP*)
       gathered	       VBD	      S-VP	         O	       gathered	       S-V	         O	         O	         O	         O	(VP*
             at	        IN	      S-PP	         O	              -	  B-AM-TMP	         O	         O	         O	         O	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-TMP	         O	         O	         O	         O	(NP(NP*
          scene	        NN	      E-NP	         O	              -	  I-AM-TMP	         O	         O	         O	         O	*)
             of	        IN	      S-PP	         O	              -	  I-AM-TMP	         O	         O	         O	         O	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-TMP	         O	         O	         O	         O	(NP*
          crime	        NN	      E-NP	         O	              -	  E-AM-TMP	         O	         O	         O	         O	*))
             by	        IN	      S-PP	         O	              -	      B-A0	         O	         O	         O	         O	(PP*
  investigators	       NNS	      S-NP	         O	              -	      I-A0	      S-A0	         O	         O	         O	(NP*))))))
      indicated	       VBD	      S-VP	         O	      indicated	      I-A0	       S-V	         O	         O	         O	(VP*
            the	        DT	      B-NP	         O	              -	      I-A0	      B-A1	      B-A1	         O	         O	(SBAR(S(NP*
       deceased	        JJ	      I-NP	         O	              -	      I-A0	      I-A1	      I-A1	         O	         O	*
         victim	        NN	      E-NP	         O	              -	      I-A0	      I-A1	      E-A1	         O	         O	*)
            had	       VBD	      B-VP	         O	              -	      I-A0	      I-A1	         O	         O	         O	(VP*
           been	       VBN	      I-VP	         O	              -	      I-A0	      I-A1	         O	         O	         O	(VP*
       involved	       VBN	      E-VP	         O	       involved	      I-A0	      I-A1	       S-V	         O	         O	(VP*
             in	        IN	      S-PP	         O	              -	      I-A0	      I-A1	  B-AM-LOC	         O	         O	(PP*
             an	        DT	      B-NP	         O	              -	      I-A0	      I-A1	  I-AM-LOC	         O	         O	(NP(NP*
        ongoing	        JJ	      I-NP	         O	              -	      I-A0	      I-A1	  I-AM-LOC	         O	         O	*
        dispute	        NN	      E-NP	         O	              -	      I-A0	      I-A1	  I-AM-LOC	         O	         O	*)
           with	        IN	      S-PP	         O	              -	      I-A0	      I-A1	  I-AM-LOC	         O	         O	(PP*
             at	        IN	      B-NP	         O	              -	      I-A0	      I-A1	  I-AM-LOC	         O	      B-A1	(NP(NP(QP*
          least	       JJS	      I-NP	         O	              -	      I-A0	      I-A1	  I-AM-LOC	         O	      I-A1	*
            two	        CD	      I-NP	         O	              -	      I-A0	      I-A1	  I-AM-LOC	         O	      I-A1	*)
          other	        JJ	      I-NP	         O	              -	      I-A0	      I-A1	  I-AM-LOC	         O	      I-A1	*
          known	       VBN	      I-NP	         O	          known	      I-A0	      I-A1	  I-AM-LOC	       S-V	      I-A1	*
           male	        JJ	      I-NP	         O	              -	      I-A0	      I-A1	  I-AM-LOC	      B-A1	      I-A1	*
       subjects	       NNS	      E-NP	         O	              -	      I-A0	      I-A1	  I-AM-LOC	      E-A1	      E-A1	*)
           that	       WDT	      S-NP	         O	              -	      I-A0	      I-A1	  I-AM-LOC	         O	    S-R-A1	(SBAR(WHNP*)
     culminated	       VBD	      S-VP	         O	     culminated	      I-A0	      I-A1	  I-AM-LOC	         O	       S-V	(S(VP*
             in	        IN	      S-PP	         O	              -	      I-A0	      I-A1	  I-AM-LOC	         O	      B-A2	(PP*
        gunfire	        NN	      S-NP	         O	              -	      I-A0	      I-A1	  I-AM-LOC	         O	      I-A2	(NP*))
          there	        RB	    S-ADVP	         O	              -	      I-A0	      I-A1	  I-AM-LOC	         O	      I-A2	(ADVP*)
             in	        IN	      S-PP	         O	              -	      I-A0	      I-A1	  I-AM-LOC	         O	      I-A2	(PP*
            the	        DT	      B-NP	         O	              -	      I-A0	      I-A1	  I-AM-LOC	         O	      I-A2	(NP(NP*
        parking	        NN	      I-NP	         O	              -	      I-A0	      I-A1	  I-AM-LOC	         O	      I-A2	*
            lot	        NN	      E-NP	         O	              -	      I-A0	      I-A1	  I-AM-LOC	         O	      I-A2	*)
             on	        IN	      S-PP	         O	              -	      I-A0	      I-A1	  I-AM-LOC	         O	      I-A2	(PP*
         Hearne	       NNP	      B-NP	     B-LOC	              -	      I-A0	      I-A1	  I-AM-LOC	         O	      I-A2	(NP*
         Avenue	       NNP	      E-NP	     E-LOC	              -	      E-A0	      E-A1	  E-AM-LOC	         O	      E-A2	*)))))))))))))))))
              .	         .	         O	         O	              -	         O	         O	         O	         O	         O	*))

          Based	       VBN	      S-PP	         O	          Based	       S-V	         O	  B-AM-ADV	  B-AM-ADV	(S1(S(PP*
             on	        IN	      S-PP	         O	              -	      B-A2	         O	  I-AM-ADV	  I-AM-ADV	(PP*
    information	        NN	      S-NP	         O	              -	      I-A2	      S-A1	  I-AM-ADV	  I-AM-ADV	(NP(NP*)
       gathered	       VBN	      S-VP	         O	       gathered	      I-A2	       S-V	  I-AM-ADV	  I-AM-ADV	(VP*
         during	        IN	      S-PP	         O	              -	      I-A2	  B-AM-TMP	  I-AM-ADV	  I-AM-ADV	(PP*
          their	      PRP$	      B-NP	         O	              -	      I-A2	  I-AM-TMP	  I-AM-ADV	  I-AM-ADV	(NP*
        ongoing	        JJ	      I-NP	         O	              -	      I-A2	  I-AM-TMP	  I-AM-ADV	  I-AM-ADV	*
        inquiry	        NN	      E-NP	         O	              -	      E-A2	  E-AM-TMP	  E-AM-ADV	  E-AM-ADV	*))))))
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	*
     detectives	       NNS	      S-NP	         O	              -	         O	         O	      S-A0	      S-A0	(NP*)
   subsequently	        RB	      B-VP	         O	              -	         O	         O	  S-AM-TMP	  S-AM-TMP	(VP(VP(ADVP*)
       arrested	       VBN	      E-VP	         O	       arrested	         O	         O	       S-V	         O	*
             21	        CD	      B-NP	         O	              -	         O	         O	      B-A2	         O	(NP(NP*
           year	        NN	      I-NP	         O	              -	         O	         O	      I-A2	         O	*
            old	        JJ	      I-NP	         O	              -	         O	         O	      I-A2	         O	*
         Jacory	       NNP	      I-NP	     B-PER	              -	         O	         O	      I-A2	         O	*
             J.	       NNP	      I-NP	     I-PER	              -	         O	         O	      I-A2	         O	*
         Wesley	       NNP	      E-NP	     E-PER	              -	         O	         O	      I-A2	         O	*)
              ,	         ,	         O	         O	              -	         O	         O	      I-A2	         O	*
             of	        IN	      S-PP	         O	              -	         O	         O	      I-A2	         O	(PP*
            the	        DT	      B-NP	         O	              -	         O	         O	      I-A2	         O	(NP(NP*
           7000	        CD	      I-NP	         O	              -	         O	         O	      I-A2	         O	*
          block	        NN	      E-NP	         O	              -	         O	         O	      I-A2	         O	*)
             of	        IN	      S-PP	         O	              -	         O	         O	      I-A2	         O	(PP*
          Penny	       NNP	      B-NP	     B-LOC	              -	         O	         O	      I-A2	         O	(NP*
         Street	       NNP	      E-NP	     E-LOC	              -	         O	         O	      I-A2	         O	*))
             in	        IN	      S-PP	         O	              -	         O	         O	      I-A2	         O	(PP*
     Shreveport	       NNP	      S-NP	     S-LOC	              -	         O	         O	      E-A2	         O	(NP*))))))
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	*
            and	        CC	         O	         O	              -	         O	         O	         O	         O	*
        charged	       VBD	      S-VP	         O	        charged	         O	         O	         O	       S-V	(VP*
            him	       PRP	      S-NP	         O	              -	         O	         O	         O	      S-A1	(NP*)
           with	        IN	      S-PP	         O	              -	         O	         O	         O	      B-A2	(PP*
            one	        CD	      B-NP	         O	              -	         O	         O	         O	      I-A2	(NP(NP*
          count	        NN	      E-NP	         O	              -	         O	         O	         O	      I-A2	*)
             of	        IN	      S-PP	         O	              -	         O	         O	         O	      I-A2	(PP*
         second	        JJ	      B-NP	         O	              -	         O	         O	         O	      I-A2	(NP*
         degree	        NN	      I-NP	         O	              -	         O	         O	         O	      I-A2	*
         murder	        NN	      E-NP	         O	              -	         O	         O	         O	      E-A2	*))))))
              .	         .	         O	         O	              -	         O	         O	         O	         O	*))

         Wesley	       NNP	      S-NP	     S-PER	              -	         O	      B-A1	(S1(S(NP(NP*)
              ,	         ,	         O	         O	              -	         O	      I-A1	*
            who	        WP	      S-NP	         O	              -	    S-R-A1	      I-A1	(SBAR(WHNP*)
            was	       VBD	      S-VP	         O	              -	         O	      I-A1	(S(VP*
        himself	       PRP	      S-NP	         O	              -	      S-A1	      I-A1	(NP*)
        injured	       VBN	      S-VP	         O	        injured	       S-V	      I-A1	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	      I-A1	(NP*
       shooting	        NN	      E-NP	         O	              -	  E-AM-LOC	      I-A1	*))))))
              ,	         ,	         O	         O	              -	         O	      E-A1	*)
            was	       VBD	      B-VP	         O	              -	         O	         O	(VP*
         booked	       VBN	      E-VP	         O	         booked	         O	       S-V	(VP*
           into	        IN	      S-PP	         O	              -	         O	      B-A2	(PP*
            the	        DT	      B-NP	         O	              -	         O	      I-A2	(NP*
     Shreveport	       NNP	      I-NP	     B-LOC	              -	         O	      I-A2	*
           City	       NNP	      I-NP	     I-LOC	              -	         O	      I-A2	*
           Jail	       NNP	      E-NP	     E-LOC	              -	         O	      E-A2	*))))
              .	         .	         O	         O	              -	         O	         O	*))

            The	        DT	      B-NP	         O	              -	      B-A1	      B-A0	(S1(S(S(NP(NP*
  investigation	        NN	      E-NP	         O	              -	      I-A1	      I-A0	*)
           into	        IN	      S-PP	         O	              -	      I-A1	      I-A0	(PP*
           this	        DT	      B-NP	         O	              -	      I-A1	      I-A0	(NP*
       shooting	        NN	      E-NP	         O	              -	      E-A1	      E-A0	*)))
      continues	       VBZ	      S-VP	         O	      continues	       S-V	         O	(VP*
             at	        IN	      S-PP	         O	              -	  B-AM-TMP	         O	(PP*
           this	        DT	      B-NP	         O	              -	  I-AM-TMP	         O	(NP*
           hour	        NN	      E-NP	         O	              -	  I-AM-TMP	         O	*))))
            and	        CC	         O	         O	              -	  I-AM-TMP	         O	*
         anyone	        NN	      S-NP	         O	              -	  I-AM-TMP	      B-A0	(S(NP(NP(NP*)
           with	        IN	      S-PP	         O	              -	  I-AM-TMP	      I-A0	(PP*
            any	        DT	      B-NP	         O	              -	  I-AM-TMP	      I-A0	(NP*
    information	        NN	      E-NP	         O	              -	  I-AM-TMP	      I-A0	*)))
      regarding	       VBG	      S-PP	         O	              -	  I-AM-TMP	      I-A0	(PP*
           this	        DT	      B-NP	         O	              -	  I-AM-TMP	      I-A0	(NP*
           case	        NN	      E-NP	         O	              -	  I-AM-TMP	      E-A0	*)))
         should	        MD	      B-VP	         O	              -	  I-AM-TMP	  S-AM-MOD	(VP*
        contact	        VB	      E-VP	         O	        contact	  I-AM-TMP	       S-V	(VP*
     Shreveport	       NNP	      S-NP	     S-LOC	              -	  I-AM-TMP	      B-A1	(NP(NP*)
              -	         :	         O	         O	              -	  I-AM-TMP	      I-A1	*
          Caddo	       NNP	      B-NP	     B-ORG	              -	  I-AM-TMP	      I-A1	(NP(NP(NP*
         Parish	       NNP	      I-NP	     I-ORG	              -	  I-AM-TMP	      I-A1	*
          Crime	       NNP	      I-NP	     I-ORG	              -	  I-AM-TMP	      I-A1	*
       Stoppers	      NNPS	      E-NP	     E-ORG	              -	  I-AM-TMP	      I-A1	*)
