     2017-03-01	        CD	      S-NP	         O	              -	(S1(NP*))

         Facial	        JJ	      B-NP	         O	              -	      B-A1	         O	(S1(S(NP*
            the	        DT	      B-NP	         O	              -	      B-A1	         O	(NP*
           area	        NN	      E-NP	         O	              -	      E-A1	         O	*)
         around	        IN	      S-PP	         O	              -	  B-AM-LOC	         O	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-LOC	      B-A1	(NP(NP*
           body	        NN	      E-NP	         O	              -	  I-AM-LOC	      E-A1	*)
           that	       WDT	      S-NP	         O	              -	  I-AM-LOC	    S-R-A1	(SBAR(WHNP*)
            was	       VBD	      B-VP	         O	              -	  I-AM-LOC	         O	(S(VP*
          found	       VBN	      E-VP	         O	          found	  I-AM-LOC	       S-V	(VP*
             in	        IN	      S-PP	         O	              -	  I-AM-LOC	  B-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	  I-AM-LOC	(NP(NP*
         middle	        NN	      E-NP	         O	              -	  I-AM-LOC	  I-AM-LOC	*)
             of	        IN	      S-PP	         O	              -	  I-AM-LOC	  I-AM-LOC	(PP*
     Sharpcrest	       NNP	      B-NP	     B-LOC	              -	  I-AM-LOC	  I-AM-LOC	(NP*
         Street	       NNP	      E-NP	     E-LOC	              -	  I-AM-LOC	  I-AM-LOC	*))))
           near	        IN	      S-PP	         O	              -	  I-AM-LOC	  I-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	  I-AM-LOC	(NP*
            Sam	       NNP	      I-NP	     B-ORG	              -	  I-AM-LOC	  I-AM-LOC	*
        Houston	       NNP	      I-NP	     E-ORG	              -	  I-AM-LOC	  I-AM-LOC	*
        Tollway	       NNP	      E-NP	         O	              -	  I-AM-LOC	  I-AM-LOC	*))
       Thursday	       NNP	      S-NP	         O	              -	  I-AM-LOC	  I-AM-LOC	(NP*)))))))))
              ,	         ,	         O	         O	              -	  I-AM-LOC	  I-AM-LOC	*
           Feb.	       NNP	      B-NP	         O	              -	  I-AM-LOC	  I-AM-LOC	(NP(NP*
             16	        CD	      E-NP	         O	              -	  I-AM-LOC	  I-AM-LOC	*
              ,	         ,	         O	         O	              -	  I-AM-LOC	  I-AM-LOC	*
           2017	        CD	      S-NP	         O	              -	  I-AM-LOC	  I-AM-LOC	*)
             in	        IN	      S-PP	         O	              -	  I-AM-LOC	  I-AM-LOC	(PP*
        Houston	       NNP	      S-NP	     S-LOC	              -	  E-AM-LOC	  E-AM-LOC	(NP*)))
              .	         .	         O	         O	              -	         O	         O	*))

          Photo	        NN	      S-NP	         O	              -	         O	         O	(S1(NP(NP*)
              :	         :	         O	         O	              -	         O	         O	*
        Michael	       NNP	      B-NP	     B-PER	              -	      B-A0	         O	(NP(NP(NP*
         Ciaglo	       NNP	      E-NP	     E-PER	              -	      I-A0	         O	*)
              ,	         ,	         O	         O	              -	      I-A0	         O	*
        Houston	       NNP	      B-NP	     B-ORG	              -	      I-A0	         O	(NP(NP*
      Chronicle	       NNP	      I-NP	     E-ORG	              -	      I-A0	         O	*
          Image	       NNP	      I-NP	         O	              -	      I-A0	         O	*
              3	        CD	      E-NP	         O	              -	      I-A0	         O	*)
             of	        IN	      S-PP	         O	              -	      I-A0	         O	(PP*
              6	        CD	      B-NP	         O	              -	      I-A0	         O	(NP*
        Houston	       NNP	      I-NP	     S-ORG	              -	      I-A0	         O	*
       homicide	        NN	      I-NP	         O	              -	      I-A0	         O	*
  investigators	       NNS	      E-NP	         O	              -	      E-A0	         O	*)))
         search	       VBP	      S-VP	         O	         search	       S-V	         O	*
            the	        DT	      B-NP	         O	              -	      B-A1	         O	(NP(NP*
           area	        NN	      E-NP	         O	              -	      E-A1	         O	*)
         around	        IN	      S-PP	         O	              -	  B-AM-LOC	         O	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-LOC	      B-A1	(NP(NP(NP*
           body	        NN	      E-NP	         O	              -	  I-AM-LOC	      E-A1	*)
           that	       WDT	      S-NP	         O	              -	  I-AM-LOC	    S-R-A1	(SBAR(WHNP*)
            was	       VBD	      B-VP	         O	              -	  I-AM-LOC	         O	(S(VP*
          found	       VBN	      E-VP	         O	          found	  I-AM-LOC	       S-V	(VP*
             in	        IN	      S-PP	         O	              -	  I-AM-LOC	  B-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	  I-AM-LOC	(NP(NP*
         middle	        NN	      E-NP	         O	              -	  I-AM-LOC	  I-AM-LOC	*)
             of	        IN	      S-PP	         O	              -	  I-AM-LOC	  I-AM-LOC	(PP*
     Sharpcrest	       NNP	      B-NP	     B-LOC	              -	  I-AM-LOC	  I-AM-LOC	(NP*
         Street	       NNP	      E-NP	     E-LOC	              -	  I-AM-LOC	  I-AM-LOC	*))))
           near	        IN	      S-PP	         O	              -	  I-AM-LOC	  I-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	  I-AM-LOC	(NP*
            Sam	       NNP	      I-NP	     B-ORG	              -	  I-AM-LOC	  I-AM-LOC	*
        Houston	       NNP	      I-NP	     E-ORG	              -	  I-AM-LOC	  I-AM-LOC	*
        Tollway	       NNP	      E-NP	         O	              -	  I-AM-LOC	  I-AM-LOC	*))
       Thursday	       NNP	      S-NP	         O	              -	  I-AM-LOC	  I-AM-LOC	(NP*))))))
              ,	         ,	         O	         O	              -	  I-AM-LOC	  I-AM-LOC	*
           Feb.	       NNP	      B-NP	         O	              -	  I-AM-LOC	  I-AM-LOC	(NP(NP*
             16	        CD	      E-NP	         O	              -	  I-AM-LOC	  I-AM-LOC	*
              ,	         ,	         O	         O	              -	  I-AM-LOC	  I-AM-LOC	*
           2017	        CD	      S-NP	         O	              -	  I-AM-LOC	  I-AM-LOC	*)
             in	        IN	      S-PP	         O	              -	  I-AM-LOC	  I-AM-LOC	(PP*
        Houston	       NNP	      S-NP	     S-LOC	              -	  E-AM-LOC	  E-AM-LOC	(NP*)))))))
              .	         .	         O	         O	              -	         O	         O	*)))

          Photo	        NN	      S-NP	         O	              -	         O	         O	(S1(NP(NP*)
              :	         :	         O	         O	              -	         O	         O	*
        Michael	       NNP	      B-NP	     B-PER	              -	      B-A0	         O	(NP(NP(NP*
         Ciaglo	       NNP	      E-NP	     E-PER	              -	      I-A0	         O	*)
              ,	         ,	         O	         O	              -	      I-A0	         O	*
        Houston	       NNP	      B-NP	     B-ORG	              -	      I-A0	         O	(NP(NP*
      Chronicle	       NNP	      I-NP	     E-ORG	              -	      I-A0	         O	*
          Image	       NNP	      I-NP	         O	              -	      I-A0	         O	*
              4	        CD	      E-NP	         O	              -	      I-A0	         O	*)
             of	        IN	      S-PP	         O	              -	      I-A0	         O	(PP*
              6	        CD	      B-NP	         O	              -	      I-A0	         O	(NP*
        Houston	       NNP	      I-NP	     S-ORG	              -	      I-A0	         O	*
       homicide	        NN	      I-NP	         O	              -	      I-A0	         O	*
  investigators	       NNS	      E-NP	         O	              -	      E-A0	         O	*)))
         search	       VBP	      S-VP	         O	         search	       S-V	         O	*
            the	        DT	      B-NP	         O	              -	      B-A1	         O	(NP(NP*
           area	        NN	      E-NP	         O	              -	      E-A1	         O	*)
         around	        IN	      S-PP	         O	              -	  B-AM-LOC	         O	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-LOC	      B-A1	(NP(NP(NP*
           body	        NN	      E-NP	         O	              -	  I-AM-LOC	      E-A1	*)
           that	       WDT	      S-NP	         O	              -	  I-AM-LOC	    S-R-A1	(SBAR(WHNP*)
            was	       VBD	      B-VP	         O	              -	  I-AM-LOC	         O	(S(VP*
          found	       VBN	      E-VP	         O	          found	  I-AM-LOC	       S-V	(VP*
             in	        IN	      S-PP	         O	              -	  I-AM-LOC	  B-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	  I-AM-LOC	(NP(NP*
         middle	        NN	      E-NP	         O	              -	  I-AM-LOC	  I-AM-LOC	*)
             of	        IN	      S-PP	         O	              -	  I-AM-LOC	  I-AM-LOC	(PP*
     Sharpcrest	       NNP	      B-NP	     B-LOC	              -	  I-AM-LOC	  I-AM-LOC	(NP*
         Street	       NNP	      E-NP	     E-LOC	              -	  I-AM-LOC	  I-AM-LOC	*))))
           near	        IN	      S-PP	         O	              -	  I-AM-LOC	  I-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	  I-AM-LOC	(NP*
            Sam	       NNP	      I-NP	     B-ORG	              -	  I-AM-LOC	  I-AM-LOC	*
        Houston	       NNP	      I-NP	     E-ORG	              -	  I-AM-LOC	  I-AM-LOC	*
        Tollway	       NNP	      E-NP	         O	              -	  I-AM-LOC	  I-AM-LOC	*))
       Thursday	       NNP	      S-NP	         O	              -	  I-AM-LOC	  I-AM-LOC	(NP*))))))
              ,	         ,	         O	         O	              -	  I-AM-LOC	  I-AM-LOC	*
           Feb.	       NNP	      B-NP	         O	              -	  I-AM-LOC	  I-AM-LOC	(NP(NP*
             16	        CD	      E-NP	         O	              -	  I-AM-LOC	  I-AM-LOC	*
              ,	         ,	         O	         O	              -	  I-AM-LOC	  I-AM-LOC	*
           2017	        CD	      S-NP	         O	              -	  I-AM-LOC	  I-AM-LOC	*)
             in	        IN	      S-PP	         O	              -	  I-AM-LOC	  I-AM-LOC	(PP*
        Houston	       NNP	      S-NP	     S-LOC	              -	  E-AM-LOC	  E-AM-LOC	(NP*)))))))
              .	         .	         O	         O	              -	         O	         O	*)))

          Photo	       NNP	      S-NP	         O	              -	(S1(NP*
              :	         :	         O	         O	              -	*))

        Michael	       NNP	      B-NP	     B-PER	              -	      B-A0	         O	(S1(NP(NP(NP*
         Ciaglo	       NNP	      E-NP	     E-PER	              -	      I-A0	         O	*)
              ,	         ,	         O	         O	              -	      I-A0	         O	*
        Houston	       NNP	      B-NP	     B-ORG	              -	      I-A0	         O	(NP(NP*
      Chronicle	       NNP	      I-NP	     E-ORG	              -	      I-A0	         O	*
          Image	       NNP	      I-NP	         O	              -	      I-A0	         O	*
              5	        CD	      E-NP	         O	              -	      I-A0	         O	*)
             of	        IN	      S-PP	         O	              -	      I-A0	         O	(PP*
              6	        CD	      B-NP	         O	              -	      I-A0	         O	(NP*
        Houston	       NNP	      I-NP	     S-ORG	              -	      I-A0	         O	*
       homicide	        NN	      I-NP	         O	              -	      I-A0	         O	*
  investigators	       NNS	      E-NP	         O	              -	      E-A0	         O	*)))
         search	       VBP	      S-VP	         O	         search	       S-V	         O	*
            the	        DT	      B-NP	         O	              -	      B-A1	         O	(NP(NP*
           area	        NN	      E-NP	         O	              -	      I-A1	         O	*)
         around	        IN	      S-PP	         O	              -	      I-A1	         O	(PP*
              a	        DT	      B-NP	         O	              -	      I-A1	      B-A1	(NP(NP*
           body	        NN	      E-NP	         O	              -	      I-A1	      E-A1	*)
           that	       WDT	      S-NP	         O	              -	      I-A1	    S-R-A1	(SBAR(WHNP*)
            was	       VBD	      B-VP	         O	              -	      I-A1	         O	(S(VP*
          found	       VBN	      E-VP	         O	          found	      I-A1	       S-V	(VP*
             in	        IN	      S-PP	         O	              -	      I-A1	  B-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	  I-AM-LOC	(NP(NP*
         middle	        NN	      E-NP	         O	              -	      I-A1	  I-AM-LOC	*)
             of	        IN	      S-PP	         O	              -	      I-A1	  I-AM-LOC	(PP*
     Sharpcrest	       NNP	      B-NP	     B-LOC	              -	      I-A1	  I-AM-LOC	(NP*
         Street	       NNP	      E-NP	     E-LOC	              -	      I-A1	  I-AM-LOC	*))
           near	        IN	      S-PP	         O	              -	      I-A1	  I-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	  I-AM-LOC	(NP*
            Sam	       NNP	      I-NP	     B-ORG	              -	      I-A1	  I-AM-LOC	*
        Houston	       NNP	      I-NP	     E-ORG	              -	      I-A1	  I-AM-LOC	*
        Tollway	       NNP	      E-NP	         O	              -	      I-A1	  I-AM-LOC	*))))
       Thursday	       NNP	      S-NP	         O	              -	      I-A1	  I-AM-LOC	(NP(NP*)
              ,	         ,	         O	         O	              -	      I-A1	  I-AM-LOC	*
           Feb.	       NNP	      B-NP	         O	              -	      I-A1	  I-AM-LOC	(NP(NP*
             16	        CD	      E-NP	         O	              -	      I-A1	  I-AM-LOC	*
              ,	         ,	         O	         O	              -	      I-A1	  I-AM-LOC	*
           2017	        CD	      S-NP	         O	              -	      I-A1	  I-AM-LOC	*)
             in	        IN	      S-PP	         O	              -	      I-A1	  I-AM-LOC	(PP*
        Houston	       NNP	      S-NP	     S-LOC	              -	      E-A1	  E-AM-LOC	(NP*))))))))))))
              .	         .	         O	         O	              -	         O	         O	*))

          Photo	        NN	      S-NP	         O	              -	(S1(NP(NP*)
              :	         :	         O	         O	              -	*
        Michael	       NNP	      B-NP	     B-PER	              -	(NP(NP*
         Ciaglo	       NNP	      E-NP	     E-PER	              -	*)
              ,	         ,	         O	         O	              -	*
        Houston	       NNP	      B-NP	     B-ORG	              -	(NP(NP*
      Chronicle	       NNP	      I-NP	     E-ORG	              -	*
          Image	       NNP	      I-NP	         O	              -	*
              6	        CD	      E-NP	         O	              -	*)
             of	        IN	      S-PP	         O	              -	(PP*
              6	        CD	      B-NP	         O	              -	(NP*
           9900	        CD	      I-NP	         O	              -	*
     Sharpcrest	       NNP	      I-NP	     S-PER	              -	*
           9900	        CD	      E-NP	         O	              -	*))))))

     Sharpcrest	       NNP	      B-NP	         O	              -	(S1(NP*
          Photo	       NNP	      E-NP	         O	              -	*
              :	         :	         O	         O	              -	*))

         Harris	       NNP	      B-NP	     B-ORG	              -	      B-A1	      B-A1	(S1(NP(NP*
         County	       NNP	      I-NP	     I-ORG	              -	      I-A1	      I-A1	*
      Institute	       NNP	      E-NP	     I-ORG	              -	      I-A1	      I-A1	*)
             Of	        IN	      S-PP	     I-ORG	              -	      I-A1	      I-A1	(PP*
       Forensic	       NNP	      B-NP	     I-ORG	              -	      I-A1	      I-A1	(NP(NP*
        Science	       NNP	      I-NP	     I-ORG	              -	      I-A1	      I-A1	*
         Facial	       NNP	      I-NP	     E-ORG	              -	      I-A1	      I-A1	*
 reconstruction	        NN	      I-NP	         O	              -	      I-A1	      I-A1	*
          image	        NN	      E-NP	         O	              -	      I-A1	      I-A1	*)
             of	        IN	      S-PP	         O	              -	      I-A1	      I-A1	(PP*
          woman	        NN	      S-NP	         O	              -	      E-A1	      E-A1	(NP(NP*)
         killed	       VBN	      S-VP	         O	         killed	       S-V	         O	(VP*
             by	        IN	      S-PP	         O	              -	      B-A0	         O	(PP*
       gunshots	       NNS	      S-NP	         O	              -	      E-A0	      S-A1	(NP(NP*)
       released	       VBD	      S-VP	         O	       released	         O	       S-V	(VP*
              1	        CD	      S-NP	         O	              -	         O	  B-AM-TMP	(NP*
              /	         :	         O	         O	              -	         O	  I-AM-TMP	*
              6	        CD	         O	         O	              -	         O	  E-AM-TMP	*)))))))))))

           Back	        RB	    S-ADVP	         O	              -	(S1(ADVP*
             to	        TO	      S-PP	         O	              -	(PP*
        Gallery	        NN	      S-NP	         O	              -	(NP*))))

            The	        DT	      B-NP	         O	              -	         O	         O	(S1(S(NP(NP*
         recent	        JJ	      I-NP	         O	              -	         O	         O	*
        release	        NN	      E-NP	         O	              -	         O	         O	*)
             of	        IN	      S-PP	         O	              -	         O	         O	(PP*
              a	        DT	      B-NP	         O	              -	         O	         O	(NP(NP*
         facial	        JJ	      I-NP	         O	              -	         O	         O	*
 reconstruction	        NN	      E-NP	         O	              -	         O	         O	*)
             of	        IN	      S-PP	         O	              -	         O	         O	(PP*
              a	        DT	      B-NP	         O	              -	      B-A1	         O	(NP(NP*
          woman	        NN	      E-NP	         O	              -	      E-A1	         O	*)
          whose	       WP$	      B-NP	         O	              -	    B-R-A1	         O	(SBAR(WHNP*
           body	        NN	      E-NP	         O	              -	    E-R-A1	         O	*)
            was	       VBD	      B-VP	         O	              -	         O	         O	(S(VP*
          found	       VBN	      E-VP	         O	          found	       S-V	         O	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	         O	(PP*
           west	        JJ	      B-NP	         O	              -	  I-AM-LOC	         O	(NP*
        Houston	       NNP	      E-NP	     S-LOC	              -	  E-AM-LOC	         O	*))
             in	        IN	      S-PP	         O	              -	  B-AM-TMP	         O	(PP*
            mid	        RB	    S-ADVP	         O	              -	  E-AM-TMP	         O	(NP*))))))
              -	         :	         O	         O	              -	         O	         O	(PP*
       February	       NNP	      S-NP	         O	              -	         O	      S-A0	(NP*)))))))
            has	       VBZ	      B-VP	         O	              -	         O	         O	(VP*
       prompted	       VBN	      E-VP	         O	       prompted	         O	       S-V	(VP*
          about	        IN	      B-NP	         O	              -	         O	      B-A1	(NP(NP(QP*
              a	        DT	      I-NP	         O	              -	         O	      I-A1	*
          dozen	        NN	      I-NP	         O	              -	         O	      I-A1	*)
          calls	       VBZ	      E-NP	         O	              -	         O	      I-A1	*)
             to	        TO	      S-PP	         O	              -	         O	      I-A1	(PP*
    authorities	       NNS	      S-NP	         O	              -	         O	      E-A1	(NP*)))))
              .	         .	         O	         O	              -	         O	         O	*))

            The	        DT	      B-NP	         O	              -	         O	         O	      B-A0	         O	         O	(S1(S(NP*
       Virginia	       NNP	      I-NP	     S-LOC	              -	         O	         O	      I-A0	         O	         O	*)
              -	         :	      I-NP	         O	              -	         O	         O	      I-A0	         O	         O	*
          based	       VBN	      I-NP	         O	          based	       S-V	         O	      I-A0	         O	         O	(S(VP*
       National	       NNP	      I-NP	     B-ORG	              -	      B-A1	         O	      I-A0	         O	         O	*
         Center	       NNP	      E-NP	     E-ORG	              -	      E-A1	         O	      I-A0	         O	         O	(VP*
            for	        IN	      S-PP	         O	              -	         O	         O	      I-A0	         O	         O	(PP*
        Missing	       NNP	      B-NP	         O	              -	         O	         O	      I-A0	         O	         O	(NP(ADJP*
            and	        CC	      I-NP	         O	              -	         O	         O	      I-A0	         O	         O	*
      Exploited	       VBN	      I-NP	         O	      Exploited	         O	       S-V	      I-A0	         O	         O	*)
       Children	       NNP	      E-NP	         O	              -	         O	      S-A1	      E-A0	         O	         O	*)))))
        created	       VBD	      S-VP	         O	        created	         O	         O	       S-V	         O	         O	(VP*
            the	        DT	      B-NP	         O	              -	         O	         O	      B-A1	         O	         O	(NP(NP*
          image	        NN	      E-NP	         O	              -	         O	         O	      E-A1	         O	         O	*)
             at	        IN	      S-PP	         O	              -	         O	         O	  B-AM-LOC	         O	         O	(PP*
            the	        DT	      B-NP	         O	              -	         O	         O	  I-AM-LOC	         O	         O	(NP(NP*
         behest	        NN	      E-NP	         O	              -	         O	         O	  I-AM-LOC	         O	         O	*)
             of	        IN	      S-PP	         O	              -	         O	         O	  I-AM-LOC	         O	         O	(PP*
         Harris	       NNP	      B-NP	     B-ORG	              -	         O	         O	  I-AM-LOC	         O	         O	(NP*
         County	       NNP	      I-NP	     E-ORG	              -	         O	         O	  I-AM-LOC	         O	         O	*
      officials	       NNS	      E-NP	         O	              -	         O	         O	  E-AM-LOC	         O	         O	*)))))
             to	        TO	      B-VP	         O	              -	         O	         O	  B-AM-PNC	         O	         O	(S(VP*
           help	        VB	      I-VP	         O	           help	         O	         O	  I-AM-PNC	       S-V	         O	(VP*
       identify	        VB	      E-VP	         O	       identify	         O	         O	  I-AM-PNC	      B-A1	       S-V	(S(VP*
            the	        DT	      B-NP	         O	              -	         O	         O	  I-AM-PNC	      I-A1	      B-A1	(NP*
          woman	        NN	      E-NP	         O	              -	         O	         O	  E-AM-PNC	      E-A1	      E-A1	*)))))))
              .	         .	         O	         O	              -	         O	         O	         O	         O	         O	*))

            She	       PRP	      S-NP	         O	              -	         O	(S1(S(NP*)
            was	       VBD	      S-VP	         O	              -	         O	(VP*
        between	        IN	      S-PP	         O	              -	         O	(ADJP(PP*
             15	        CD	      B-NP	         O	              -	         O	(NP*
            and	        CC	      I-NP	         O	              -	         O	*
             25	        CD	      I-NP	         O	              -	         O	*
          years	       NNS	      E-NP	         O	              -	         O	*))
            old	        JJ	    S-ADJP	         O	              -	         O	*
           when	       WRB	    S-ADVP	         O	              -	         O	(SBAR(WHADVP*)
            she	       PRP	      S-NP	         O	              -	      S-A1	(S(NP*)
           died	       VBD	      S-VP	         O	           died	       S-V	(VP*)))))
              .	         .	         O	         O	              -	         O	*))

            THE	        DT	      B-NP	         O	              -	         O	(S1(NP(NP*
          CRIME	        NN	      E-NP	         O	              -	         O	*)
              :	         :	         O	         O	              -	         O	*
           Teen	       NNP	      S-NP	         O	              -	      S-A0	(S(NP*)
          found	       VBD	      S-VP	         O	          found	       S-V	(VP*
           dead	        JJ	    S-ADJP	         O	              -	      S-A1	(ADJP*)
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	(NP(NP*
         middle	        NN	      E-NP	         O	              -	  I-AM-LOC	*)
             of	        IN	      S-PP	         O	              -	  I-AM-LOC	(PP*
         street	        NN	      S-NP	         O	              -	  E-AM-LOC	(NP*))))))))

            The	        DT	      B-NP	         O	              -	      B-A0	      B-A1	(S1(S(S(NP*
         center	        NN	      E-NP	         O	              -	      E-A0	      I-A1	*)
