     2017-03-12	        CD	      S-NP	         O	              -	(S1(NP*))

        17-year	       SYM	      S-NP	         O	              -	(S1(NP(NP(ADJP*
              -	         :	         O	         O	              -	*
            old	        JJ	      B-NP	         O	              -	*)
            boy	        NN	      E-NP	         O	              -	*)
           shot	        NN	      S-VP	         O	              -	(VP*
             in	        IN	      S-PP	         O	              -	(PP*
           West	       NNP	      B-NP	     B-LOC	              -	(NP*
       Humboldt	       NNP	      I-NP	     I-LOC	              -	*
           Park	       NNP	      E-NP	     E-LOC	              -	*)))))

              A	        DT	      B-NP	         O	              -	      B-A1	(S1(S(NP*
        17-year	        JJ	      I-NP	         O	              -	      I-A1	(ADJP*
              -	         :	      I-NP	         O	              -	      I-A1	*
            old	        JJ	      I-NP	         O	              -	      I-A1	*)
            boy	        NN	      E-NP	         O	              -	      E-A1	*)
            was	       VBD	      B-VP	         O	              -	         O	(VP*
           shot	       VBN	      E-VP	         O	           shot	       S-V	(VP*
       Saturday	       NNP	      B-NP	         O	              -	  B-AM-TMP	(NP*
        evening	        NN	      E-NP	         O	              -	  E-AM-TMP	*)
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	(NP*
           West	       NNP	      I-NP	     B-LOC	              -	  I-AM-LOC	*
       Humboldt	       NNP	      I-NP	     I-LOC	              -	  I-AM-LOC	*
           Park	       NNP	      I-NP	     E-LOC	              -	  I-AM-LOC	*
   neighborhood	        NN	      E-NP	         O	              -	  I-AM-LOC	*))
             on	        IN	      S-PP	         O	              -	  I-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	(NP*
           West	       NNP	      I-NP	     B-LOC	              -	  I-AM-LOC	*
           Side	       NNP	      E-NP	     E-LOC	              -	  E-AM-LOC	*))))
              .	         .	         O	         O	              -	         O	*))

          About	        IN	      B-NP	         O	              -	  B-AM-TMP	         O	         O	(S1(S(S(NP(QP*
         inside	        RB	    S-ADVP	         O	              -	  E-AM-TMP	         O	      E-A2	(ADVP*)))))))))
              ,	         ,	         O	         O	              -	         O	         O	         O	*
      according	       VBG	      S-PP	         O	              -	         O	         O	         O	(PP*
             to	        TO	      S-PP	         O	              -	         O	         O	         O	(PP*
        Chicago	       NNP	      B-NP	     B-ORG	              -	         O	         O	         O	(NP*
         Police	       NNP	      E-NP	     E-ORG	              -	         O	         O	         O	*)))
              .	         .	         O	         O	              -	         O	         O	         O	*))

            The	        DT	      B-NP	         O	              -	      B-A0	      B-A1	      B-A1	(S1(S(S(NP*
            boy	        NN	      E-NP	         O	              -	      E-A0	      E-A1	      I-A1	*)
       suffered	       VBD	      S-VP	         O	       suffered	       S-V	         O	      I-A1	(VP(VP*
              a	        DT	      B-NP	         O	              -	      B-A1	         O	      I-A1	(NP*
        gunshot	        NN	      I-NP	         O	              -	      I-A1	         O	      I-A1	*
          wound	        NN	      E-NP	         O	              -	      E-A1	         O	      I-A1	*)
             to	        TO	      S-PP	         O	              -	  B-AM-DIR	         O	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-DIR	         O	      I-A1	(NP*
           foot	        NN	      E-NP	         O	              -	  E-AM-DIR	         O	      I-A1	*)))
            and	        CC	         O	         O	              -	         O	         O	      I-A1	*
            was	       VBD	      B-VP	         O	              -	         O	         O	      I-A1	(VP*
          taken	       VBN	      E-VP	         O	          taken	         O	       S-V	      I-A1	(VP*
             to	        TO	      S-PP	         O	              -	         O	  B-AM-DIR	      I-A1	(PP*
       Illinois	       NNP	      B-NP	     B-LOC	              -	         O	  I-AM-DIR	      I-A1	(NP*
        Masonic	       NNP	      I-NP	     I-LOC	              -	         O	  I-AM-DIR	      I-A1	*
        Medical	       NNP	      I-NP	     I-LOC	              -	         O	  I-AM-DIR	      I-A1	*
         Center	       NNP	      E-NP	     E-LOC	              -	         O	  I-AM-DIR	      I-A1	*))
             in	        IN	      S-PP	         O	              -	         O	  I-AM-DIR	      I-A1	(PP*
           good	        JJ	      B-NP	         O	              -	         O	  I-AM-DIR	      I-A1	(NP*
      condition	        NN	      E-NP	         O	              -	         O	  E-AM-DIR	      E-A1	*))))))
              ,	         ,	         O	         O	              -	         O	         O	         O	*
         police	        NN	      S-NP	         O	              -	         O	         O	      S-A0	(NP*)
           said	       VBD	      S-VP	         O	           said	         O	         O	       S-V	(VP*)
              .	         .	         O	         O	              -	         O	         O	         O	*))

