     2017-01-07	        CD	      S-NP	         O	              -	(S1(NP*))

          These	        DT	      S-NP	         O	              -	(S1(S(NP*)
            are	       VBP	      S-VP	         O	              -	(VP*
            the	        DT	      B-NP	         O	              -	(NP(NP*
        victims	       NNS	      E-NP	         O	              -	*)
             of	        IN	      S-PP	         O	              -	(PP*
            the	        DT	      B-NP	         O	              -	(NP*
           Fort	       NNP	      I-NP	     B-LOC	              -	*
     Lauderdale	       NNP	      I-NP	     E-LOC	              -	*
        airport	        NN	      I-NP	         O	              -	*
       shooting	        NN	      E-NP	         O	              -	*))))))

           1:56	        CD	      B-NP	         O	              -	         O	         O	         O	         O	  B-AM-TMP	         O	         O	         O	         O	         O	         O	(S1(S(NP(NP*
             in	        IN	      S-PP	         O	              -	  I-AM-TMP	      I-A0	         O	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	(PP*
        Miramar	       NNP	      B-NP	     S-LOC	              -	  I-AM-TMP	      I-A0	         O	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	(NP*
        NEWLINE	       NNP	      I-NP	    S-MISC	              -	  I-AM-TMP	      I-A0	         O	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	*
           3:30	        CD	      I-NP	         O	              -	  I-AM-TMP	      I-A0	         O	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	*
          Video	        NN	      E-NP	         O	              -	  E-AM-TMP	      E-A0	         O	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	*))))))
       captures	       VBZ	      S-VP	         O	       captures	         O	       S-V	         O	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	*
        moments	       NNS	      S-NP	         O	              -	         O	      S-A1	         O	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	(NP(NP*)
          after	        IN	      S-PP	         O	              -	         O	  B-AM-TMP	         O	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	(PP*
         police	        NN	      B-NP	         O	              -	         O	  I-AM-TMP	      B-A1	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	(NP(NP*
        cruiser	        NN	      I-NP	         O	              -	         O	  I-AM-TMP	      I-A1	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	*
          crash	        NN	      E-NP	         O	              -	         O	  I-AM-TMP	      I-A1	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	*)
             on	        IN	      S-PP	         O	              -	         O	  I-AM-TMP	      I-A1	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	(PP*
          Coral	       NNP	      B-NP	    B-MISC	              -	         O	  I-AM-TMP	      I-A1	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	(NP*
            Way	       NNP	      E-NP	    I-MISC	              -	         O	  I-AM-TMP	      I-A1	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	*))
        NEWLINE	       NNP	      B-NP	    E-MISC	              -	         O	  I-AM-TMP	      I-A1	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	(NP*
           1:45	        CD	      I-NP	         O	              -	         O	  I-AM-TMP	      I-A1	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	*
         Heroin	       NNP	      I-NP	         O	              -	         O	  I-AM-TMP	      I-A1	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	*
       antidote	        NN	      E-NP	         O	              -	         O	  I-AM-TMP	      E-A1	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	*))))
        becomes	       VBZ	      S-VP	         O	        becomes	         O	  I-AM-TMP	       S-V	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	*
      available	        JJ	    S-ADJP	         O	              -	         O	  I-AM-TMP	      S-A2	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	(ADJP*)
        without	        IN	      S-PP	         O	              -	         O	  I-AM-TMP	  B-AM-ADV	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	*
   prescription	        NN	      B-NP	         O	              -	         O	  I-AM-TMP	  I-AM-ADV	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	(NP(NP*
        NEWLINE	        NN	      I-NP	     S-ORG	              -	         O	  I-AM-TMP	  I-AM-ADV	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	*)
           1:06	        CD	      I-NP	         O	              -	         O	  I-AM-TMP	  I-AM-ADV	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	*
            New	        JJ	      I-NP	         O	              -	         O	  I-AM-TMP	  I-AM-ADV	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	*
        efforts	       NNS	      E-NP	         O	              -	         O	  I-AM-TMP	  I-AM-ADV	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	*
             to	        TO	      B-VP	         O	              -	         O	  I-AM-TMP	  I-AM-ADV	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	(S(VP*
           stop	        VB	      E-VP	         O	           stop	         O	  I-AM-TMP	  I-AM-ADV	       S-V	  I-AM-TMP	         O	         O	         O	         O	         O	         O	(VP*
        America	       NNP	      S-NP	     S-LOC	              -	         O	  I-AM-TMP	  I-AM-ADV	      B-A1	  I-AM-TMP	         O	         O	         O	         O	         O	         O	(NP(NP*
             's	       POS	      B-NP	         O	              -	         O	  I-AM-TMP	  I-AM-ADV	      I-A1	  I-AM-TMP	         O	         O	         O	         O	         O	         O	*)
         opioid	        NN	      I-NP	         O	              -	         O	  I-AM-TMP	  I-AM-ADV	      I-A1	  I-AM-TMP	         O	         O	         O	         O	         O	         O	*
          abuse	        NN	      I-NP	         O	              -	         O	  I-AM-TMP	  I-AM-ADV	      I-A1	  I-AM-TMP	         O	         O	         O	         O	         O	         O	*
        problem	        NN	      E-NP	         O	              -	         O	  I-AM-TMP	  I-AM-ADV	      I-A1	  I-AM-TMP	         O	         O	         O	         O	         O	         O	*
        NEWLINE	       NNP	      B-NP	     S-ORG	              -	         O	  I-AM-TMP	  I-AM-ADV	      I-A1	  I-AM-TMP	         O	         O	         O	         O	         O	         O	*
           0:42	        CD	      E-NP	         O	              -	         O	  I-AM-TMP	  I-AM-ADV	      I-A1	  E-AM-TMP	         O	         O	         O	         O	         O	         O	*
          Miami	       NNP	      S-NP	     S-LOC	              -	         O	  I-AM-TMP	  E-AM-ADV	      I-A1	      B-A0	         O	         O	         O	         O	         O	         O	(NP*))))))
              -	         :	         O	         O	              -	         O	  I-AM-TMP	         O	      I-A1	      I-A0	         O	         O	         O	         O	         O	         O	*
           Dade	       NNP	      B-NP	     S-PER	              -	         O	  I-AM-TMP	         O	      I-A1	      I-A0	         O	         O	         O	         O	         O	         O	(NP*
           bust	        NN	      E-NP	         O	              -	         O	  I-AM-TMP	         O	      E-A1	      E-A0	         O	         O	         O	         O	         O	         O	*)
          finds	       VBZ	      S-VP	         O	          finds	         O	  I-AM-TMP	         O	         O	       S-V	         O	         O	         O	         O	         O	         O	*
            new	        JJ	      B-NP	         O	              -	         O	  I-AM-TMP	         O	         O	      B-A3	      B-A0	      B-A1	         O	         O	         O	         O	(NP(ADJP*
         deadly	        JJ	      I-NP	         O	              -	         O	  I-AM-TMP	         O	         O	      I-A3	      I-A0	      I-A1	         O	         O	         O	         O	*)
         opioid	        NN	      I-NP	         O	              -	         O	  I-AM-TMP	         O	         O	      I-A3	      I-A0	      I-A1	         O	         O	         O	         O	*
           drug	        NN	      E-NP	         O	              -	         O	  I-AM-TMP	         O	         O	      I-A3	      I-A0	      I-A1	         O	         O	         O	         O	*
        NEWLINE	        NN	      S-VP	     S-ORG	              -	         O	  I-AM-TMP	         O	         O	      I-A3	      I-A0	      I-A1	         O	         O	         O	         O	*
           1:41	        CD	      B-NP	         O	              -	         O	  I-AM-TMP	         O	         O	      I-A3	      I-A0	      I-A1	         O	         O	         O	         O	*)
     Lauderhill	       NNP	      E-NP	    S-MISC	              -	         O	  I-AM-TMP	         O	         O	      I-A3	      E-A0	      I-A1	         O	         O	         O	         O	(NP*
        killing	       VBG	      S-VP	         O	        killing	         O	  I-AM-TMP	         O	         O	      I-A3	       S-V	      E-A1	         O	         O	         O	         O	*)
         caught	       VBD	      S-VP	         O	         caught	         O	  I-AM-TMP	         O	         O	      I-A3	      B-A1	       S-V	         O	         O	         O	         O	*
             on	        IN	      S-PP	         O	              -	         O	  I-AM-TMP	         O	         O	      I-A3	      I-A1	      B-A2	         O	         O	         O	         O	*
   surveillance	        NN	      B-NP	         O	              -	         O	  I-AM-TMP	         O	         O	      I-A3	      I-A1	      I-A2	         O	         O	         O	         O	(NP*
          video	        NN	      E-NP	         O	              -	         O	  E-AM-TMP	         O	         O	      I-A3	      E-A1	      E-A2	         O	         O	         O	         O	*)
              (	     -LRB-	         O	         O	              -	         O	         O	         O	         O	      I-A3	         O	         O	         O	         O	         O	         O	*
        Graphic	       NNP	      B-NP	     B-ORG	              -	         O	         O	         O	         O	      I-A3	         O	         O	         O	         O	         O	         O	(NP*
        Content	       NNP	      E-NP	     E-ORG	              -	         O	         O	         O	         O	      I-A3	         O	         O	         O	         O	         O	         O	*
              )	     -RRB-	         O	         O	              -	         O	         O	         O	         O	      I-A3	         O	         O	         O	         O	         O	         O	*
        NEWLINE	        NN	      S-VP	     S-ORG	              -	         O	         O	         O	         O	      I-A3	         O	         O	      B-A1	         O	         O	         O	*
           0:31	        CD	      B-NP	         O	              -	         O	         O	         O	         O	      I-A3	         O	         O	      I-A1	         O	         O	         O	*
        Florida	       NNP	      I-NP	     S-LOC	              -	         O	         O	         O	         O	      I-A3	         O	         O	      I-A1	         O	         O	         O	*
          woman	        NN	      E-NP	         O	              -	         O	         O	         O	         O	      I-A3	         O	         O	      E-A1	         O	         O	         O	*)
        charged	       VBD	      S-VP	         O	        charged	         O	         O	         O	         O	      I-A3	         O	         O	       S-V	         O	         O	         O	*
           with	        IN	      S-PP	         O	              -	         O	         O	         O	         O	      I-A3	         O	         O	      B-A1	         O	         O	         O	(PP*
          arson	        NN	      S-NP	         O	              -	         O	         O	         O	         O	      I-A3	         O	         O	      E-A1	         O	         O	         O	(NP*))
          after	        IN	      S-PP	         O	              -	         O	         O	         O	         O	      I-A3	         O	         O	  B-AM-TMP	         O	         O	         O	*
        setting	       VBG	      S-VP	         O	        setting	         O	         O	         O	         O	      I-A3	         O	         O	  I-AM-TMP	       S-V	         O	         O	*
          wrong	        JJ	      B-NP	         O	              -	         O	         O	         O	         O	      I-A3	         O	         O	  I-AM-TMP	      B-A1	         O	         O	(NP*
            car	        NN	      E-NP	         O	              -	         O	         O	         O	         O	      I-A3	         O	         O	  I-AM-TMP	      E-A1	         O	         O	*)
             on	        IN	      S-PP	         O	              -	         O	         O	         O	         O	      I-A3	         O	         O	  I-AM-TMP	      B-A2	         O	         O	(PP*
           fire	        NN	      B-NP	         O	              -	         O	         O	         O	         O	      I-A3	         O	         O	  I-AM-TMP	      I-A2	         O	         O	(NP*
        NEWLINE	        NN	      I-NP	    S-MISC	              -	         O	         O	         O	         O	      I-A3	         O	         O	  I-AM-TMP	      I-A2	         O	         O	*
           3:00	        CD	      I-NP	         O	              -	         O	         O	         O	         O	      I-A3	         O	         O	  I-AM-TMP	      I-A2	         O	         O	*
          Video	        NN	      E-NP	         O	              -	         O	         O	         O	         O	      I-A3	         O	         O	  E-AM-TMP	      E-A2	         O	         O	*))
              :	         :	         O	         O	              -	         O	         O	         O	         O	      I-A3	         O	         O	         O	         O	         O	         O	*
            911	        CD	      B-NP	         O	              -	         O	         O	         O	         O	      I-A3	         O	         O	         O	         O	      B-A0	      B-A0	(NP(NP*
           call	        NN	      E-NP	         O	              -	         O	         O	         O	         O	      I-A3	         O	         O	         O	         O	      I-A0	      I-A0	*)
             of	        IN	      S-PP	         O	              -	         O	         O	         O	         O	      I-A3	         O	         O	         O	         O	      I-A0	      I-A0	(PP*
         couple	        NN	      S-NP	         O	              -	         O	         O	         O	         O	      I-A3	         O	         O	         O	         O	      E-A0	      E-A0	(NP*))
           seen	       VBN	      B-VP	         O	           seen	         O	         O	         O	         O	      I-A3	         O	         O	         O	         O	       S-V	         O	(VP*
         having	       VBG	      E-VP	         O	         having	         O	         O	         O	         O	      I-A3	         O	         O	         O	         O	      B-A1	       S-V	(S(VP*
            sex	        NN	      S-NP	         O	              -	         O	         O	         O	         O	      I-A3	         O	         O	         O	         O	      I-A1	      S-A1	(NP(NP*)
             on	        IN	      S-PP	         O	              -	         O	         O	         O	         O	      I-A3	         O	         O	         O	         O	      I-A1	  B-AM-LOC	(PP*
        Florida	       NNP	      B-NP	     S-LOC	              -	         O	         O	         O	         O	      I-A3	         O	         O	         O	         O	      I-A1	  I-AM-LOC	(NP*
          beach	        NN	      E-NP	         O	              -	         O	         O	         O	         O	      E-A3	         O	         O	         O	         O	      E-A1	  E-AM-LOC	*)))))))))

