     2017-02-09	        CD	      S-NP	         O	              -	(S1(NP*))

         Police	       NNS	      S-NP	         O	              -	      S-A0	(S1(S(NP*)
       identify	       VBP	      S-VP	         O	       identify	       S-V	(VP*
          three	        CD	    B-ADJP	         O	              -	      B-A1	(NP(NP*)
       possibly	        RB	    I-ADJP	         O	              -	      I-A1	(ADVP*)
    responsible	        JJ	    E-ADJP	         O	              -	      I-A1	(ADJP*
            for	        IN	      S-PP	         O	              -	      I-A1	(PP*
         deadly	        JJ	      B-NP	         O	              -	      I-A1	(NP*
           East	       NNP	      I-NP	     B-LOC	              -	      I-A1	*
      Cleveland	       NNP	      I-NP	     E-LOC	              -	      I-A1	*
            bar	        NN	      I-NP	         O	              -	      I-A1	*
       shooting	        NN	      E-NP	         O	              -	      E-A1	*)))))))

           EAST	       NNP	      B-NP	     B-LOC	              -	      B-A0	         O	(S1(S(NP(NP*
              ,	         ,	         O	         O	              -	      I-A0	      I-A1	*
             19	        CD	      S-NP	         O	              -	      I-A0	      I-A1	(NP*)
              ,	         ,	         O	         O	              -	      I-A0	      I-A1	*
       Deaundre	       NNP	      B-NP	     B-PER	              -	      I-A0	      I-A1	(NP*
          Smith	       NNP	      I-NP	     E-PER	              -	      I-A0	      I-A1	*)
              ,	         ,	      I-NP	         O	              -	      I-A0	      I-A1	*
             19	        CD	      E-NP	         O	              -	      I-A0	      I-A1	(NP*))
              ,	         ,	         O	         O	              -	      I-A0	      I-A1	*
            and	        CC	         O	         O	              -	      I-A0	      I-A1	*
           Tony	       NNP	      B-NP	     B-PER	              -	      I-A0	      I-A1	(NP(NP*
          Ricks	       NNP	      E-NP	     E-PER	              -	      I-A0	      I-A1	*)
              ,	         ,	         O	         O	              -	      I-A0	      I-A1	*
             21	        CD	      S-NP	         O	              -	      I-A0	      I-A1	(NP*)
              ,	         ,	         O	         O	              -	      E-A0	      I-A1	*))
            are	       VBP	      B-VP	         O	              -	         O	      I-A1	(VP*
         wanted	       VBN	      E-VP	         O	         wanted	       S-V	      I-A1	(VP*
             in	        IN	      S-PP	         O	              -	      B-A0	      I-A1	(PP*
     connection	        NN	      S-NP	         O	              -	      I-A0	      I-A1	(NP(NP*)
           with	        IN	      S-PP	         O	              -	      I-A0	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	      I-A0	      I-A1	(NP(NP*
          fatal	        JJ	      I-NP	         O	              -	      I-A0	      I-A1	*
       shooting	        NN	      E-NP	         O	              -	      I-A0	      I-A1	*)
             of	        IN	      S-PP	         O	              -	      I-A0	      I-A1	(PP*
              a	        DT	      B-NP	         O	              -	      I-A0	      I-A1	(NP(NP*
            man	        NN	      E-NP	         O	              -	      I-A0	      I-A1	*)
             at	        IN	      S-PP	         O	              -	      I-A0	      I-A1	(PP*
           Club	       NNP	      B-NP	    B-MISC	              -	      I-A0	      I-A1	(NP(NP*
            Dew	       NNP	      I-NP	    I-MISC	              -	      I-A0	      I-A1	*
           Drop	       NNP	      E-NP	    E-MISC	              -	      I-A0	      E-A1	*)
              ,	         ,	         O	         O	              -	      I-A0	         O	*
          chief	        JJ	      B-NP	         O	              -	      I-A0	      B-A0	(NP*
        Michael	       NNP	      I-NP	     B-PER	              -	      I-A0	      I-A0	*
       Cardilli	       NNP	      E-NP	     E-PER	              -	      I-A0	      E-A0	*))))))))))))
           said	       VBD	      S-VP	         O	           said	      I-A0	       S-V	(VP*)
              .	         .	         O	         O	              -	      I-A0	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	      E-A0	       S-V	(NP*)))

            Out	        IN	      S-PP	         O	              -	  B-AM-ADV	         O	(S1(S(PP*
             of	        IN	      S-PP	         O	              -	  I-AM-ADV	         O	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-ADV	         O	(NP*
          three	        CD	      I-NP	         O	              -	  I-AM-ADV	         O	*
            men	       NNS	      E-NP	         O	              -	  E-AM-ADV	         O	*)))
              ,	         ,	         O	         O	              -	         O	         O	*
           East	       NNP	      B-NP	     B-ORG	              -	      B-A0	         O	(NP*
      Cleveland	       NNP	      I-NP	     I-ORG	              -	      I-A0	         O	*
         Police	       NNP	      I-NP	     I-ORG	              -	      I-A0	         O	*
          Chief	       NNP	      E-NP	     E-ORG	              -	      E-A0	         O	*)
           said	       VBD	      S-VP	         O	           said	       S-V	         O	(VP*
         Bryant	       NNP	      S-NP	     S-PER	              -	      B-A1	      S-A1	(SBAR(S(NP*)
            has	       VBZ	      B-VP	         O	              -	      I-A1	         O	(VP(VP*
           been	       VBN	      I-VP	         O	              -	      I-A1	         O	(VP*
       arrested	       VBN	      E-VP	         O	       arrested	      I-A1	       S-V	(VP*)))
            and	        CC	         O	         O	              -	      I-A1	         O	*
             is	       VBZ	      S-VP	         O	              -	      I-A1	         O	(VP*
             in	        IN	      S-PP	         O	              -	      I-A1	         O	(PP*
        custody	        NN	      S-NP	         O	              -	      E-A1	         O	(NP*)))))))
              .	         .	         O	         O	              -	         O	         O	*))

         Police	       NNS	      S-NP	         O	              -	      S-A0	         O	(S1(S(NP*)
           said	       VBD	      S-VP	         O	           said	       S-V	         O	(VP*
           they	       PRP	      S-NP	         O	              -	      B-A1	         O	(SBAR(S(NP*)
           were	       VBD	      S-VP	         O	              -	      I-A1	         O	(VP*
             in	        IN	      S-PP	         O	              -	      I-A1	         O	(PP*
        contact	        NN	      S-NP	         O	              -	      I-A1	         O	(NP(NP*)
           with	        IN	      S-PP	         O	              -	      I-A1	         O	(PP*
         Bryant	       NNP	      B-NP	     S-PER	              -	      I-A1	         O	(NP*
          hours	       NNS	      E-NP	         O	              -	      I-A1	         O	*))))
         before	        IN	    S-SBAR	         O	              -	      I-A1	         O	(SBAR*
             he	       PRP	      S-NP	         O	              -	      I-A1	      S-A1	(S(NP*)
            was	       VBD	      B-VP	         O	              -	      I-A1	         O	(VP*
          taken	       VBN	      E-VP	         O	          taken	      I-A1	       S-V	(VP*
           into	        IN	      S-PP	         O	              -	      I-A1	      B-A2	(PP*
        custody	        NN	      S-NP	         O	              -	      I-A1	      E-A2	(NP*))
             at	        IN	      S-PP	         O	              -	      I-A1	  B-AM-LOC	(PP*
             an	        DT	      B-NP	         O	              -	      I-A1	  I-AM-LOC	(NP*
        unknown	        JJ	      I-NP	         O	              -	      I-A1	  I-AM-LOC	*
       location	        NN	      E-NP	         O	              -	      E-A1	  E-AM-LOC	*))))))))))
              .	         .	         O	         O	              -	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	         O	(NP*)))

           East	       NNP	      B-NP	     B-ORG	              -	         O	         O	(S1(S(NP*
      Cleveland	       NNP	      I-NP	     E-ORG	              -	         O	         O	*
         Police	       NNP	      I-NP	         O	              -	         O	         O	*
          Chief	       NNP	      I-NP	         O	              -	         O	         O	*
        Michael	       NNP	      I-NP	     B-PER	              -	         O	         O	*
       Cardilli	       NNP	      E-NP	     E-PER	              -	         O	         O	*)
            was	       VBD	      S-VP	         O	              -	         O	         O	(VP*
             in	        IN	      S-PP	         O	              -	         O	         O	(PP*
  communication	        NN	      S-NP	         O	              -	         O	         O	(NP(NP*)
           with	        IN	      S-PP	         O	              -	         O	         O	(PP*
         Bryant	       NNP	      S-NP	     S-PER	              -	         O	         O	(NP*))))
        through	        IN	      S-PP	         O	              -	         O	         O	(PP*
            his	      PRP$	      B-NP	         O	              -	      B-A0	      B-A0	(NP*
         family	        NN	      E-NP	         O	              -	      E-A0	      E-A0	*))
              ,	         ,	         O	         O	              -	         O	         O	*
            who	        WP	      S-NP	         O	              -	    S-R-A0	    S-R-A0	(SBAR(WHNP*)
          vowed	       VBD	      B-VP	         O	          vowed	       S-V	         O	(S(VP*
             to	        TO	      I-VP	         O	              -	      B-A1	         O	(S(VP*
          bring	        VB	      E-VP	         O	          bring	      I-A1	       S-V	(VP*
         Bryant	       NNP	      S-NP	     S-PER	              -	      I-A1	      S-A1	(NP*)
             in	        IN	      S-PP	         O	              -	      I-A1	  B-AM-MNR	(PP*
         safely	        RB	      B-NP	         O	              -	      E-A1	  E-AM-MNR	(ADVP*)))))))))
              .	         .	      I-NP	         O	              -	         O	         O	*
        NEWLINE	       NNP	      E-NP	     S-LOC	              -	         O	         O	(NP*)))

              "	        IN	    S-SBAR	         O	              -	         O	         O	         O	         O	         O	  B-AM-ADV	         O	         O	         O	      B-A1	(S1(S(S(ADVP*)
             We	       PRP	      S-NP	         O	              -	      S-A0	      S-A0	         O	      S-A0	         O	  I-AM-ADV	         O	         O	         O	      I-A1	(NP*)
            had	       VBD	      S-VP	         O	            had	       S-V	         O	         O	         O	         O	  I-AM-ADV	         O	         O	         O	      I-A1	(VP*
        several	        JJ	      B-NP	         O	              -	      B-A1	      B-A0	         O	         O	         O	  I-AM-ADV	         O	         O	         O	      I-A1	(NP*
          teams	       NNS	      E-NP	         O	              -	      I-A1	      E-A0	         O	         O	         O	  I-AM-ADV	         O	         O	         O	      I-A1	*)
            out	        IN	      S-PP	         O	              -	      I-A1	         O	         O	         O	         O	  I-AM-ADV	         O	         O	         O	      I-A1	(SBAR(ADVP*)
       knocking	       VBG	      S-VP	         O	       knocking	      I-A1	       S-V	         O	         O	         O	  I-AM-ADV	         O	         O	         O	      I-A1	(S(S(VP*
             on	        IN	      S-PP	         O	              -	      I-A1	      B-A1	         O	         O	         O	  I-AM-ADV	         O	         O	         O	      I-A1	(PP*
          doors	       NNS	      S-NP	         O	              -	      I-A1	      I-A1	         O	         O	         O	  I-AM-ADV	         O	         O	         O	      I-A1	(NP(NP*)
         trying	       VBG	      B-VP	         O	         trying	      I-A1	      I-A1	       S-V	         O	         O	  I-AM-ADV	         O	         O	         O	      I-A1	(VP*
             to	        TO	      I-VP	         O	              -	      I-A1	      I-A1	      B-A1	         O	         O	  I-AM-ADV	         O	         O	         O	      I-A1	(S(VP*
         locate	        VB	      E-VP	         O	         locate	      I-A1	      I-A1	      I-A1	       S-V	         O	  I-AM-ADV	         O	         O	         O	      I-A1	(VP*
          these	        DT	      B-NP	         O	              -	      I-A1	      I-A1	      I-A1	      B-A1	         O	  I-AM-ADV	         O	         O	         O	      I-A1	(NP*
          males	       NNS	      E-NP	         O	              -	      E-A1	      E-A1	      E-A1	      E-A1	         O	  I-AM-ADV	         O	         O	         O	      I-A1	*)))))))))
            and	        CC	         O	         O	              -	         O	         O	         O	         O	         O	  I-AM-ADV	         O	         O	         O	      I-A1	*
             we	       PRP	      S-NP	         O	              -	         O	         O	         O	         O	      S-A0	  I-AM-ADV	         O	         O	         O	      I-A1	(S(NP*)
           made	       VBD	      S-VP	         O	           made	         O	         O	         O	         O	       S-V	  I-AM-ADV	         O	         O	         O	      I-A1	(VP*
        contact	        NN	      S-NP	         O	              -	         O	         O	         O	         O	      S-A1	  I-AM-ADV	         O	         O	         O	      I-A1	(NP*)
           with	        IN	      S-PP	         O	              -	         O	         O	         O	         O	      B-A2	  I-AM-ADV	         O	         O	         O	      I-A1	(PP*
           some	        DT	      B-NP	         O	              -	         O	         O	         O	         O	      I-A2	  I-AM-ADV	         O	         O	         O	      I-A1	(NP*
         family	        NN	      I-NP	         O	              -	         O	         O	         O	         O	      I-A2	  I-AM-ADV	         O	         O	         O	      I-A1	*
        members	       NNS	      E-NP	         O	              -	         O	         O	         O	         O	      E-A2	  E-AM-ADV	         O	         O	         O	      I-A1	*))))
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	*
           they	       PRP	      S-NP	         O	              -	         O	         O	         O	         O	         O	      S-A0	      S-A0	         O	         O	      I-A1	(S(NP*)
         agreed	       VBD	      B-VP	         O	         agreed	         O	         O	         O	         O	         O	       S-V	         O	         O	         O	      I-A1	(VP*
             to	        TO	      I-VP	         O	              -	         O	         O	         O	         O	         O	      B-A1	         O	         O	         O	      I-A1	(S(VP*
           help	        VB	      E-VP	         O	           help	         O	         O	         O	         O	         O	      I-A1	       S-V	         O	         O	      I-A1	(VP*
             us	       PRP	      S-NP	         O	              -	         O	         O	         O	         O	         O	      I-A1	      B-A1	      S-A0	         O	      I-A1	(S(NP*)
          bring	        VB	      S-VP	         O	          bring	         O	         O	         O	         O	         O	      I-A1	      I-A1	       S-V	         O	      I-A1	(VP*
            him	       PRP	      S-NP	         O	              -	         O	         O	         O	         O	         O	      I-A1	      I-A1	      S-A1	         O	      I-A1	(NP*)
             in	        IN	      S-PP	         O	              -	         O	         O	         O	         O	         O	      I-A1	      I-A1	  B-AM-MNR	         O	      I-A1	(ADVP*)
         safely	        RB	      B-NP	         O	              -	         O	         O	         O	         O	         O	      I-A1	      I-A1	  E-AM-MNR	         O	      I-A1	(ADVP*))))))))
            and	        CC	      I-NP	         O	              -	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	         O	      I-A1	*
           that	        DT	      I-NP	         O	              -	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	      B-A1	      I-A1	(S(NP*
        mission	        NN	      E-NP	         O	              -	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	      E-A1	      I-A1	*)
            has	       VBZ	      B-VP	         O	              -	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	         O	      I-A1	(VP*
           been	       VBN	      I-VP	         O	              -	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	         O	      I-A1	(VP*
   accomplished	       VBN	      E-VP	         O	   accomplished	         O	         O	         O	         O	         O	      E-A1	      E-A1	         O	       S-V	      E-A1	(VP*))))))))
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
              "	       WDT	      S-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	      S-A0	(SINV(ADVP*)
           said	       VBD	      S-VP	         O	           said	         O	         O	         O	         O	         O	         O	         O	         O	         O	       S-V	*
       Cardilli	       NNP	      B-NP	     S-PER	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	      S-A1	(NP*
              .	         .	      I-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
        NEWLINE	       NNP	      E-NP	     S-ORG	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	*))))

         Police	       NNS	      S-NP	         O	              -	      S-A0	         O	(S1(S(NP*)
            are	       VBP	      B-VP	         O	              -	         O	         O	(VP*
         hoping	       VBG	      E-VP	         O	         hoping	       S-V	         O	(VP*
         Bryant	       NNP	      S-NP	     S-PER	              -	      B-A1	      S-A0	(SBAR(S(NP*)
           will	        MD	      B-VP	         O	              -	      I-A1	  S-AM-MOD	(VP*
           lead	        VB	      E-VP	         O	           lead	      I-A1	       S-V	(VP*
           them	       PRP	      S-NP	         O	              -	      I-A1	      S-A1	(NP*)
             to	        TO	      S-PP	         O	              -	      I-A1	      B-A2	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	      I-A2	(NP(NP*
          other	        JJ	      I-NP	         O	              -	      I-A1	      I-A2	*
            two	        CD	      I-NP	         O	              -	      I-A1	      I-A2	*
       suspects	       NNS	      I-NP	         O	              -	      I-A1	      I-A2	*)
              ,	         ,	      I-NP	         O	              -	      I-A1	      I-A2	*
          Smith	       NNP	      I-NP	     S-PER	              -	      I-A1	      I-A2	(NP*)
            and	        CC	      I-NP	         O	              -	      I-A1	      I-A2	*
          Ricks	       NNP	      I-NP	     S-PER	              -	      I-A1	      I-A2	(NP*
              .	         .	      I-NP	         O	              -	      I-A1	      I-A2	*
        NEWLINE	       NNP	      E-NP	     S-ORG	              -	      E-A1	      E-A2	*)))))))))))

              "	        IN	    S-SBAR	         O	              -	         O	         O	         O	         O	         O	         O	      B-A1	(S1(S(PP*
             We	       PRP	      S-NP	         O	              -	      S-A0	         O	         O	         O	         O	         O	      I-A1	(SBAR(S(NP*)
            're	       VBP	      B-VP	         O	              -	         O	         O	         O	         O	         O	         O	      I-A1	(VP*
         hoping	       VBG	      E-VP	         O	         hoping	       S-V	         O	         O	         O	         O	         O	      I-A1	(ADJP*
           that	        IN	    S-SBAR	         O	              -	      B-A1	         O	         O	         O	         O	         O	      I-A1	(SBAR*
           with	        IN	      S-PP	         O	              -	      I-A1	         O	         O	  B-AM-ADV	  B-AM-ADV	         O	      I-A1	(S(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	         O	         O	  I-AM-ADV	  I-AM-ADV	         O	      I-A1	(NP(NP*
         public	        NN	      E-NP	         O	              -	      I-A1	         O	         O	  I-AM-ADV	  I-AM-ADV	         O	      I-A1	*
             's	       POS	      B-NP	         O	              -	      I-A1	         O	         O	  I-AM-ADV	  I-AM-ADV	         O	      I-A1	*)
           help	        NN	      I-NP	         O	              -	      I-A1	         O	         O	  I-AM-ADV	  I-AM-ADV	         O	      I-A1	*
            and	        CC	      I-NP	         O	              -	      I-A1	         O	         O	  I-AM-ADV	  I-AM-ADV	         O	      I-A1	*
         family	        NN	      I-NP	         O	              -	      I-A1	         O	         O	  I-AM-ADV	  I-AM-ADV	         O	      I-A1	*
        members	       NNS	      E-NP	         O	              -	      I-A1	         O	         O	  I-AM-ADV	  I-AM-ADV	         O	      I-A1	*))
           like	        IN	      S-PP	         O	              -	      I-A1	         O	         O	  I-AM-ADV	  I-AM-ADV	         O	      I-A1	(PP*
           that	        IN	      S-NP	         O	              -	      I-A1	         O	         O	  I-AM-ADV	  I-AM-ADV	         O	      I-A1	(SBAR*
           that	        DT	      B-NP	         O	              -	      I-A1	         O	         O	  I-AM-ADV	  I-AM-ADV	         O	      I-A1	(S(NP*
         caring	        NN	      E-NP	         O	              -	      I-A1	         O	         O	  I-AM-ADV	  I-AM-ADV	         O	      I-A1	*)
            and	        CC	         O	         O	              -	      I-A1	         O	         O	  I-AM-ADV	  I-AM-ADV	         O	      I-A1	*
             do	       VBP	      B-VP	         O	              -	      I-A1	         O	         O	  I-AM-ADV	  I-AM-ADV	         O	      I-A1	(VP*
            n't	        RB	      I-VP	         O	              -	      I-A1	  S-AM-NEG	         O	  I-AM-ADV	  I-AM-ADV	         O	      I-A1	*
           want	        VB	      I-VP	         O	           want	      I-A1	       S-V	         O	  I-AM-ADV	  I-AM-ADV	         O	      I-A1	(VP*
             to	        TO	      I-VP	         O	              -	      I-A1	      B-A1	         O	  I-AM-ADV	  I-AM-ADV	         O	      I-A1	(S(VP*
            put	        VB	      E-VP	         O	            put	      I-A1	      I-A1	       S-V	  I-AM-ADV	  I-AM-ADV	         O	      I-A1	(VP*
         anyone	        NN	      S-NP	         O	              -	      I-A1	      I-A1	      B-A1	  I-AM-ADV	  I-AM-ADV	         O	      I-A1	(NP*
           else	        RB	    S-ADJP	         O	              -	      I-A1	      I-A1	      E-A1	  I-AM-ADV	  I-AM-ADV	         O	      I-A1	*)
             at	        IN	      S-PP	         O	              -	      I-A1	      I-A1	      B-A2	  I-AM-ADV	  I-AM-ADV	         O	      I-A1	(PP*
           risk	        NN	      S-NP	         O	              -	      I-A1	      E-A1	      E-A2	  E-AM-ADV	  I-AM-ADV	         O	      I-A1	(NP*))
              ,	         ,	         O	         O	              -	      I-A1	         O	         O	         O	  I-AM-ADV	         O	      I-A1	*
      hopefully	        RB	    S-ADVP	         O	              -	      I-A1	         O	         O	  S-AM-ADV	  E-AM-ADV	         O	      I-A1	(ADVP*)))))))))
              ,	         ,	         O	         O	              -	      I-A1	         O	         O	         O	         O	         O	      I-A1	*
       somebody	        NN	      S-NP	         O	              -	      I-A1	         O	         O	      S-A1	      S-A0	         O	      I-A1	(NP*)
           will	        MD	      B-VP	         O	              -	      I-A1	         O	         O	  S-AM-MOD	  S-AM-MOD	         O	      I-A1	(VP*
           come	        VB	      E-VP	         O	           come	      I-A1	         O	         O	       S-V	         O	         O	      I-A1	(VP(VP*
        forward	        RB	    S-ADVP	         O	              -	      I-A1	         O	         O	      S-A2	         O	         O	      I-A1	(ADVP*))
            and	        CC	         O	         O	              -	      I-A1	         O	         O	         O	         O	         O	      I-A1	*
           help	        VB	      S-VP	         O	           help	      I-A1	         O	         O	         O	       S-V	         O	      I-A1	(VP*
             us	       PRP	      S-NP	         O	              -	      I-A1	         O	         O	         O	      B-A1	      S-A0	      I-A1	(S(NP*)
           find	        VB	      S-VP	         O	           find	      I-A1	         O	         O	         O	      I-A1	       S-V	      I-A1	(VP*
          these	        DT	      B-NP	         O	              -	      I-A1	         O	         O	         O	      I-A1	      B-A1	      I-A1	(NP*
         people	       NNS	      E-NP	         O	              -	      E-A1	         O	         O	         O	      E-A1	      E-A1	      E-A1	*)))))))))))))
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	         O	         O	         O	*
              "	        IN	    S-SBAR	         O	              -	         O	         O	         O	         O	         O	         O	         O	(SBAR*
       Cardilli	       NNP	      S-NP	     S-PER	              -	         O	         O	         O	         O	         O	         O	      S-A0	(S(NP*)
           said	       VBD	      S-VP	         O	           said	         O	         O	         O	         O	         O	         O	       S-V	(VP*)))
              .	         .	         O	         O	              -	         O	         O	         O	         O	         O	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	         O	         O	         O	         O	         O	         O	(NP*)))

         Caught	       VBN	      S-VP	         O	         Caught	       S-V	(S1(SINV(VP*
             in	        IN	      S-PP	         O	              -	      B-A2	(PP*
            the	        DT	      B-NP	         O	              -	      I-A2	(NP*
      crossfire	        NN	      E-NP	         O	              -	      E-A2	*)))
            was	       VBD	      B-VP	         O	              -	         O	(VP*)
        20-year	        JJ	      E-VP	         O	              -	         O	(NP(NP(ADJP*
              -	         :	         O	         O	              -	         O	*
            old	        JJ	      B-NP	         O	              -	         O	*)
           Eric	       NNP	      I-NP	     B-PER	              -	         O	*
         Howard	       NNP	      E-NP	     E-PER	              -	         O	*)
             of	        IN	      S-PP	         O	              -	         O	(PP*
          South	       NNP	      B-NP	     B-LOC	              -	         O	(NP*
         Euclid	       NNP	      I-NP	     E-LOC	              -	         O	*
              .	         .	      I-NP	         O	              -	         O	*
        NEWLINE	       NNP	      E-NP	     S-ORG	              -	      S-A1	*)))))

            The	        DT	      B-NP	         O	              -	      B-A0	(S1(S(NP*
       shooting	        NN	      E-NP	         O	              -	      E-A0	*)
           also	        RB	    S-ADVP	         O	              -	  S-AM-DIS	(ADVP*)
        injured	       VBD	      S-VP	         O	        injured	       S-V	(VP*
           four	        CD	      B-NP	         O	              -	      B-A1	(NP*
          other	        JJ	      I-NP	         O	              -	      I-A1	*
            men	       NNS	      E-NP	         O	              -	      E-A1	*))
              .	         .	         O	         O	              -	         O	*))

          Three	        CD	      S-NP	         O	              -	(S1(S(NP(NP*)
             of	        IN	      S-PP	         O	              -	(PP*
            the	        DT	      B-NP	         O	              -	(NP*
            men	       NNS	      E-NP	         O	              -	*)))
            are	       VBP	      S-VP	         O	              -	(VP*
             in	        IN	      S-PP	         O	              -	(PP*
       critical	        JJ	      B-NP	         O	              -	(NP*
      condition	        NN	      E-NP	         O	              -	*)))
              .	         .	         O	         O	              -	*
        NEWLINE	       NNP	         O	     S-ORG	              -	(NP*)))

       Cardilli	       NNP	      S-NP	     S-PER	              -	      S-A0	         O	(S1(S(NP*)
           said	       VBD	      S-VP	         O	           said	       S-V	         O	(VP*
            the	        DT	      B-NP	         O	              -	      B-A1	      B-A1	(SBAR(S(NP*
       shooting	        NN	      E-NP	         O	              -	      I-A1	      E-A1	*)
        appears	       VBZ	      B-VP	         O	        appears	      I-A1	       S-V	(VP*
             to	        TO	      I-VP	         O	              -	      I-A1	    B-C-A1	(S(VP*
             be	        VB	      E-VP	         O	              -	      I-A1	    I-C-A1	(VP*
           gang	        NN	    B-ADJP	         O	              -	      I-A1	    I-C-A1	(ADJP*
              -	         :	    I-ADJP	         O	              -	      I-A1	    I-C-A1	*
        related	       VBN	    E-ADJP	         O	              -	      I-A1	    I-C-A1	*))))))))
              .	         .	         O	         O	              -	      I-A1	    I-C-A1	*
        NEWLINE	       NNP	         O	     S-ORG	              -	      E-A1	    E-C-A1	(NP*)))

             At	        IN	      S-PP	         O	              -	(S1(S(PP*
            the	        DT	      B-NP	         O	              -	(NP(NP*
           time	        NN	      E-NP	         O	              -	*)
             of	        IN	      S-PP	         O	              -	(PP*
            the	        DT	      B-NP	         O	              -	(NP*
       shooting	        NN	      E-NP	         O	              -	*))))
              ,	         ,	         O	         O	              -	*
            the	        DT	      B-NP	         O	              -	(NP(NP*
           club	        NN	      E-NP	         O	              -	*
             's	       POS	      B-NP	         O	              -	*)
        parking	        NN	      I-NP	         O	              -	*
            lot	        NN	      E-NP	         O	              -	*)
            was	       VBD	      S-VP	         O	              -	(VP*
           full	        JJ	    S-ADJP	         O	              -	(ADJP*
             of	        IN	      S-PP	         O	              -	(PP*
