     2017-01-20	        CD	      S-NP	         O	              -	(S1(NP*))

         Police	       NNS	      S-NP	         O	              -	         O	(S1(NP(NP*)
              :	         :	         O	         O	              -	         O	*
              4	        CD	      B-NP	         O	              -	      B-A1	(NP(NP*
         people	       NNS	      E-NP	         O	              -	      E-A1	*)
           shot	       VBN	      S-VP	         O	           shot	       S-V	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
      southeast	        JJ	      B-NP	         O	              -	  I-AM-LOC	(NP*
         Fresno	       NNP	      E-NP	     S-LOC	              -	  E-AM-LOC	*))))))

           0:24	        CD	      B-NP	         O	              -	      B-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	(S1(S(NP(NP*
           kick	       VBP	      S-VP	         O	           kick	         O	         O	      I-A1	      I-A1	       B-V	         O	         O	         O	         O	         O	*
            off	        RP	     S-PRT	         O	              -	         O	         O	      I-A1	      I-A1	       E-V	         O	         O	         O	         O	         O	(ADVP*)
        Midtown	       NNP	      B-NP	     B-LOC	              -	         O	         O	      I-A1	      I-A1	      B-A1	         O	         O	         O	         O	         O	(NP*
          Trail	       NNP	      I-NP	     E-LOC	              -	         O	         O	      I-A1	      I-A1	      I-A1	         O	         O	         O	         O	         O	*
        project	        NN	      E-NP	         O	              -	         O	         O	      I-A1	      I-A1	      E-A1	         O	         O	         O	         O	         O	*)
             in	        IN	      S-PP	         O	              -	         O	         O	      I-A1	      I-A1	         O	         O	         O	         O	         O	         O	(PP*
           2016	        CD	      B-NP	         O	              -	         O	         O	      I-A1	      I-A1	         O	         O	         O	         O	         O	         O	(NP*
        NEWLINE	        NN	      I-NP	     S-ORG	              -	         O	         O	      I-A1	      I-A1	         O	         O	         O	         O	         O	         O	*
           1:56	        CD	      E-NP	         O	              -	         O	         O	      I-A1	      I-A1	         O	         O	         O	         O	         O	         O	*))
           Here	        RB	    S-ADVP	         O	              -	         O	         O	      I-A1	      E-A1	         O	         O	         O	         O	         O	         O	(ADVP*)
             's	       VBZ	      S-VP	         O	              -	         O	         O	      I-A1	         O	         O	         O	         O	         O	         O	         O	*
            why	       WRB	    S-ADVP	         O	              -	         O	         O	      I-A1	         O	         O	         O	         O	         O	         O	         O	(WHADVP*)
          those	        DT	      B-NP	         O	              -	         O	         O	      I-A1	         O	         O	      B-A1	         O	         O	         O	         O	(S(NP*
         potato	        NN	      I-NP	         O	              -	         O	         O	      I-A1	         O	         O	      I-A1	         O	         O	         O	         O	*
          chips	       NNS	      E-NP	         O	              -	         O	         O	      I-A1	         O	         O	      E-A1	         O	         O	         O	         O	*)
            are	       VBP	      S-VP	         O	              -	         O	         O	      I-A1	         O	         O	         O	         O	         O	         O	         O	(VP*
             so	        RB	    B-ADJP	         O	              -	         O	         O	      I-A1	         O	         O	         O	         O	         O	         O	         O	(ADJP*
           hard	        JJ	    E-ADJP	         O	              -	         O	         O	      I-A1	         O	         O	         O	         O	         O	         O	         O	*)
             to	        TO	      B-VP	         O	              -	         O	         O	      I-A1	         O	         O	         O	         O	         O	         O	         O	(S(VP*
         resist	        VB	      E-VP	         O	         resist	         O	         O	      I-A1	         O	         O	       S-V	         O	         O	         O	         O	(VP*
           late	        JJ	    S-ADVP	         O	              -	         O	         O	      I-A1	         O	         O	         O	         O	         O	         O	         O	(ADJP*)
             at	        IN	      S-PP	         O	              -	         O	         O	      I-A1	         O	         O	         O	         O	         O	         O	         O	(PP*
          night	        NN	      B-NP	         O	              -	         O	         O	      I-A1	         O	         O	         O	         O	         O	         O	         O	(NP*
        NEWLINE	       NNP	      E-NP	    S-MISC	              -	         O	         O	      I-A1	         O	         O	         O	         O	         O	         O	         O	*
           1:39	        CD	      B-NP	         O	              -	         O	         O	      I-A1	         O	         O	         O	         O	         O	         O	         O	*)))))))
           Most	       JJS	      I-NP	         O	              -	         O	         O	      I-A1	         O	         O	         O	      B-A1	         O	         O	         O	(SBAR(S(NP*
         babies	       NNS	      E-NP	         O	              -	         O	         O	      I-A1	         O	         O	         O	      E-A1	         O	         O	         O	*)
         should	        MD	      B-VP	         O	              -	         O	         O	      I-A1	         O	         O	         O	  S-AM-MOD	         O	         O	         O	(VP*
             be	        VB	      I-VP	         O	              -	         O	         O	      I-A1	         O	         O	         O	         O	         O	         O	         O	(VP*
        exposed	       VBN	      E-VP	         O	        exposed	         O	         O	      I-A1	         O	         O	         O	       S-V	         O	         O	         O	(VP*
             to	        TO	      S-PP	         O	              -	         O	         O	      I-A1	         O	         O	         O	      B-A2	         O	         O	         O	(PP*
        peanuts	       NNS	      S-NP	         O	              -	         O	         O	      I-A1	         O	         O	         O	      E-A2	         O	         O	         O	(NP*))
        earlier	       RBR	    S-ADVP	         O	              -	         O	         O	      E-A1	         O	         O	         O	  S-AM-TMP	         O	         O	         O	(ADVP*))))))
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
      according	       VBG	      S-PP	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
             to	        TO	      S-PP	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
            new	        JJ	      B-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	      B-A0	         O	         O	(NP(NP*
     guidelines	       NNS	      E-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	      I-A0	         O	         O	*)
        NEWLINE	       NNP	      B-NP	     S-ORG	              -	         O	         O	         O	         O	         O	         O	         O	      I-A0	         O	         O	(SBAR(S(NP*
           2:26	        CD	      I-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	      I-A0	         O	         O	*
         Mexico	       NNP	      I-NP	     S-LOC	              -	         O	         O	         O	         O	         O	         O	         O	      I-A0	         O	         O	*
      president	        NN	      I-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	      I-A0	         O	         O	*
           Pena	       NNP	      I-NP	     B-PER	              -	         O	         O	         O	         O	         O	         O	         O	      I-A0	         O	         O	*
          Nieto	       NNP	      E-NP	     E-PER	              -	         O	         O	         O	         O	         O	         O	         O	      E-A0	         O	         O	*)
        rejects	       VBZ	      S-VP	         O	        rejects	         O	         O	         O	         O	         O	         O	         O	       S-V	         O	         O	(VP*
           U.S.	       NNP	      B-NP	     S-LOC	              -	         O	         O	         O	         O	         O	         O	         O	      B-A1	      S-A0	         O	(SBAR(S(NP*
       decision	        NN	      E-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	      I-A1	         O	         O	*
             to	        TO	      B-VP	         O	              -	         O	         O	         O	         O	         O	         O	         O	      I-A1	         O	         O	(S(VP*
          build	        VB	      E-VP	         O	          build	         O	         O	         O	         O	         O	         O	         O	      I-A1	       S-V	         O	(VP*
           wall	        NN	      B-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	      I-A1	      B-A1	         O	(NP*
        NEWLINE	       NNP	      I-NP	     S-ORG	              -	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	*
           1:37	        CD	      I-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	*
         Fresno	       NNP	      I-NP	     S-ORG	              -	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	*
          Mayor	       NNP	      I-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	*
            Lee	       NNP	      I-NP	     B-PER	              -	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	*
          Brand	       NNP	      E-NP	     E-PER	              -	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	*))))
            and	        CC	         O	         O	              -	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	*
      sanctuary	        NN	      B-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	(NX(NX(NX*
           city	        NN	      I-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	*
         status	        NN	      I-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	*
        NEWLINE	       NNP	      I-NP	     S-LOC	              -	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	*)
           1:13	        CD	      I-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	*
          White	       NNP	      I-NP	     B-LOC	              -	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	(NP*
          House	       NNP	      E-NP	     E-LOC	              -	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	*))
              :	         :	         O	         O	              -	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	*
         Mexico	       NNP	      S-NP	     S-LOC	              -	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A1	      B-A1	(NP(NP*)
         border	        NN	      B-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A1	      I-A1	*
           wall	        NN	      E-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A1	      E-A1	*)))
          could	        MD	      B-VP	         O	              -	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A1	  S-AM-MOD	(VP*
             be	        VB	      I-VP	         O	              -	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	(VP*
         funded	       VBN	      E-VP	         O	         funded	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A1	       S-V	(VP*
             by	        IN	      S-PP	         O	              -	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A1	      B-A2	(PP*
            tax	        NN	      S-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A1	      I-A2	(NP(NP*)
             on	        IN	      S-PP	         O	              -	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A1	      I-A2	(PP*
        imports	       NNS	      S-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	      E-A1	      E-A1	      E-A2	(NP*)))))))))))))))

