     2017-03-16	        CD	      S-NP	         O	              -	(S1(NP*))
         Upload	       NNP	      I-NP	     I-ORG	              -	(VP*
           News	       NNP	      I-NP	     I-ORG	              -	(NP*
           Pics	      NNPS	      E-NP	     E-ORG	              -	*)))))

           Here	        RB	    S-ADVP	         O	              -	         O	(S1(X(ADVP*)
         Upload	       VBP	      S-VP	         O	         Upload	       S-V	(S(VP*
        Weather	        NN	      B-NP	         O	              -	      B-A1	(NP*
           Pics	       NNS	      E-NP	         O	              -	      E-A1	*)))))

           Here	        RB	    S-ADVP	         O	              -	(S1(FRAG(ADVP*)
        Station	       NNP	      B-NP	         O	              -	(NP*
       Feedback	       NNP	      E-NP	         O	              -	*
              :	         :	         O	         O	              -	*)))

          Email	       NNP	      B-NP	         O	              -	(S1(NP(NP*
    Programming	       NNP	      E-NP	         O	              -	*)
              :	         :	         O	         O	              -	*
          Local	        JJ	      B-NP	         O	              -	(NP(NP*
              |	        NN	      I-NP	         O	              -	*
        Network	       NNP	      I-NP	         O	              -	*
        Website	       NNP	      I-NP	         O	              -	*
       Feedback	       NNP	      E-NP	         O	              -	*)
              :	         :	         O	         O	              -	*)))

          Email	       NNP	      B-NP	         O	              -	(S1(NP*
        Twitter	       NNP	      I-NP	     S-ORG	              -	*
              |	       NNP	      I-NP	         O	              -	*
       Facebook	       NNP	      E-NP	     S-ORG	              -	*))

            CBS	       NNP	      B-NP	     S-ORG	              -	(S1(SBAR(S(NP*
             11	        CD	      I-NP	         O	              -	*
           News	       NNP	      E-NP	     S-ORG	              -	*)
             is	       VBZ	      S-VP	         O	              -	(VP*
       coverage	        NN	      S-NP	         O	              -	(NP(NP*)
            you	       PRP	      S-NP	         O	              -	(SBAR(S(NP*)
            can	        MD	      B-VP	         O	              -	(VP*
              [	        VB	      E-VP	         O	              -	(NP*
            ...	         :	         O	         O	              -	*
              ]	     -RRB-	         O	         O	              -	(NP*
        NEWLINE	       NNP	      B-NP	     B-ORG	              -	(NP(NP*
            TXA	       NNP	      I-NP	     E-ORG	              -	*)
         215233	        CD	      I-NP	         O	              -	(NP(NP*
         Bridge	       NNP	      I-NP	     B-LOC	              -	*
         Street	       NNP	      I-NP	     I-LOC	              -	*
           Fort	       NNP	      I-NP	     I-LOC	              -	*
          Worth	       NNP	      I-NP	     E-LOC	              -	*)
              ,	         ,	      I-NP	         O	              -	*
          Texas	       NNP	      I-NP	     S-ORG	              -	(NP(NP*
          76103	        CD	      I-NP	         O	              -	*
          12001	        CD	      I-NP	         O	              -	*)
             N.	       NNP	      I-NP	     B-ORG	              -	*
        Central	       NNP	      I-NP	     I-ORG	              -	*
     Expressway	       NNP	      I-NP	     I-ORG	              -	*
          Suite	       NNP	      I-NP	     E-ORG	              -	*)
           1300	        CD	      I-NP	         O	              -	(NP*
         Dallas	       NNP	      I-NP	     S-LOC	              -	*)
              ,	         ,	      I-NP	         O	              -	*
          Texas	       NNP	      I-NP	     S-ORG	              -	(NP*
          75231	        CD	      E-NP	         O	              -	*)))))))))))))

        Station	       NNP	      B-NP	         O	              -	(S1(NP(NP(NP*
          Phone	       NNP	      E-NP	         O	              -	*)
              :	         :	         O	         O	              -	*
            817	        CD	      S-NP	         O	              -	(NP(NP*)
              -	         :	         O	         O	              -	*
            451	        CD	      S-NP	         O	              -	(NP*)
              -	         :	         O	         O	              -	*
           1111	        CD	      B-NP	         O	              -	(NP*
           News	       NNP	      I-NP	         O	              -	*
           Tips	      NNPS	      E-NP	         O	              -	*)))
              :	         :	         O	         O	              -	*
            817	        CD	      S-NP	         O	              -	(NP(NP(NP*)
              -	         :	         O	         O	              -	*
            496	        CD	      S-NP	         O	              -	(NP*))
              -	         :	         O	         O	              -	*
           7711	        CD	      B-NP	         O	              -	(NP*
        Station	       NNP	      I-NP	         O	              -	*
       Feedback	       NNP	      E-NP	         O	              -	*)
              :	         :	         O	         O	              -	*)))

          Email	       NNP	      B-NP	         O	              -	(S1(NP(NP*
        Program	       NNP	      I-NP	         O	              -	*
       Director	       NNP	      E-NP	         O	              -	*)
              :	         :	         O	         O	              -	*
          Email	       NNP	      B-NP	         O	              -	(NP*
        Website	       NNP	      I-NP	         O	              -	*
       Feedback	       NNP	      E-NP	         O	              -	*
              :	         :	         O	         O	              -	*)))

          Email	       NNP	      B-NP	         O	              -	(S1(NP(NP*
        Twitter	       NNP	      I-NP	     S-ORG	              -	*
              |	       NNP	      I-NP	         O	              -	*
       Facebook	       NNP	      I-NP	         O	              -	*
      IMPORTANT	        JJ	      I-NP	         O	              -	*
    INFORMATION	        NN	      E-NP	         O	              -	*)
            FOR	        IN	      S-PP	         O	              -	(PP*)))

        ANTENNA	        NN	      B-NP	         O	              -	         O	         O	         O	(S1(S(NP(NP*
          USERS	       NNS	      E-NP	         O	              -	         O	         O	         O	*)
              :	         :	         O	         O	              -	         O	         O	         O	*
            TXA	        VB	      B-NP	     S-ORG	            TXA	       S-V	      B-A0	         O	(NP*
             21	        CD	      E-NP	         O	              -	      B-A1	      E-A0	         O	*))
       improved	       VBD	      S-VP	         O	       improved	      I-A1	       S-V	         O	(VP*
            its	      PRP$	      B-NP	         O	              -	      I-A1	      B-A1	         O	(NP*
         signal	        NN	      I-NP	         O	              -	      I-A1	      I-A1	         O	*
       strength	        NN	      E-NP	         O	              -	      I-A1	      I-A1	         O	*)
             to	        TO	      B-VP	         O	              -	      I-A1	      I-A1	         O	(S(VP*
          reach	        VB	      E-VP	         O	          reach	      I-A1	      I-A1	       S-V	(VP*
           more	       JJR	      B-NP	         O	              -	      I-A1	      I-A1	      B-A1	(NP*
          North	       NNP	      I-NP	    B-MISC	              -	      I-A1	      I-A1	      I-A1	*
         Texans	      NNPS	      E-NP	    E-MISC	              -	      E-A1	      E-A1	      E-A1	*)))))
              .	         .	         O	         O	              -	         O	         O	         O	*))

          Click	        NN	      S-NP	         O	              -	(S1(S(NP*)
           here	        RB	    S-ADVP	         O	              -	(ADVP*)
              [	        RB	         O	         O	              -	*
            ...	         :	         O	         O	              -	*
              ]	     -RRB-	         O	         O	              -	*
        NEWLINE	       NNP	         O	     S-ORG	              -	(NP*)))

           MeTV	       NNP	      B-NP	     B-ORG	              -	      B-A0	      B-A0	(S1(S(NP*
            TXA	       NNP	      I-NP	     I-ORG	              -	      I-A0	      I-A0	*
       21.2KTXA	       NNP	      I-NP	     E-ORG	              -	      I-A0	      I-A0	*
           21.2	        CD	      E-NP	         O	              -	      E-A0	      E-A0	*)
           airs	       VBZ	      S-VP	         O	           airs	       S-V	         O	(VP*
            the	        DT	      B-NP	         O	              -	      B-A1	         O	(NP*
       complete	        JJ	      I-NP	         O	              -	      I-A1	         O	*
             Me	       PRP	      I-NP	         O	              -	      I-A1	         O	*)
              -	         :	      I-NP	         O	              -	      I-A1	         O	*
             TV	        NN	      I-NP	         O	              -	      I-A1	         O	(NP(NP*
        program	        NN	      I-NP	         O	              -	      I-A1	         O	*
       schedule	        NN	      E-NP	         O	              -	      I-A1	         O	*)
              ,	         ,	         O	         O	              -	      I-A1	         O	*
      featuring	       VBG	      S-VP	         O	      featuring	      I-A1	       S-V	(VP*
           more	       JJR	      B-NP	         O	              -	      I-A1	      B-A1	(NP(NP(QP*
           than	        IN	      I-NP	         O	              -	      I-A1	      I-A1	*
             50	        CD	      I-NP	         O	              -	      I-A1	      I-A1	*)
      different	        JJ	      I-NP	         O	              -	      I-A1	      I-A1	*
        classic	        JJ	      I-NP	         O	              -	      I-A1	      I-A1	*
     television	        NN	      I-NP	         O	              -	      I-A1	      I-A1	*
       programs	       NNS	      E-NP	         O	              -	      I-A1	      E-A1	*)
          every	        DT	      B-NP	         O	              -	      I-A1	  B-AM-TMP	(NP*
           week	        NN	      E-NP	         O	              -	      E-A1	  E-AM-TMP	*)))))
              .	         .	         O	         O	              -	         O	         O	*))

           KTXA	       NNP	      B-NP	     S-ORG	              -	      B-A1	(S1(S(NP*
           21.2	        CD	      E-NP	         O	              -	      E-A1	*)
             is	       VBZ	      S-VP	         O	              -	         O	(VP(VP*
      available	        JJ	    B-ADJP	         O	              -	         O	(ADJP*)
           free	        JJ	    E-ADJP	         O	              -	         O	(ADVP*)
           over	        IN	      S-PP	         O	              -	         O	(PP*
            the	        DT	      B-NP	         O	              -	         O	(NP(NP*
            air	        NN	      E-NP	         O	              -	         O	*)
           with	        IN	      S-PP	         O	              -	         O	(PP*
            the	        DT	      B-NP	         O	              -	         O	(NP(NP*
            use	        NN	      E-NP	         O	              -	         O	*)
             of	        IN	      S-PP	         O	              -	         O	(PP*
              a	        DT	      B-NP	         O	              -	         O	(NP*
        digital	        JJ	      I-NP	         O	              -	         O	*
        antenna	        NN	      E-NP	         O	              -	         O	*)))))))
            and	        CC	         O	         O	              -	         O	*
            can	        MD	      B-VP	         O	              -	  S-AM-MOD	(VP*
             be	        VB	      I-VP	         O	              -	         O	(VP*
          found	       VBN	      E-VP	         O	          found	       S-V	(VP*
             on	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
        Verizon	       NNP	      B-NP	     B-ORG	              -	  I-AM-LOC	(NP(NP*
           Fios	       NNP	      I-NP	     E-ORG	              -	  I-AM-LOC	*
        channel	        NN	      I-NP	         O	              -	  I-AM-LOC	*)
            464	        CD	      E-NP	         O	              -	  E-AM-LOC	(NP*)))))))
              .	         .	         O	         O	              -	         O	*))

          Click	        NN	      S-NP	         O	              -	(S1(NP(NP*)
           Here	        RB	    S-ADVP	         O	              -	(ADVP*)))

            For	        IN	      S-PP	         O	              -	         O	         O	(S1(PP*
     Everything	        NN	      S-NP	         O	              -	      S-A1	         O	(NP(NP*)
            You	       PRP	      S-NP	         O	              -	      S-A0	      S-A0	(SBAR(S(NP*)
         Wanted	       VBD	      B-VP	         O	         Wanted	       S-V	         O	(VP*
             to	        TO	      I-VP	         O	              -	      B-A1	         O	(PP*
           Know	        VB	      E-VP	         O	           Know	      I-A1	       S-V	*
          About	        IN	      B-NP	         O	              -	      I-A1	      B-A1	(NP(NP(ADJP*
           MeTV	       NNP	      I-NP	     B-LOC	              -	      I-A1	      I-A1	*)
            TXA	       NNP	      I-NP	     I-LOC	              -	      I-A1	      I-A1	*)
           21.2	        CD	      I-NP	     I-LOC	              -	      I-A1	      I-A1	(NP(NP(ADJP(ADJP(ADJP*
        NEWLINE	       NNP	      I-NP	     I-LOC	              -	      I-A1	      I-A1	*)
       KRLD4131	       NNP	      I-NP	     I-LOC	              -	      I-A1	      I-A1	*)
          North	       NNP	      I-NP	     I-LOC	              -	      I-A1	      I-A1	*)
        Central	       NNP	      I-NP	     I-LOC	              -	      I-A1	      I-A1	*
     Expressway	       NNP	      I-NP	     I-LOC	              -	      I-A1	      I-A1	*
          Suite	       NNP	      I-NP	     I-LOC	              -	      I-A1	      I-A1	*)
            100	        CD	      I-NP	     I-LOC	              -	      I-A1	      I-A1	(NP(NP(NP*
         Dallas	       NNP	      I-NP	     E-LOC	              -	      E-A1	      I-A1	*)
              ,	         ,	      I-NP	         O	              -	         O	      I-A1	*
          Texas	       NNP	      I-NP	     S-ORG	              -	         O	      I-A1	(NP(NP*
          75204	        CD	      I-NP	         O	              -	         O	      I-A1	*)
           KRLD	       NNP	      I-NP	    B-MISC	              -	         O	      I-A1	*
        Contest	       NNP	      I-NP	    I-MISC	              -	         O	      I-A1	*
          Rules	      NNPS	      I-NP	    I-MISC	              -	         O	      I-A1	*))
            CBS	       NNP	      I-NP	    I-MISC	              -	         O	      I-A1	(NP(NP*
         Dallas	       NNP	      E-NP	    E-MISC	              -	         O	      I-A1	*)
              :	         :	         O	         O	              -	         O	      I-A1	*
            214	        CD	      S-NP	         O	              -	         O	      I-A1	(NP(NP*)
              -	         :	         O	         O	              -	         O	      I-A1	*
            525	        CD	      S-NP	         O	              -	         O	      I-A1	(NP*)
              -	         :	         O	         O	              -	         O	      I-A1	*
           7000	        CD	      B-NP	         O	              -	         O	      I-A1	(NP*
           News	       NNP	      I-NP	         O	              -	         O	      I-A1	*
           Tips	      NNPS	      E-NP	         O	              -	         O	      I-A1	*))))
              :	         :	         O	         O	              -	         O	      I-A1	*
            214	        CD	      S-NP	         O	              -	         O	      I-A1	(NP(NP(NP*)
              -	         :	         O	         O	              -	         O	      I-A1	*
            525	        CD	      S-NP	         O	              -	         O	      I-A1	(NP*))
              -	         :	         O	         O	              -	         O	      I-A1	*
           7473	        CD	         O	         O	              -	         O	      E-A1	(NP*)))))))))))

        Traffic	        NN	      B-NP	         O	              -	(S1(NP(NP*
           Tips	       NNS	      E-NP	         O	              -	*)
              :	         :	         O	         O	              -	*
            214	        CD	      S-NP	         O	              -	(NP(NP*)
              -	         :	         O	         O	              -	*
            219	        CD	      S-NP	         O	              -	(NP*)
              -	         :	         O	         O	              -	*
           1080	        CD	         O	         O	              -	(NP*))))

          Sound	       NNP	      S-NP	         O	              -	(S1(X(NP(NP(NP*)
              -	         :	         O	         O	              -	*
            Off	        RB	    S-ADVP	         O	              -	(ADVP*))
              :	         :	         O	         O	              -	*
            214	        CD	      S-NP	         O	              -	(NP*)
              -	         :	         O	         O	              -	*
            525	        CD	      S-NP	         O	              -	(NP*))
              -	         :	         O	         O	              -	*
           7442	        CD	         O	         O	              -	(S(NP*)
         Upload	       NNP	         O	         O	              -	(VP*
           News	       NNP	      B-NP	         O	              -	(NP*
           Pics	      NNPS	      E-NP	         O	              -	*)))))

           Here	        RB	    S-ADVP	         O	              -	         O	(S1(X(ADVP*)
         Upload	       VBP	      S-VP	         O	         Upload	       S-V	(S(VP*
        Weather	        NN	      B-NP	         O	              -	      B-A1	(NP*
           Pics	       NNS	      E-NP	         O	              -	      E-A1	*)))))

           Here	        RB	      B-NP	         O	              -	(S1(S(ADVP*)
        Program	       NNP	      I-NP	         O	              -	(NP(NP*
       Director	       NNP	      E-NP	         O	              -	*)
              :	         :	         O	         O	              -	*
          Email	       NNP	      B-NP	         O	              -	(NP(NP*
            PSA	       NNP	      I-NP	         O	              -	*
        Request	       NNP	      E-NP	         O	              -	*)
              :	         :	         O	         O	              -	*
          Email	       NNP	      B-NP	         O	              -	(NP*
        Website	       NNP	      I-NP	         O	              -	*
       Feedback	       NNP	      E-NP	         O	              -	*)
              :	         :	         O	         O	              -	*))))

          Email	       NNP	      B-NP	         O	              -	(S1(S(NP*
          Sales	      NNPS	      I-NP	         O	              -	*
      Inquiries	      NNPS	      E-NP	         O	              -	*)
              :	         :	         O	         O	              -	*
          Email	       NNP	      B-NP	         O	              -	(S(NP*
        Twitter	       NNP	      I-NP	     S-ORG	              -	*
              |	       NNP	      I-NP	         O	              -	*
       Facebook	       NNP	      E-NP	     B-ORG	              -	*
      NewsRadio	       NNP	      B-NP	     E-ORG	              -	*
           1080	        CD	      I-NP	         O	              -	*
           KRLD	       NNP	      E-NP	     S-ORG	              -	*)
            has	       VBZ	      B-VP	         O	              -	(VP*
           been	       VBN	      E-VP	         O	              -	(VP*
              a	        DT	      B-NP	         O	              -	(NP(NP*
           part	        NN	      E-NP	         O	              -	*)
             of	        IN	      S-PP	         O	              -	(PP*
          North	       NNP	      S-NP	     S-LOC	              -	(NP*
              [	        FW	         O	         O	              -	*))))))
            ...	        FW	         O	         O	              -	*
              ]	        FW	         O	         O	              -	*
        NEWLINE	       NNP	         O	     S-ORG	              -	(NP*)))

          105.3	        CD	      S-NP	         O	              -	(S1(NP*))

            The	        DT	      B-NP	         O	              -	(S1(NP(NP*
        Fan4131	       NNP	      I-NP	     B-LOC	              -	*
          North	       NNP	      I-NP	     I-LOC	              -	*
        Central	       NNP	      I-NP	     I-LOC	              -	*
     Expressway	       NNP	      I-NP	     I-LOC	              -	*
          Suite	       NNP	      I-NP	     I-LOC	              -	*
            100	        CD	      I-NP	     I-LOC	              -	*)
         Dallas	       NNP	      I-NP	     E-LOC	              -	(NP(NP*)
              ,	         ,	      I-NP	         O	              -	*
          Texas	       NNP	      I-NP	     B-ORG	              -	(NP*
   75204Contest	       NNP	      I-NP	     I-ORG	              -	*
          Rules	      NNPS	      I-NP	     I-ORG	              -	*
        Station	       NNP	      I-NP	     I-ORG	              -	*
          Phone	       NNP	      E-NP	     E-ORG	              -	*))
              :	         :	         O	         O	              -	*
            214	        CD	      S-NP	         O	              -	(NP(NP*)
              -	         :	         O	         O	              -	*
            525	        CD	      S-NP	         O	              -	(NP*)
              -	         :	         O	         O	              -	*
           7000	        CD	      B-NP	         O	              -	(NP*
           Call	        NN	      E-NP	         O	              -	*))))

            The	        DT	      B-NP	         O	              -	(S1(NP(NP*
         Studio	       NNP	      E-NP	         O	              -	*)
              :	         :	         O	         O	              -	*
            877	        CD	      S-NP	         O	              -	(NP(NP*)
              -	         :	         O	         O	              -	*
            881	        CD	      S-NP	         O	              -	(NP(NP*)
              -	         :	         O	         O	              -	*
       1053Text	        NN	         O	         O	              -	(NP*)))))

            The	        DT	      B-NP	         O	              -	(S1(NP(NP*
         Studio	       NNP	      E-NP	         O	              -	*)
              :	         :	         O	         O	              -	*
          43733	        CD	      S-NP	         O	              -	(NP*)))

              (	     -LRB-	         O	         O	              -	         O	(S1(S*
       Standard	       NNP	      B-NP	         O	              -	      B-A1	(NP*
           Text	       NNP	      I-NP	         O	              -	      I-A1	*
          Rates	      NNPS	      E-NP	         O	              -	      E-A1	*)
            May	        MD	      B-VP	         O	              -	  S-AM-MOD	(VP*
          Apply	        VB	      E-VP	         O	          Apply	         O	(VP*))))

              )	     -RRB-	         O	         O	              -	(S1(NP(NP*
        Program	       NNP	      B-NP	         O	              -	*
       Director	       NNP	      E-NP	         O	              -	*)
              :	         :	         O	         O	              -	*
          Email	       NNP	      B-NP	         O	              -	(NP*
        Website	       NNP	      I-NP	         O	              -	*
       Feedback	       NNP	      E-NP	         O	              -	*
              :	         :	         O	         O	              -	*)))

          Email	       NNP	      B-NP	         O	              -	(S1(NP*
        Friends	      NNPS	      E-NP	         O	              -	*))

           With	        IN	      S-PP	         O	              -	  B-AM-ADV	(S1(S(S(PP*
       Benefits	       NNP	      B-NP	         O	              -	  I-AM-ADV	(NP*)
           Club	       NNP	      I-NP	         O	              -	  I-AM-ADV	(NP(NP*
        Twitter	       NNP	      I-NP	     S-ORG	              -	  I-AM-ADV	*
              |	       NNP	      I-NP	         O	              -	  I-AM-ADV	*
       Facebook	       NNP	      E-NP	     B-ORG	              -	  I-AM-ADV	*)
             As	        IN	      S-PP	     E-ORG	              -	  I-AM-ADV	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-ADV	(NP(NP*
       premiere	        NN	      I-NP	         O	              -	  I-AM-ADV	*
         sports	       NNS	      I-NP	         O	              -	  I-AM-ADV	*
          radio	        NN	      I-NP	         O	              -	  I-AM-ADV	*
        station	        NN	      E-NP	         O	              -	  I-AM-ADV	*)
             in	        IN	      S-PP	         O	              -	  I-AM-ADV	(PP*
          North	       NNP	      B-NP	     B-LOC	              -	  I-AM-ADV	(NP*
          Texas	       NNP	      E-NP	     E-LOC	              -	  E-AM-ADV	*))))))
              ,	         ,	         O	         O	              -	         O	*
          105.3	        CD	      S-NP	         O	              -	         O	(NP*)
            The	       NNP	      B-NP	         O	              -	      B-A0	(NP*
            Fan	       NNP	      E-NP	         O	              -	      E-A0	*)
     broadcasts	       VBZ	      S-VP	         O	     broadcasts	       S-V	(VP*
           with	        IN	      S-PP	         O	              -	  B-AM-MNR	(PP*
              [	        NN	      S-NP	         O	              -	  E-AM-MNR	(NP*))))
            ...	         :	         O	         O	              -	         O	*
              ]	         .	         O	         O	              -	         O	*))

