     2017-03-22	        CD	      S-NP	         O	              -	(S1(NP*))

            Two	        CD	      B-NP	         O	              -	(S1(S(NP*
          teens	       NNS	      E-NP	         O	              -	*)
           dead	        JJ	    S-ADJP	         O	              -	(ADJP*
          after	        IN	      S-PP	         O	              -	(PP*
     accidental	        JJ	      B-NP	         O	              -	(NP(NP*
       shooting	        NN	      E-NP	         O	              -	*)
             in	        IN	      S-PP	         O	              -	(PP*
          south	        JJ	      B-NP	     B-LOC	              -	(NP*
        Houston	       NNP	      E-NP	     E-LOC	              -	*)))))))

          Photo	       NNP	      S-NP	         O	              -	(S1(NP(NP*)
              :	         :	         O	         O	              -	*
      Godofredo	        JJ	      B-NP	     B-PER	              -	(NP(NP*
             A.	        NN	      I-NP	     I-PER	              -	*
        Vasquez	       NNP	      I-NP	     E-PER	              -	*
          Image	       NNP	      I-NP	         O	              -	*
              1	        CD	      E-NP	         O	              -	*)
             of	        IN	      S-PP	         O	              -	(PP*
              /	         #	      B-NP	         O	              -	*
             11	        CD	      I-NP	         O	              -	(NP*
        Caption	        NN	      E-NP	         O	              -	*)))))

          Close	        JJ	      B-NP	         O	              -	      B-A0	         O	(S1(S(NP(NP*
         wounds	       NNS	      E-NP	         O	              -	      I-A1	      E-A3	*))
             in	        IN	      S-PP	         O	              -	      I-A1	         O	(PP*
             an	        DT	      B-NP	         O	              -	      I-A1	         O	(NP(NP*
     accidental	        JJ	      I-NP	         O	              -	      I-A1	         O	*
       shooting	        NN	      E-NP	         O	              -	      I-A1	         O	*)
             at	        IN	      S-PP	         O	              -	      I-A1	         O	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	         O	(NP(NP*
     Missionary	       NNP	      I-NP	     B-ORG	              -	      I-A1	         O	*
        Village	       NNP	      I-NP	     I-ORG	              -	      I-A1	         O	*
      Apartment	       NNP	      I-NP	     E-ORG	              -	      I-A1	         O	*
        complex	        JJ	      E-NP	         O	              -	      I-A1	         O	*
      Wednesday	       NNP	      S-NP	         O	              -	      I-A1	         O	*)
              ,	         ,	         O	         O	              -	      I-A1	         O	*
          March	       NNP	      B-NP	         O	              -	      I-A1	         O	(NP(NP*
             22	        CD	      E-NP	         O	              -	      I-A1	         O	*
              ,	         ,	         O	         O	              -	      I-A1	         O	*
           2017	        CD	      S-NP	         O	              -	      I-A1	         O	*)
             in	        IN	      S-PP	         O	              -	      I-A1	         O	(PP*
        Houston	       NNP	      S-NP	     S-LOC	              -	      E-A1	         O	(NP*))))))))))))
              .	         .	         O	         O	              -	         O	         O	*))

          Photo	       NNP	      S-NP	         O	              -	         O	         O	(S1(NP(NP*)
              :	         :	         O	         O	              -	         O	         O	(VP*
      Godofredo	        JJ	      B-NP	     B-PER	              -	      B-A0	         O	(S(NP(NP*
             A.	        NN	      I-NP	     I-PER	              -	      I-A0	         O	*
        Vasquez	       NNP	      I-NP	     E-PER	              -	      I-A0	         O	*
        NEWLINE	       NNP	      I-NP	         O	              -	      I-A0	         O	*
          Image	       NNP	      I-NP	         O	              -	      I-A0	         O	*
              2	        CD	      E-NP	         O	              -	      I-A0	         O	*)
             of	        IN	      S-PP	         O	              -	      I-A0	         O	(PP*
             11	        CD	      B-NP	         O	              -	      I-A0	         O	(NP*
        Houston	       NNP	      I-NP	     B-ORG	              -	      I-A0	         O	*
         Police	       NNP	      E-NP	     E-ORG	              -	      E-A0	         O	*)))
    investigate	       VBP	      S-VP	         O	    investigate	       S-V	         O	(VP*
            the	        DT	      B-NP	         O	              -	      B-A1	         O	(NP(NP*
          scene	        NN	      E-NP	         O	              -	      E-A1	         O	*)
          where	       WRB	    S-ADVP	         O	              -	  B-AM-LOC	         O	(SBAR(WHADVP*)
            two	        CD	      B-NP	         O	              -	  I-AM-LOC	      B-A1	(S(NP*
            men	       NNS	      E-NP	         O	              -	  I-AM-LOC	      E-A1	*)
           died	       VBD	      S-VP	         O	           died	  I-AM-LOC	       S-V	(VP*
           from	        IN	      S-PP	         O	              -	  I-AM-LOC	      B-A3	(PP*
        gunshot	        NN	      B-NP	         O	              -	  I-AM-LOC	      I-A3	(NP*
         wounds	       NNS	      E-NP	         O	              -	  I-AM-LOC	      E-A3	*))
             in	        IN	      S-PP	         O	              -	  I-AM-LOC	         O	(PP*
             an	        DT	      B-NP	         O	              -	  I-AM-LOC	         O	(NP(NP*
     accidental	        JJ	      I-NP	         O	              -	  I-AM-LOC	         O	*
       shooting	        NN	      E-NP	         O	              -	  I-AM-LOC	         O	*)
             at	        IN	      S-PP	         O	              -	  I-AM-LOC	         O	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	         O	(NP(NP*
     Missionary	       NNP	      I-NP	     B-ORG	              -	  I-AM-LOC	         O	*
        Village	       NNP	      I-NP	     I-ORG	              -	  I-AM-LOC	         O	*
      Apartment	       NNP	      I-NP	     E-ORG	              -	  I-AM-LOC	         O	*
        complex	        JJ	      E-NP	         O	              -	  I-AM-LOC	         O	*
      Wednesday	       NNP	      S-NP	         O	              -	  I-AM-LOC	         O	*)
              ,	         ,	         O	         O	              -	  I-AM-LOC	         O	*
          March	       NNP	      B-NP	         O	              -	  I-AM-LOC	         O	(NP(NP*
             22	        CD	      E-NP	         O	              -	  I-AM-LOC	         O	*
              ,	         ,	         O	         O	              -	  I-AM-LOC	         O	*
           2017	        CD	      S-NP	         O	              -	  I-AM-LOC	         O	*)
             in	        IN	      S-PP	         O	              -	  I-AM-LOC	         O	(PP*
        Houston	       NNP	      S-NP	     S-LOC	              -	  E-AM-LOC	         O	(NP*))))))))))))))
              .	         .	         O	         O	              -	         O	         O	*))

          Photo	       NNP	      S-NP	         O	              -	         O	         O	(S1(NP(NP*)
              :	         :	         O	         O	              -	         O	         O	(VP*
      Godofredo	        JJ	      B-NP	     B-PER	              -	      B-A0	         O	(S(NP(NP*
             A.	        NN	      I-NP	     I-PER	              -	      I-A0	         O	*
        Vasquez	       NNP	      I-NP	     E-PER	              -	      I-A0	         O	*
        NEWLINE	       NNP	      I-NP	         O	              -	      I-A0	         O	*
          Image	       NNP	      I-NP	         O	              -	      I-A0	         O	*
              3	        CD	      E-NP	         O	              -	      I-A0	         O	*)
             of	        IN	      S-PP	         O	              -	      I-A0	         O	(PP*
             11	        CD	      B-NP	         O	              -	      I-A0	         O	(NP*
        Houston	       NNP	      I-NP	     B-ORG	              -	      I-A0	         O	*
         Police	       NNP	      E-NP	     E-ORG	              -	      E-A0	         O	*)))
    investigate	       VBP	      S-VP	         O	    investigate	       S-V	         O	(VP*
            the	        DT	      B-NP	         O	              -	      B-A1	         O	(NP(NP*
          scene	        NN	      E-NP	         O	              -	      E-A1	         O	*)
          where	       WRB	    S-ADVP	         O	              -	  B-AM-LOC	         O	(SBAR(WHADVP*)
            two	        CD	      B-NP	         O	              -	  I-AM-LOC	      B-A1	(S(NP*
            men	       NNS	      E-NP	         O	              -	  I-AM-LOC	      E-A1	*)
           died	       VBD	      S-VP	         O	           died	  I-AM-LOC	       S-V	(VP*
           from	        IN	      S-PP	         O	              -	  I-AM-LOC	      B-A3	(PP*
        gunshot	        NN	      B-NP	         O	              -	  I-AM-LOC	      I-A3	(NP*
         wounds	       NNS	      E-NP	         O	              -	  I-AM-LOC	      E-A3	*))
             in	        IN	      S-PP	         O	              -	  I-AM-LOC	         O	(PP*
             an	        DT	      B-NP	         O	              -	  I-AM-LOC	         O	(NP(NP*
     accidental	        JJ	      I-NP	         O	              -	  I-AM-LOC	         O	*
       shooting	        NN	      E-NP	         O	              -	  I-AM-LOC	         O	*)
             at	        IN	      S-PP	         O	              -	  I-AM-LOC	         O	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	         O	(NP(NP*
     Missionary	       NNP	      I-NP	     B-ORG	              -	  I-AM-LOC	         O	*
        Village	       NNP	      I-NP	     I-ORG	              -	  I-AM-LOC	         O	*
      Apartment	       NNP	      I-NP	     E-ORG	              -	  I-AM-LOC	         O	*
        complex	        JJ	      E-NP	         O	              -	  I-AM-LOC	         O	*
      Wednesday	       NNP	      S-NP	         O	              -	  I-AM-LOC	         O	*)
              ,	         ,	         O	         O	              -	  I-AM-LOC	         O	*
          March	       NNP	      B-NP	         O	              -	  I-AM-LOC	         O	(NP(NP*
             22	        CD	      E-NP	         O	              -	  I-AM-LOC	         O	*
              ,	         ,	         O	         O	              -	  I-AM-LOC	         O	*
           2017	        CD	      S-NP	         O	              -	  I-AM-LOC	         O	*)
             in	        IN	      S-PP	         O	              -	  I-AM-LOC	         O	(PP*
        Houston	       NNP	      S-NP	     S-LOC	              -	  E-AM-LOC	         O	(NP*))))))))))))))
              .	         .	         O	         O	              -	         O	         O	*))

          Photo	       NNP	      S-NP	         O	              -	         O	         O	         O	(S1(NP(NP*)
              :	         :	         O	         O	              -	         O	         O	         O	*
      Godofredo	        JJ	      B-NP	     B-PER	              -	      B-A2	         O	         O	(S(NP(NP(NP(NP*
             A.	        NN	      I-NP	     I-PER	              -	      I-A2	         O	         O	*
        Vasquez	       NNP	      I-NP	     E-PER	              -	      I-A2	         O	         O	*
        NEWLINE	       NNP	      I-NP	         O	              -	      I-A2	         O	         O	*
          Image	       NNP	      I-NP	         O	              -	      I-A2	         O	         O	*
              4	        CD	      E-NP	         O	              -	      I-A2	         O	         O	*)
             of	        IN	      S-PP	         O	              -	      I-A2	         O	         O	(PP*
             11	        CD	      B-NP	         O	              -	      I-A2	         O	         O	(NP*
            Two	        CD	      I-NP	         O	              -	      I-A2	         O	         O	*
            men	       NNS	      E-NP	         O	              -	      E-A2	         O	         O	*)))
              -	         :	         O	         O	              -	         O	         O	         O	*
      including	       VBG	      S-PP	         O	      including	       S-V	         O	         O	(PP*
              a	        DT	      B-NP	         O	              -	      B-A1	         O	         O	(NP*
        17-year	        JJ	      I-NP	         O	              -	      I-A1	         O	         O	(ADJP*
              -	         :	      I-NP	         O	              -	      I-A1	         O	         O	*
            old	        JJ	      I-NP	         O	              -	      I-A1	         O	         O	*)
           high	        JJ	      I-NP	         O	              -	      I-A1	         O	         O	*
         school	        NN	      I-NP	         O	              -	      I-A1	         O	         O	*
         senior	        JJ	      E-NP	         O	              -	      I-A1	         O	         O	*)))
              -	         :	         O	         O	              -	      E-A1	         O	         O	*)
            are	       VBP	      S-VP	         O	              -	         O	         O	         O	(VP*
           dead	        JJ	    S-ADJP	         O	              -	         O	         O	         O	(ADJP*)
          after	        IN	      S-PP	         O	              -	         O	         O	         O	(PP*
            the	        DT	      B-NP	         O	              -	         O	      B-A1	         O	(NP(NP*
            gun	        NN	      E-NP	         O	              -	         O	      E-A1	         O	*)
           they	       PRP	      S-NP	         O	              -	         O	      S-A0	      S-A1	(SBAR(S(NP*)
           were	       VBD	      B-VP	         O	              -	         O	         O	         O	(VP*
        playing	       VBG	      E-VP	         O	        playing	         O	       S-V	         O	(VP*
           with	        IN	      S-PP	         O	              -	         O	         O	         O	(S*
           went	       VBD	      S-VP	         O	           went	         O	         O	       B-V	(VP*
            off	        RP	     S-PRT	         O	              -	         O	         O	       E-V	(ADVP*)))))))))))
              .	         .	         O	         O	              -	         O	         O	         O	*))

          Photo	        NN	      S-NP	         O	              -	         O	         O	         O	(S1(S(NP(NP*)
              :	         :	         O	         O	              -	         O	         O	         O	*
          Metro	       NNP	      B-NP	     B-ORG	              -	      B-A2	         O	         O	(NP(NP(NP(NP*
          Video	       NNP	      I-NP	     I-ORG	              -	      I-A2	         O	         O	*
        NEWLINE	       NNP	      I-NP	     E-ORG	              -	      I-A2	         O	         O	*
          Image	       NNP	      I-NP	         O	              -	      I-A2	         O	         O	*
              5	        CD	      E-NP	         O	              -	      I-A2	         O	         O	*)
             of	        IN	      S-PP	         O	              -	      I-A2	         O	         O	(PP*
             11	        CD	      B-NP	         O	              -	      I-A2	         O	         O	(NP*
            Two	        CD	      I-NP	         O	              -	      I-A2	         O	         O	*
            men	       NNS	      E-NP	         O	              -	      E-A2	         O	         O	*)))
              -	         :	         O	         O	              -	         O	         O	         O	*
      including	       VBG	      S-PP	         O	      including	       S-V	         O	         O	(PP*
              a	        DT	      B-NP	         O	              -	      B-A1	         O	         O	(NP*
        17-year	        JJ	      I-NP	         O	              -	      I-A1	         O	         O	(ADJP*
              -	         :	      I-NP	         O	              -	      I-A1	         O	         O	*
            old	        JJ	      I-NP	         O	              -	      I-A1	         O	         O	*)
           high	        JJ	      I-NP	         O	              -	      I-A1	         O	         O	*
         school	        NN	      I-NP	         O	              -	      I-A1	         O	         O	*
         senior	        JJ	      E-NP	         O	              -	      I-A1	         O	         O	*)))
              -	         :	         O	         O	              -	      E-A1	         O	         O	*))
            are	       VBP	      S-VP	         O	              -	         O	         O	         O	(VP*
           dead	        JJ	    S-ADJP	         O	              -	         O	         O	         O	(ADJP*)
          after	        IN	      S-PP	         O	              -	         O	         O	         O	(PP*
            the	        DT	      B-NP	         O	              -	         O	      B-A1	         O	(NP(NP*
            gun	        NN	      E-NP	         O	              -	         O	      E-A1	         O	*)
           they	       PRP	      S-NP	         O	              -	         O	      S-A0	      S-A1	(SBAR(S(NP*)
           were	       VBD	      B-VP	         O	              -	         O	         O	         O	(VP*
        playing	       VBG	      E-VP	         O	        playing	         O	       S-V	         O	(VP*
           with	        IN	      S-PP	         O	              -	         O	         O	         O	(S*
           went	       VBD	      S-VP	         O	           went	         O	         O	       B-V	(VP*
            off	        RP	     S-PRT	         O	              -	         O	         O	       E-V	(ADVP*))))))))))
              .	         .	         O	         O	              -	         O	         O	         O	*))

          Photo	        NN	      S-NP	         O	              -	         O	         O	         O	(S1(S(NP(NP*)
              :	         :	         O	         O	              -	         O	         O	         O	*
          Metro	       NNP	      B-NP	     B-ORG	              -	      B-A2	         O	         O	(NP(NP(NP(NP*
          Video	       NNP	      I-NP	     I-ORG	              -	      I-A2	         O	         O	*
        NEWLINE	       NNP	      I-NP	     E-ORG	              -	      I-A2	         O	         O	*
          Image	       NNP	      I-NP	         O	              -	      I-A2	         O	         O	*
              6	        CD	      E-NP	         O	              -	      I-A2	         O	         O	*)
             of	        IN	      S-PP	         O	              -	      I-A2	         O	         O	(PP*
             11	        CD	      B-NP	         O	              -	      I-A2	         O	         O	(NP*
            Two	        CD	      I-NP	         O	              -	      I-A2	         O	         O	*
            men	       NNS	      E-NP	         O	              -	      E-A2	         O	         O	*)))
              -	         :	         O	         O	              -	         O	         O	         O	*
      including	       VBG	      S-PP	         O	      including	       S-V	         O	         O	(PP*
              a	        DT	      B-NP	         O	              -	      B-A1	         O	         O	(NP*
        17-year	        JJ	      I-NP	         O	              -	      I-A1	         O	         O	(ADJP*
              -	         :	      I-NP	         O	              -	      I-A1	         O	         O	*
            old	        JJ	      I-NP	         O	              -	      I-A1	         O	         O	*)
           high	        JJ	      I-NP	         O	              -	      I-A1	         O	         O	*
         school	        NN	      I-NP	         O	              -	      I-A1	         O	         O	*
         senior	        JJ	      E-NP	         O	              -	      I-A1	         O	         O	*)))
              -	         :	         O	         O	              -	      E-A1	         O	         O	*))
            are	       VBP	      S-VP	         O	              -	         O	         O	         O	(VP*
           dead	        JJ	    S-ADJP	         O	              -	         O	         O	         O	(ADJP*)
          after	        IN	      S-PP	         O	              -	         O	         O	         O	(PP*
            the	        DT	      B-NP	         O	              -	         O	      B-A1	         O	(NP(NP*
            gun	        NN	      E-NP	         O	              -	         O	      E-A1	         O	*)
           they	       PRP	      S-NP	         O	              -	         O	      S-A0	      S-A1	(SBAR(S(NP*)
           were	       VBD	      B-VP	         O	              -	         O	         O	         O	(VP*
        playing	       VBG	      E-VP	         O	        playing	         O	       S-V	         O	(VP*
           with	        IN	      S-PP	         O	              -	         O	         O	         O	(S*
           went	       VBD	      S-VP	         O	           went	         O	         O	       B-V	(VP*
            off	        RP	     S-PRT	         O	              -	         O	         O	       E-V	(ADVP*))))))))))
              .	         .	         O	         O	              -	         O	         O	         O	*))

          Photo	        NN	      S-NP	         O	              -	         O	         O	         O	(S1(S(NP(NP*)
              :	         :	         O	         O	              -	         O	         O	         O	*
          Metro	       NNP	      B-NP	     B-ORG	              -	      B-A2	         O	         O	(NP(NP(NP(NP*
          Video	       NNP	      I-NP	     I-ORG	              -	      I-A2	         O	         O	*
        NEWLINE	       NNP	      I-NP	     E-ORG	              -	      I-A2	         O	         O	*
          Image	       NNP	      I-NP	         O	              -	      I-A2	         O	         O	*
              7	        CD	      E-NP	         O	              -	      I-A2	         O	         O	*)
             of	        IN	      S-PP	         O	              -	      I-A2	         O	         O	(PP*
             11	        CD	      B-NP	         O	              -	      I-A2	         O	         O	(NP*
            Two	        CD	      I-NP	         O	              -	      I-A2	         O	         O	*
            men	       NNS	      E-NP	         O	              -	      E-A2	         O	         O	*)))
              -	         :	         O	         O	              -	         O	         O	         O	*
      including	       VBG	      S-PP	         O	      including	       S-V	         O	         O	(PP*
              a	        DT	      B-NP	         O	              -	      B-A1	         O	         O	(NP*
        17-year	        JJ	      I-NP	         O	              -	      I-A1	         O	         O	(ADJP*
              -	         :	      I-NP	         O	              -	      I-A1	         O	         O	*
            old	        JJ	      I-NP	         O	              -	      I-A1	         O	         O	*)
           high	        JJ	      I-NP	         O	              -	      I-A1	         O	         O	*
         school	        NN	      I-NP	         O	              -	      I-A1	         O	         O	*
         senior	        JJ	      E-NP	         O	              -	      I-A1	         O	         O	*)))
              -	         :	         O	         O	              -	      E-A1	         O	         O	*))
            are	       VBP	      S-VP	         O	              -	         O	         O	         O	(VP*
           dead	        JJ	    S-ADJP	         O	              -	         O	         O	         O	(ADJP*)
          after	        IN	      S-PP	         O	              -	         O	         O	         O	(PP*
            the	        DT	      B-NP	         O	              -	         O	      B-A1	         O	(NP(NP*
            gun	        NN	      E-NP	         O	              -	         O	      E-A1	         O	*)
           they	       PRP	      S-NP	         O	              -	         O	      S-A0	      S-A1	(SBAR(S(NP*)
           were	       VBD	      B-VP	         O	              -	         O	         O	         O	(VP*
        playing	       VBG	      E-VP	         O	        playing	         O	       S-V	         O	(VP*
           with	        IN	      S-PP	         O	              -	         O	         O	         O	(S*
           went	       VBD	      S-VP	         O	           went	         O	         O	       B-V	(VP*
            off	        RP	     S-PRT	         O	              -	         O	         O	       E-V	(ADVP*))))))))))
              .	         .	         O	         O	              -	         O	         O	         O	*))

          Photo	        NN	      S-NP	         O	              -	         O	         O	         O	(S1(S(NP(NP*)
              :	         :	         O	         O	              -	         O	         O	         O	*
          Metro	       NNP	      B-NP	     B-ORG	              -	      B-A2	         O	         O	(NP(NP(NP(NP*
          Video	       NNP	      I-NP	     I-ORG	              -	      I-A2	         O	         O	*
        NEWLINE	       NNP	      I-NP	     E-ORG	              -	      I-A2	         O	         O	*
          Image	       NNP	      I-NP	         O	              -	      I-A2	         O	         O	*
              8	        CD	      E-NP	         O	              -	      I-A2	         O	         O	*)
             of	        IN	      S-PP	         O	              -	      I-A2	         O	         O	(PP*
             11	        CD	      B-NP	         O	              -	      I-A2	         O	         O	(NP*
            Two	        CD	      I-NP	         O	              -	      I-A2	         O	         O	*
            men	       NNS	      E-NP	         O	              -	      E-A2	         O	         O	*)))
              -	         :	         O	         O	              -	         O	         O	         O	*
      including	       VBG	      S-PP	         O	      including	       S-V	         O	         O	(PP*
              a	        DT	      B-NP	         O	              -	      B-A1	         O	         O	(NP*
        17-year	        JJ	      I-NP	         O	              -	      I-A1	         O	         O	(ADJP*
              -	         :	      I-NP	         O	              -	      I-A1	         O	         O	*
            old	        JJ	      I-NP	         O	              -	      I-A1	         O	         O	*)
           high	        JJ	      I-NP	         O	              -	      I-A1	         O	         O	*
         school	        NN	      I-NP	         O	              -	      I-A1	         O	         O	*
         senior	        JJ	      E-NP	         O	              -	      I-A1	         O	         O	*)))
              -	         :	         O	         O	              -	      E-A1	         O	         O	*))
            are	       VBP	      S-VP	         O	              -	         O	         O	         O	(VP*
           dead	        JJ	    S-ADJP	         O	              -	         O	         O	         O	(ADJP*)
          after	        IN	      S-PP	         O	              -	         O	         O	         O	(PP*
            the	        DT	      B-NP	         O	              -	         O	      B-A1	         O	(NP(NP*
            gun	        NN	      E-NP	         O	              -	         O	      E-A1	         O	*)
           they	       PRP	      S-NP	         O	              -	         O	      S-A0	      S-A1	(SBAR(S(NP*)
           were	       VBD	      B-VP	         O	              -	         O	         O	         O	(VP*
        playing	       VBG	      E-VP	         O	        playing	         O	       S-V	         O	(VP*
           with	        IN	      S-PP	         O	              -	         O	         O	         O	(S*
           went	       VBD	      S-VP	         O	           went	         O	         O	       B-V	(VP*
            off	        RP	     S-PRT	         O	              -	         O	         O	       E-V	(ADVP*))))))))))
              .	         .	         O	         O	              -	         O	         O	         O	*))

          Photo	        NN	      S-NP	         O	              -	         O	         O	         O	(S1(S(NP(NP*)
              :	         :	         O	         O	              -	         O	         O	         O	*
          Metro	       NNP	      B-NP	     B-ORG	              -	      B-A2	         O	         O	(NP(NP(NP(NP*
          Video	       NNP	      I-NP	     I-ORG	              -	      I-A2	         O	         O	*
        NEWLINE	       NNP	      I-NP	     E-ORG	              -	      I-A2	         O	         O	*
          Image	       NNP	      I-NP	         O	              -	      I-A2	         O	         O	*
              9	        CD	      E-NP	         O	              -	      I-A2	         O	         O	*)
             of	        IN	      S-PP	         O	              -	      I-A2	         O	         O	(PP*
             11	        CD	      B-NP	         O	              -	      I-A2	         O	         O	(NP*
            Two	        CD	      I-NP	         O	              -	      I-A2	         O	         O	*
            men	       NNS	      E-NP	         O	              -	      E-A2	         O	         O	*)))
              -	         :	         O	         O	              -	         O	         O	         O	*
      including	       VBG	      S-PP	         O	      including	       S-V	         O	         O	(PP*
              a	        DT	      B-NP	         O	              -	      B-A1	         O	         O	(NP*
        17-year	        JJ	      I-NP	         O	              -	      I-A1	         O	         O	(ADJP*
              -	         :	      I-NP	         O	              -	      I-A1	         O	         O	*
            old	        JJ	      I-NP	         O	              -	      I-A1	         O	         O	*)
           high	        JJ	      I-NP	         O	              -	      I-A1	         O	         O	*
         school	        NN	      I-NP	         O	              -	      I-A1	         O	         O	*
         senior	        JJ	      E-NP	         O	              -	      I-A1	         O	         O	*)))
              -	         :	         O	         O	              -	      E-A1	         O	         O	*))
            are	       VBP	      S-VP	         O	              -	         O	         O	         O	(VP*
           dead	        JJ	    S-ADJP	         O	              -	         O	         O	         O	(ADJP*)
          after	        IN	      S-PP	         O	              -	         O	         O	         O	(PP*
            the	        DT	      B-NP	         O	              -	         O	      B-A1	         O	(NP(NP*
            gun	        NN	      E-NP	         O	              -	         O	      E-A1	         O	*)
           they	       PRP	      S-NP	         O	              -	         O	      S-A0	      S-A1	(SBAR(S(NP*)
           were	       VBD	      B-VP	         O	              -	         O	         O	         O	(VP*
        playing	       VBG	      E-VP	         O	        playing	         O	       S-V	         O	(VP*
           with	        IN	      S-PP	         O	              -	         O	         O	         O	(S*
           went	       VBD	      S-VP	         O	           went	         O	         O	       B-V	(VP*
            off	        RP	     S-PRT	         O	              -	         O	         O	       E-V	(ADVP*))))))))))
              .	         .	         O	         O	              -	         O	         O	         O	*))

          Photo	        NN	      S-NP	         O	              -	         O	         O	         O	(S1(S(NP(NP*)
              :	         :	         O	         O	              -	         O	         O	         O	*
          Metro	       NNP	      B-NP	     B-ORG	              -	      B-A2	         O	         O	(NP(NP(NP(NP*
          Video	       NNP	      I-NP	     I-ORG	              -	      I-A2	         O	         O	*
        NEWLINE	       NNP	      I-NP	     E-ORG	              -	      I-A2	         O	         O	*
          Image	       NNP	      I-NP	         O	              -	      I-A2	         O	         O	*
             10	        CD	      E-NP	         O	              -	      I-A2	         O	         O	*)
             of	        IN	      S-PP	         O	              -	      I-A2	         O	         O	(PP*
             11	        CD	      B-NP	         O	              -	      I-A2	         O	         O	(NP*
            Two	        CD	      I-NP	         O	              -	      I-A2	         O	         O	*
            men	       NNS	      E-NP	         O	              -	      E-A2	         O	         O	*)))
              -	         :	         O	         O	              -	         O	         O	         O	*
      including	       VBG	      S-PP	         O	      including	       S-V	         O	         O	(PP*
              a	        DT	      B-NP	         O	              -	      B-A1	         O	         O	(NP*
        17-year	        JJ	      I-NP	         O	              -	      I-A1	         O	         O	(ADJP*
              -	         :	      I-NP	         O	              -	      I-A1	         O	         O	*
            old	        JJ	      I-NP	         O	              -	      I-A1	         O	         O	*)
           high	        JJ	      I-NP	         O	              -	      I-A1	         O	         O	*
         school	        NN	      I-NP	         O	              -	      I-A1	         O	         O	*
         senior	        JJ	      E-NP	         O	              -	      I-A1	         O	         O	*)))
              -	         :	         O	         O	              -	      E-A1	         O	         O	*))
            are	       VBP	      S-VP	         O	              -	         O	         O	         O	(VP*
           dead	        JJ	    S-ADJP	         O	              -	         O	         O	         O	(ADJP*)
          after	        IN	      S-PP	         O	              -	         O	         O	         O	(PP*
            the	        DT	      B-NP	         O	              -	         O	      B-A1	         O	(NP(NP*
            gun	        NN	      E-NP	         O	              -	         O	      E-A1	         O	*)
           they	       PRP	      S-NP	         O	              -	         O	      S-A0	      S-A1	(SBAR(S(NP*)
           were	       VBD	      B-VP	         O	              -	         O	         O	         O	(VP*
        playing	       VBG	      E-VP	         O	        playing	         O	       S-V	         O	(VP*
           with	        IN	      S-PP	         O	              -	         O	         O	         O	(S*
           went	       VBD	      S-VP	         O	           went	         O	         O	       B-V	(VP*
            off	        RP	     S-PRT	         O	              -	         O	         O	       E-V	(ADVP*))))))))))
              .	         .	         O	         O	              -	         O	         O	         O	*))

          Photo	        NN	      S-NP	         O	              -	(S1(NP(NP*)
              :	         :	         O	         O	              -	*
