     2017-03-13	        CD	      S-NP	         O	              -	(S1(NP*))

        15-year	       SYM	      S-NP	         O	              -	      B-A0	      B-A0	(S1(S(NP(NP(ADJP*
              -	         :	         O	         O	              -	      I-A0	      I-A0	*
            old	        JJ	      B-NP	         O	              -	      I-A0	      I-A0	*)
            boy	        NN	      E-NP	         O	              -	      E-A0	      I-A0	*)
     critically	        RB	      B-VP	         O	              -	  S-AM-MNR	      I-A0	(VP(ADVP*)
        injured	       VBN	      E-VP	         O	        injured	       S-V	      I-A0	*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	      I-A0	(PP*
  Massachusetts	       NNP	      B-NP	     B-LOC	              -	  I-AM-LOC	      I-A0	(NP*
         Avenue	       NNP	      E-NP	     E-LOC	              -	  E-AM-LOC	      E-A0	*))))
          shoot	       VBP	      S-VP	         O	          shoot	         O	       S-V	(VP*
              -	         :	         O	         O	              -	         O	         O	*
           WTOC	       NNP	      B-NP	         O	              -	      B-A0	      B-A1	(NP(NP(NP*)
              -	         :	      I-NP	         O	              -	      I-A0	      I-A1	*
             TV	        NN	      E-NP	         O	              -	      I-A0	      I-A1	(NP*))
              :	         :	         O	         O	              -	      I-A0	      I-A1	*
       Savannah	       NNP	      B-NP	     S-LOC	              -	      I-A0	      I-A1	(NP(NP*)
              ,	         ,	      I-NP	         O	              -	      I-A0	      I-A1	*
       Beaufort	       NNP	      I-NP	     S-LOC	              -	      I-A0	      I-A1	(NP*)
              ,	         ,	      I-NP	         O	              -	      I-A0	      I-A1	*
             SC	       NNP	      I-NP	     S-ORG	              -	      I-A0	      I-A1	(NP*
              ,	         ,	      I-NP	         O	              -	      I-A0	      I-A1	*
           News	       NNP	      I-NP	     B-ORG	              -	      I-A0	      I-A1	*
              ,	         ,	      I-NP	     I-ORG	              -	      I-A0	      I-A1	*
        Weather	       NNP	      I-NP	     I-ORG	              -	      I-A0	      I-A1	*
              &	        CC	      I-NP	     I-ORG	              -	      I-A0	      I-A1	*
         Sports	      NNPS	      E-NP	     E-ORG	              -	      E-A0	      E-A1	*))))))

       Savannah	       NNP	      S-NP	     S-LOC	              -	         O	         O	         O	(S1(S(NP*)
              -	         :	         O	         O	              -	         O	         O	         O	*
        Chatham	       NNP	      B-NP	     B-ORG	              -	      B-A0	         O	         O	(S(NP*
          Metro	       NNP	      I-NP	     I-ORG	              -	      I-A0	         O	         O	*
         Police	       NNP	      E-NP	     E-ORG	              -	      E-A0	         O	         O	*)
            are	       VBP	      B-VP	         O	              -	         O	         O	         O	(VP*
  investigating	       VBG	      E-VP	         O	  investigating	       S-V	         O	         O	(VP*
              a	        DT	      B-NP	         O	              -	      B-A1	         O	         O	(NP(NP(NP*
       shooting	        NN	      E-NP	         O	              -	      I-A1	         O	         O	*)
             on	        IN	      S-PP	         O	              -	      I-A1	         O	         O	(PP*
  Massachusetts	       NNP	      B-NP	     B-LOC	              -	      I-A1	         O	         O	(NP*
         Avenue	       NNP	      E-NP	     E-LOC	              -	      I-A1	         O	         O	*))
           that	       WDT	      S-NP	         O	              -	      I-A1	    S-R-A0	         O	(SBAR(WHNP*)
           left	       VBD	      S-VP	         O	           left	      I-A1	       S-V	         O	(S(VP*
              a	        DT	      B-NP	         O	              -	      I-A1	      B-A1	      B-A1	(NP(NP*
        15-year	        JJ	      I-NP	         O	              -	      I-A1	      I-A1	      I-A1	(ADJP*
              -	         :	      I-NP	         O	              -	      I-A1	      I-A1	      I-A1	*
            old	        JJ	      I-NP	         O	              -	      I-A1	      I-A1	      I-A1	*)
            boy	        NN	      E-NP	         O	              -	      I-A1	      E-A1	      E-A1	*)
     critically	        RB	    B-ADJP	         O	              -	      I-A1	      B-A2	  S-AM-MNR	(VP(ADVP*)
        injured	       VBN	    E-ADJP	         O	        injured	      I-A1	      E-A2	       S-V	*))))))
              ,	         ,	         O	         O	              -	      I-A1	         O	         O	*
         Monday	       NNP	      B-NP	         O	              -	      I-A1	         O	         O	(NP*
          night	        NN	      E-NP	         O	              -	      E-A1	         O	         O	*)))))
              .	         .	         O	         O	              -	         O	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	         O	         O	(NP*)))

       Officers	       NNS	      S-NP	         O	              -	      S-A0	      S-A0	(S1(S(NP*)
      responded	       VBD	      S-VP	         O	      responded	       S-V	         O	(VP*
             to	        TO	      S-PP	         O	              -	      B-A1	         O	(PP*
              a	        DT	      B-NP	         O	              -	      I-A1	         O	(NP(NP*
           home	        NN	      E-NP	         O	              -	      E-A1	         O	*)
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	         O	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	         O	(NP*
           2000	        CD	      I-NP	         O	              -	  I-AM-LOC	         O	*
          block	        NN	      E-NP	         O	              -	  E-AM-LOC	         O	*))
         around	        IN	      S-PP	         O	              -	  B-AM-TMP	         O	(PP*
           6:30	        CD	      B-NP	         O	              -	  I-AM-TMP	         O	(NP*
           p.m.	        NN	      E-NP	         O	              -	  E-AM-TMP	         O	*))))
          after	        IN	      S-PP	         O	              -	  B-AM-TMP	         O	(PP*
      receiving	       VBG	      S-VP	         O	      receiving	  I-AM-TMP	       S-V	(S(VP*
        reports	       NNS	      S-NP	         O	              -	  I-AM-TMP	      B-A1	(NP(NP*)
             of	        IN	      S-PP	         O	              -	  I-AM-TMP	      I-A1	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-TMP	      I-A1	(NP*
       shooting	        NN	      E-NP	         O	              -	  E-AM-TMP	      E-A1	*)))))))
              .	         .	         O	         O	              -	         O	         O	*))

     Reportedly	        RB	    S-ADVP	         O	              -	         O	(S1(S(S(ADVP*)
    Information	        NN	      S-NP	         O	              -	      S-A1	(S1(S(NP*)
            may	        MD	      B-VP	         O	              -	  S-AM-MOD	(VP*
           also	        RB	      I-VP	         O	              -	  S-AM-DIS	(ADVP*)
             be	        VB	      I-VP	         O	              -	         O	(VP*
      forwarded	       VBN	      E-VP	         O	      forwarded	       S-V	(VP*
             to	        TO	      S-PP	         O	              -	      B-A2	(PP*
  CrimeStoppers	       NNP	      S-NP	     S-PER	              -	      E-A2	(NP*))
             at	        IN	      S-PP	         O	              -	  B-AM-TMP	(PP*
   912.234.2020	        CD	      S-NP	         O	              -	  E-AM-TMP	(NP*)))))
              .	         .	         O	         O	              -	         O	*))

       Tipsters	       NNS	      S-NP	     S-PER	              -	      S-A1	      S-A1	(S1(S(NP*)
         remain	       VBP	      S-VP	         O	         remain	       S-V	         O	(VP(VP*
      anonymous	        JJ	    S-ADJP	         O	              -	      S-A3	         O	(ADJP*))
            and	        CC	         O	         O	              -	         O	         O	*
            may	        MD	      B-VP	         O	              -	         O	  S-AM-MOD	(VP*
        qualify	        VB	      E-VP	         O	        qualify	         O	       S-V	(VP*
            for	        IN	      S-PP	         O	              -	         O	      B-A2	(PP*
              a	        DT	      B-NP	         O	              -	         O	      I-A2	(NP*
           cash	        NN	      I-NP	         O	              -	         O	      I-A2	*
         reward	        NN	      E-NP	         O	              -	         O	      E-A2	*)))))
              .	         .	         O	         O	              -	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	         O	(NP*)))

      Copyright	        NN	      B-NP	         O	              -	(S1(NP*
           2017	        CD	      I-NP	         O	              -	*
          WTOC.	        NN	      E-NP	     S-ORG	              -	*))

            All	        DT	      B-NP	         O	              -	      B-A1	(S1(S(NP*
         rights	       NNS	      E-NP	         O	              -	      E-A1	*)
       reserved	       VBN	      S-VP	         O	       reserved	       S-V	(VP*)
              .	         .	         O	         O	              -	         O	*))

