     2017-03-04	        CD	      S-NP	         O	              -	(S1(NP*))

           Teen	       NNP	      S-NP	         O	              -	      S-A0	      B-A1	      S-A0	(S1(S(NP*)
          found	       VBD	      S-VP	         O	          found	       S-V	      I-A1	         O	(VP(VP*
           dead	        JJ	    S-ADJP	         O	              -	      S-A3	      I-A1	         O	(S(ADJP*))
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	      I-A1	         O	(PP*
          Chili	       NNP	      S-NP	     S-LOC	              -	  I-AM-LOC	      I-A1	         O	(NP(NP*
             's	       POS	      B-NP	         O	              -	  I-AM-LOC	      I-A1	         O	*)
        parking	        NN	      I-NP	         O	              -	  I-AM-LOC	      I-A1	         O	*
            lot	        NN	      E-NP	         O	              -	  I-AM-LOC	      E-A1	         O	*)))
     identified	       VBN	      S-VP	         O	     identified	  I-AM-LOC	       S-V	         O	(VP*
              ;	         :	         O	         O	              -	  I-AM-LOC	         O	         O	*
       shooting	       VBG	      S-VP	         O	       shooting	  I-AM-LOC	         O	       S-V	(S(VP*
           happ	        NN	      S-NP	         O	              -	  I-AM-LOC	         O	      B-A1	(NP(NP(NP*)
              -	         :	         O	         O	              -	  I-AM-LOC	         O	      I-A1	*
      wave3.com	        NN	      S-NP	         O	              -	  I-AM-LOC	         O	      I-A1	(NP*))
              -	         :	         O	         O	              -	  I-AM-LOC	         O	      I-A1	*
     Louisville	       NNP	      B-NP	     B-ORG	              -	  I-AM-LOC	         O	      I-A1	(NP(NP*
           News	       NNP	      E-NP	     E-ORG	              -	  I-AM-LOC	         O	      I-A1	*)
              ,	         ,	         O	         O	              -	  I-AM-LOC	         O	      I-A1	*
        Weather	       NNP	      B-NP	     B-ORG	              -	  I-AM-LOC	         O	      I-A1	(NP*
              &	        CC	      I-NP	     I-ORG	              -	  I-AM-LOC	         O	      I-A1	*
         Sports	      NNPS	      E-NP	     E-ORG	              -	  E-AM-LOC	         O	      E-A1	*)))))))))

            Two	        CD	      B-NP	         O	              -	      B-A1	      B-A0	(S1(S(NP*
         people	       NNS	      E-NP	         O	              -	      E-A1	      E-A0	*)
           were	       VBD	      B-VP	         O	              -	         O	         O	(VP*
           shot	       VBN	      E-VP	         O	           shot	       S-V	         O	(VP(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	         O	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	         O	(NP(NP*
           3100	        CD	      I-NP	         O	              -	  I-AM-LOC	         O	*
          block	        NN	      E-NP	         O	              -	  I-AM-LOC	         O	*)
             of	        IN	      S-PP	         O	              -	  I-AM-LOC	         O	(PP*
           Dell	       NNP	      B-NP	     B-LOC	              -	  I-AM-LOC	         O	(NP*
          Brook	       NNP	      I-NP	     I-LOC	              -	  I-AM-LOC	         O	*
         Avenue	       NNP	      E-NP	     E-LOC	              -	  E-AM-LOC	         O	*)))))
              ,	         ,	         O	         O	              -	         O	         O	*
           then	        RB	    S-ADVP	         O	              -	         O	  S-AM-TMP	(ADVP*)
          drove	       VBD	      S-VP	         O	          drove	         O	       S-V	(VP*
             to	        TO	      S-PP	         O	              -	         O	      B-A1	(PP*
          Chili	       NNP	      S-NP	     S-ORG	              -	         O	      I-A1	(NP*
             's	       POS	      S-NP	         O	              -	         O	      E-A1	*))
            for	        IN	      S-PP	         O	              -	         O	  B-AM-PNC	(PP*
           help	        NN	      S-NP	         O	              -	         O	  E-AM-PNC	(NP*))
              ,	         ,	         O	         O	              -	         O	         O	*
      according	       VBG	      S-PP	         O	              -	         O	         O	(PP*
             to	        TO	      S-PP	         O	              -	         O	         O	(PP*
         police	        NN	      S-NP	         O	              -	         O	         O	(NP*))))))
              .	         .	         O	         O	              -	         O	         O	*))

              (	     -LRB-	         O	         O	              -	         O	(S1(S*

           JCPS	       NNP	      S-NP	     S-LOC	              -	      S-A0	(S1(S(NP*)
       confirms	       VBZ	      S-VP	         O	       confirms	       S-V	(VP*
          Young	       NNP	      S-NP	     S-PER	              -	      B-A1	(SBAR(S(NP*)
            was	       VBD	      S-VP	         O	              -	      I-A1	(VP*
              a	        DT	      B-NP	         O	              -	      I-A1	(NP(NP*
        student	        NN	      E-NP	         O	              -	      I-A1	*)
             at	        IN	      S-PP	         O	              -	      I-A1	(PP*
           Fern	       NNP	      B-NP	     B-ORG	              -	      I-A1	(NP*
          Creek	       NNP	      I-NP	     I-ORG	              -	      I-A1	*
           High	       NNP	      I-NP	     I-ORG	              -	      I-A1	*
         School	       NNP	      I-NP	     E-ORG	              -	      I-A1	*
              .	         .	      I-NP	         O	              -	      I-A1	*
        NEWLINE	       NNP	      E-NP	     S-ORG	              -	      E-A1	*)))))))))

              A	        DT	      B-NP	         O	              -	      B-A1	      B-A1	(S1(S(NP(NP*
         female	        NN	      E-NP	         O	              -	      E-A1	      I-A1	*)
              ,	         ,	         O	         O	              -	         O	      I-A1	*
            who	        WP	      S-NP	         O	              -	    S-R-A1	      I-A1	(SBAR(WHNP*)
            has	       VBZ	      B-VP	         O	              -	         O	      I-A1	(S(VP*
            not	        RB	      I-VP	         O	              -	  S-AM-NEG	      I-A1	*
           been	       VBN	      I-VP	         O	              -	         O	      I-A1	(VP*
     identified	       VBN	      E-VP	         O	     identified	       S-V	      I-A1	(VP*)))))
              ,	         ,	         O	         O	              -	         O	      E-A1	*)
            was	       VBD	      B-VP	         O	              -	         O	         O	(VP*
          taken	       VBN	      E-VP	         O	          taken	         O	       S-V	(VP*
             to	        TO	      S-PP	         O	              -	         O	      B-A2	(PP*
     University	       NNP	      S-NP	     B-ORG	              -	         O	      I-A2	(NP(NP*)
             of	        IN	      S-PP	     I-ORG	              -	         O	      I-A2	(PP*
     Louisville	       NNP	      B-NP	     I-ORG	              -	         O	      I-A2	(NP*
       Hospital	       NNP	      E-NP	     E-ORG	              -	         O	      I-A2	*
              .	         .	         O	         O	              -	         O	      I-A2	*
        NEWLINE	       NNP	         O	     S-LOC	              -	         O	      E-A2	*))))))))

  Investigators	       NNS	      S-NP	         O	              -	      S-A0	         O	         O	         O	(S1(S(S(NP*)
      initially	        RB	    S-ADVP	         O	              -	  S-AM-TMP	         O	         O	         O	(ADVP*)
        thought	       VBD	      S-VP	         O	        thought	       S-V	         O	         O	         O	(VP*
            the	        DT	      B-NP	         O	              -	      B-A1	      B-A1	         O	         O	(SBAR(S(NP*
       shooting	        NN	      E-NP	         O	              -	      I-A1	      E-A1	         O	         O	*)
       happened	       VBD	      S-VP	         O	       happened	      I-A1	       S-V	         O	         O	(VP*
             at	        IN	      S-PP	         O	              -	      I-A1	  B-AM-LOC	         O	         O	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	  I-AM-LOC	         O	         O	(NP*
     restaurant	        NN	      E-NP	         O	              -	      I-A1	  E-AM-LOC	         O	         O	*)))))))
              ,	         ,	         O	         O	              -	      I-A1	         O	         O	         O	*
            but	        CC	         O	         O	              -	      I-A1	         O	         O	         O	*
           they	       PRP	      S-NP	         O	              -	      I-A1	         O	      S-A0	         O	(S(NP*)
          later	        RB	    S-ADVP	         O	              -	      I-A1	         O	  S-AM-TMP	         O	(ADVP*)
     determined	       VBD	      S-VP	         O	     determined	      I-A1	         O	       S-V	         O	(VP*
             it	       PRP	      S-NP	         O	              -	      I-A1	         O	      B-A1	      S-A1	(SBAR(S(NP*)
       happened	       VBD	      S-VP	         O	       happened	      I-A1	         O	      I-A1	       S-V	(VP*
             on	        IN	      S-PP	         O	              -	      I-A1	         O	      I-A1	  B-AM-LOC	(PP*
           Dell	       NNP	      B-NP	     B-LOC	              -	      I-A1	         O	      I-A1	  I-AM-LOC	(NP(NP*
          Brook	       NNP	      I-NP	     I-LOC	              -	      I-A1	         O	      I-A1	  I-AM-LOC	*
         Avenue	       NNP	      E-NP	     E-LOC	              -	      I-A1	         O	      I-A1	  I-AM-LOC	*)
              ,	         ,	         O	         O	              -	      I-A1	         O	      I-A1	  I-AM-LOC	*
          which	       WDT	      S-NP	         O	              -	      I-A1	         O	      I-A1	  I-AM-LOC	(SBAR(WHNP*)
             is	       VBZ	      S-VP	         O	              -	      I-A1	         O	      I-A1	  I-AM-LOC	(S(VP*
           near	        IN	      S-PP	         O	              -	      I-A1	         O	      I-A1	  I-AM-LOC	(PP*
         Seneca	       NNP	      B-NP	     B-LOC	              -	      I-A1	         O	      I-A1	  I-AM-LOC	(NP*
           High	       NNP	      I-NP	     I-LOC	              -	      I-A1	         O	      I-A1	  I-AM-LOC	*
         School	       NNP	      E-NP	     E-LOC	              -	      E-A1	         O	      E-A1	  E-AM-LOC	*))))))))))))
              .	         .	         O	         O	              -	         O	         O	         O	         O	*))

            The	        DT	      B-NP	         O	              -	      B-A0	      B-A0	      B-A1	      B-A1	(S1(S(S(S(NP*
        victims	       NNS	      E-NP	         O	              -	      E-A0	      E-A0	      E-A1	      I-A1	*)
           were	       VBD	      B-VP	         O	              -	         O	         O	         O	      I-A1	(VP*
         trying	       VBG	      I-VP	         O	         trying	       S-V	         O	         O	      I-A1	(VP*
             to	        TO	      I-VP	         O	              -	      B-A1	         O	         O	      I-A1	(S(VP*
          drive	        VB	      E-VP	         O	          drive	      I-A1	       S-V	         O	      I-A1	(VP(VP*
             to	        TO	      S-PP	         O	              -	      I-A1	      B-A1	         O	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	      I-A1	         O	      I-A1	(NP*
       hospital	        NN	      E-NP	         O	              -	      E-A1	      E-A1	         O	      I-A1	*)))
            and	        CC	         O	         O	              -	         O	         O	         O	      I-A1	*
        stopped	       VBD	      S-VP	         O	        stopped	         O	         O	       S-V	      I-A1	(VP*
             at	        IN	      S-PP	         O	              -	         O	         O	  B-AM-MNR	      I-A1	(PP*
          Chili	       NNP	      S-NP	     S-LOC	              -	         O	         O	  I-AM-MNR	      I-A1	(NP*
             's	       POS	      S-NP	         O	              -	         O	         O	  I-AM-MNR	      I-A1	*))
            for	        IN	      S-PP	         O	              -	         O	         O	  I-AM-MNR	      I-A1	(PP*
           help	        NN	      S-NP	         O	              -	         O	         O	  E-AM-MNR	      E-A1	(NP*)))))))))
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	*
           LMPD	       NNP	      B-NP	     S-ORG	              -	         O	         O	         O	      B-A0	(NP*
      spokesman	        NN	      I-NP	         O	              -	         O	         O	         O	      I-A0	*
         Dwight	       NNP	      I-NP	     B-PER	              -	         O	         O	         O	      I-A0	*
       Mitchell	       NNP	      E-NP	     E-PER	              -	         O	         O	         O	      E-A0	*)
           said	       VBD	      S-VP	         O	           said	         O	         O	         O	       S-V	(VP*))
              .	         .	         O	         O	              -	         O	         O	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	         O	         O	       S-V	(NP*)))

           MORE	       JJR	      S-NP	         O	              -	(S1(NP(NP*)
           FROM	        IN	      S-PP	         O	              -	(PP*
      WAVE3.COM	       NNP	      B-NP	         O	              -	(NP*
        NEWLINE	       NNP	      E-NP	         O	              -	*
              +	         .	         O	         O	              -	*))))

            One	        CD	      S-NP	         O	              -	      S-A1	      B-A1	         O	         O	         O	(S1(S(S(NP*)
         killed	       VBN	      S-VP	         O	         killed	       S-V	      I-A1	         O	         O	         O	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	      I-A1	         O	         O	         O	(SBAR*
        Bullitt	       NNP	      B-NP	     B-LOC	              -	  I-AM-LOC	      I-A1	         O	         O	         O	(S(NP*
         County	       NNP	      E-NP	     E-LOC	              -	  I-AM-LOC	      E-A1	         O	         O	         O	*)
            hit	       VBD	      S-VP	         O	            hit	  E-AM-LOC	       S-V	         O	         O	         O	(VP*
              -	         :	         O	         O	              -	         O	         O	         O	         O	         O	*
            and	        CC	         O	         O	              -	         O	         O	         O	         O	         O	*
              -	         :	         O	         O	              -	         O	         O	         O	         O	         O	*
            run	        NN	      S-NP	         O	              -	         O	      S-A1	         O	         O	         O	*)))))
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	         O	*
         driver	        NN	      S-NP	         O	              -	         O	         O	         O	         O	         O	(VP*
          still	        RB	    S-ADVP	         O	              -	         O	         O	         O	         O	         O	(ADVP*)
             at	        IN	      S-PP	         O	              -	         O	         O	         O	         O	         O	(PP*
              -	         :	      B-NP	         O	              -	         O	         O	         O	         O	         O	*
          large	        JJ	      I-NP	         O	              -	         O	         O	      B-A1	      B-A1	         O	(NP(NP*
        NEWLINE	       NNP	      I-NP	         O	              -	         O	         O	      I-A1	      I-A1	         O	*
              +	       POS	      I-NP	         O	              -	         O	         O	      I-A1	      I-A1	         O	*)
            Two	        CD	      E-NP	         O	              -	         O	         O	      E-A1	      E-A1	         O	(VP*
         killed	       VBN	      S-VP	         O	         killed	         O	         O	       S-V	         O	         O	*
             in	        IN	      S-PP	         O	              -	         O	         O	  B-AM-LOC	         O	         O	(PP*
       Gallatin	       NNP	      B-NP	     B-LOC	              -	         O	         O	  I-AM-LOC	         O	         O	(NP(NP(NP*
         County	       NNP	      I-NP	     E-LOC	              -	         O	         O	  I-AM-LOC	         O	         O	*
          crash	        NN	      I-NP	         O	              -	         O	         O	  E-AM-LOC	         O	         O	*)
        NEWLINE	       NNP	      I-NP	     S-LOC	              -	         O	         O	      B-A1	      B-A1	         O	*
              +	       POS	      I-NP	         O	              -	         O	         O	      I-A1	      E-A1	         O	*
           LMDC	       NNP	      I-NP	     S-LOC	              -	         O	         O	      I-A1	      B-A0	         O	*
         inmate	        NN	      E-NP	         O	              -	         O	         O	      I-A1	      E-A0	         O	*)
          taken	       VBN	      S-VP	         O	          taken	         O	         O	      I-A1	       S-V	         O	(VP*
             to	        TO	      S-PP	         O	              -	         O	         O	      I-A1	      B-A1	         O	(PP*
       hospital	        NN	      S-NP	         O	              -	         O	         O	      E-A1	      E-A1	         O	(NP*))
      following	       VBG	      S-PP	         O	      following	         O	         O	         O	  B-AM-PNC	       S-V	(PP*
            use	        NN	      S-NP	         O	              -	         O	         O	         O	  I-AM-PNC	      B-A2	(NP(NP*)
             of	        IN	      S-PP	         O	              -	         O	         O	         O	  I-AM-PNC	      I-A2	(PP*
          force	        NN	      B-NP	         O	              -	         O	         O	         O	  I-AM-PNC	      I-A2	(NP*
       incident	        NN	      E-NP	         O	              -	         O	         O	         O	  I-AM-PNC	      I-A2	*
        NEWLINE	       NNP	      S-VP	     S-ORG	              -	         O	         O	         O	  I-AM-PNC	      I-A2	*))))))))
          There	       NNP	      S-NP	         O	              -	         O	         O	         O	  E-AM-PNC	      E-A2	(NP*))))
             is	       VBZ	      S-VP	         O	              -	         O	         O	         O	         O	         O	(VP*
             no	        DT	      B-NP	         O	              -	         O	         O	         O	         O	         O	(NP(NP*
           word	        NN	      E-NP	         O	              -	         O	         O	         O	         O	         O	*)
             on	        IN	      S-PP	         O	              -	         O	         O	         O	         O	         O	(PP*
            any	        DT	      B-NP	         O	              -	         O	         O	         O	         O	         O	(NP*
       suspects	       NNS	      I-NP	         O	              -	         O	         O	         O	         O	         O	*
             or	        CC	      I-NP	         O	              -	         O	         O	         O	         O	         O	*
        arrests	       NNS	      E-NP	         O	              -	         O	         O	         O	         O	         O	*)))
             at	        IN	      S-PP	         O	              -	         O	         O	         O	         O	         O	(PP*
           this	        DT	      B-NP	         O	              -	         O	         O	         O	         O	         O	(NP*
           time	        NN	      E-NP	         O	              -	         O	         O	         O	         O	         O	*)))
              .	         .	         O	         O	              -	         O	         O	         O	         O	         O	*))

         Anyone	        NN	      S-NP	         O	              -	      B-A0	(S1(S(NP(NP*)
           with	        IN	      S-PP	         O	              -	      I-A0	(PP*
    information	        NN	      S-NP	         O	              -	      I-A0	(NP(NP*)
          about	        IN	      S-PP	         O	              -	      I-A0	(PP*
            the	        DT	      B-NP	         O	              -	      I-A0	(NP*
       shooting	        NN	      E-NP	         O	              -	      E-A0	*)))))
         should	        MD	      B-VP	         O	              -	  S-AM-MOD	(VP*
           call	        VB	      E-VP	         O	           call	       S-V	(VP*
       574-LMPD	       NNP	      S-NP	     S-ORG	              -	      B-A1	(S(NP*)
              (	     -LRB-	         O	         O	              -	      I-A1	(PRN*
           5673	        CD	      S-NP	         O	              -	      I-A1	(NP*)
              )	     -RRB-	         O	         O	              -	      I-A1	*))))
              .	         .	         O	         O	              -	      I-A1	*
        NEWLINE	       NNP	         O	     S-ORG	              -	      E-A1	(NP*)))

      Copyright	        NN	      B-NP	         O	              -	(S1(NP*
           2017	        CD	      I-NP	         O	              -	*
           WAVE	        NN	      I-NP	         O	              -	*
              3	        CD	      I-NP	         O	              -	*
           News	        NN	      E-NP	         O	              -	*
              .	         .	         O	         O	              -	*))

            All	        DT	      B-NP	         O	              -	      B-A1	(S1(S(NP*
         rights	       NNS	      E-NP	         O	              -	      E-A1	*)
       reserved	       VBN	      S-VP	         O	       reserved	       S-V	(VP*)
              .	         .	         O	         O	              -	         O	*))

