     2017-04-04	        CD	      S-NP	         O	              -	(S1(NP*))

            Two	        CD	      B-NP	         O	              -	      B-A0	         O	(S1(NP(NP(NP*
           shot	        NN	      E-NP	         O	              -	      I-A0	         O	*)
             in	        IN	      S-PP	         O	              -	      I-A0	         O	(PP*
         Austin	       NNP	      S-NP	     S-LOC	              -	      I-A0	         O	(NP*)))
              :	         :	         O	         O	              -	      I-A0	         O	*
              '	        ''	         O	         O	              -	      I-A0	         O	(S*
            The	        DT	      B-NP	         O	              -	      I-A0	         O	(NP*
          world	        NN	      E-NP	         O	              -	      E-A0	         O	*)
          needs	       VBZ	      S-VP	         O	          needs	       S-V	         O	(VP*
             to	        TO	      B-VP	         O	              -	  B-AM-PNC	         O	(S(VP*
            see	        VB	      E-VP	         O	            see	  I-AM-PNC	       S-V	(VP*
             it	       PRP	      S-NP	         O	              -	  E-AM-PNC	      S-A1	(NP*)))))
              '	        ''	         O	         O	              -	         O	         O	*)))

           Dion	       NNP	      B-NP	     B-PER	              -	      B-A0	         O	(S1(S(NP*
         Stokes	       NNP	      E-NP	     E-PER	              -	      E-A0	         O	*)
            was	       VBD	      B-VP	         O	              -	         O	         O	*
        playing	       VBG	      E-VP	         O	        playing	       S-V	         O	*
              a	        DT	      B-NP	         O	              -	      B-A1	         O	(NP*
           game	        NN	      E-NP	         O	              -	      E-A1	         O	*)
             on	        IN	      S-PP	         O	              -	  B-AM-LOC	         O	(PP*
            his	      PRP$	      B-NP	         O	              -	  I-AM-LOC	         O	(NP*
         mobile	        JJ	      I-NP	         O	              -	  I-AM-LOC	         O	*
          phone	        NN	      E-NP	         O	              -	  E-AM-LOC	         O	*))
          early	        JJ	      B-NP	         O	              -	  B-AM-TMP	         O	*
      Wednesday	       NNP	      E-NP	         O	              -	  E-AM-TMP	         O	(NP*)
           when	       WRB	    S-ADVP	         O	              -	  B-AM-TMP	         O	(WHADVP*)
        gunfire	        NN	      S-NP	         O	              -	  I-AM-TMP	      S-A1	(NP*)
        erupted	       VBD	      S-VP	         O	        erupted	  I-AM-TMP	       S-V	*
           near	        IN	      S-PP	         O	              -	  I-AM-TMP	  B-AM-LOC	(PP*
            his	      PRP$	      B-NP	         O	              -	  I-AM-TMP	  I-AM-LOC	(NP*
           West	       NNP	      I-NP	     B-LOC	              -	  I-AM-TMP	  I-AM-LOC	*
           Side	       NNP	      I-NP	     E-LOC	              -	  I-AM-TMP	  I-AM-LOC	*
           home	        NN	      E-NP	         O	              -	  I-AM-TMP	  I-AM-LOC	*))
             in	        IN	      S-PP	         O	              -	  I-AM-TMP	  I-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-TMP	  I-AM-LOC	(NP*
         Austin	       NNP	      I-NP	     S-LOC	              -	  I-AM-TMP	  I-AM-LOC	*
   neighborhood	        NN	      E-NP	         O	              -	  E-AM-TMP	  E-AM-LOC	*
              .	         .	         O	         O	              -	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	         O	*))))

              "	        ``	         O	         O	              -	         O	         O	(S1(S(S(ADVP*)
              I	       PRP	      S-NP	         O	              -	      S-A1	         O	(NP*)
            got	       VBD	      S-VP	         O	            got	       B-V	         O	(VP*
           down	        RB	    S-ADVP	         O	              -	       E-V	         O	(ADVP*)))
              ,	         ,	         O	         O	              -	         O	         O	*
              "	        FW	      B-NP	         O	              -	         O	         O	(NP*
         Stokes	       NNP	      E-NP	     S-PER	              -	         O	      S-A0	*)
           said	       VBD	      S-VP	         O	           said	         O	       S-V	(VP*)
              .	         .	         O	         O	              -	         O	         O	*))

              "	        LS	         O	         O	              -	         O	(S1(X(X*)
              .	         .	         O	         O	              -	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	      S-A0	(NP*)))

            The	        DT	      B-NP	         O	              -	      B-A1	(S1(S(NP*
        19-year	        JJ	      I-NP	         O	              -	      I-A1	(ADJP*
              -	         :	      I-NP	         O	              -	      I-A1	*
            old	        JJ	      I-NP	         O	              -	      I-A1	*)
            man	        NN	      E-NP	         O	              -	      E-A1	*)
            was	       VBD	      B-VP	         O	              -	         O	(VP*
          taken	       VBN	      E-VP	         O	          taken	       S-V	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
           good	        JJ	      B-NP	         O	              -	  I-AM-LOC	(NP*
      condition	        NN	      E-NP	         O	              -	  I-AM-LOC	*))
             to	        TO	      S-PP	         O	              -	  I-AM-LOC	(PP*
          Mount	       NNP	      B-NP	     B-LOC	              -	  I-AM-LOC	(NP*
          Sinai	       NNP	      I-NP	     I-LOC	              -	  I-AM-LOC	*
       Hospital	       NNP	      E-NP	     E-LOC	              -	  E-AM-LOC	*))))
              .	         .	         O	         O	              -	         O	*))

            The	        DT	      B-NP	         O	              -	      B-A1	(S1(S(NP*
           teen	        NN	      E-NP	         O	              -	      E-A1	*)
            was	       VBD	      B-VP	         O	              -	         O	(VP*
          taken	       VBN	      E-VP	         O	          taken	       S-V	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
           good	        JJ	      B-NP	         O	              -	  I-AM-LOC	(NP*
      condition	        NN	      E-NP	         O	              -	  I-AM-LOC	*))
             to	        TO	      S-PP	         O	              -	  I-AM-LOC	(PP*
        Stroger	       NNP	      B-NP	     B-LOC	              -	  I-AM-LOC	(NP*
       Hospital	       NNP	      E-NP	     E-LOC	              -	  E-AM-LOC	*))))
              .	         .	         O	         O	              -	         O	*))

             No	        DT	      B-NP	         O	              -	(S1(S(NP*
            one	        CD	      E-NP	         O	              -	*)
            was	       VBD	      S-VP	         O	              -	(VP*
             in	        IN	      S-PP	         O	              -	(PP*
        custody	        NN	      B-NP	         O	              -	(NP*)))
              .	         .	      I-NP	         O	              -	*
        NEWLINE	       NNP	      E-NP	     S-ORG	              -	(NP*)))

            The	        DT	      B-NP	         O	              -	         O	      B-A1	(S1(S(S(S(NP(NP*
           teen	        NN	      E-NP	         O	              -	         O	      I-A1	*)
            and	        CC	         O	         O	              -	         O	      I-A1	*
            the	        DT	      B-NP	         O	              -	         O	      I-A1	(NP*
            man	        NN	      E-NP	         O	              -	         O	      I-A1	*))
           were	       VBD	      S-VP	         O	              -	         O	      I-A1	(VP*
          among	        IN	      S-PP	         O	              -	         O	      I-A1	(SBAR(S(PP*
             11	        CD	      B-NP	         O	              -	      B-A1	      I-A1	(NP*
         people	       NNS	      E-NP	         O	              -	      E-A1	      I-A1	*))
           shot	       VBD	      S-VP	         O	           shot	       S-V	      I-A1	(VP*
              ,	         ,	         O	         O	              -	         O	      I-A1	*
            one	        CD	    B-ADVP	         O	              -	         O	      I-A1	(NP*)
        fatally	        RB	    E-ADVP	         O	              -	         O	      I-A1	(ADVP*)
              ,	         ,	         O	         O	              -	         O	      I-A1	*
           from	        IN	      S-PP	         O	              -	         O	      I-A1	(PP*
        Tuesday	       NNP	      B-NP	         O	              -	         O	      I-A1	(NP*
      afternoon	        NN	      E-NP	         O	              -	         O	      I-A1	*))
             to	        TO	      S-PP	         O	              -	         O	      I-A1	(PP*
          early	        JJ	      B-NP	         O	              -	         O	      I-A1	(NP*
      Wednesday	       NNP	      E-NP	         O	              -	         O	      E-A1	*)))))))
              ,	         ,	         O	         O	              -	         O	         O	*
         police	        NN	      S-NP	         O	              -	         O	      S-A0	(NP*)
           said	       VBD	      S-VP	         O	           said	         O	       S-V	(VP*))
              .	         .	         O	         O	              -	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	       S-V	(NP*)))

             As	        IN	    S-SBAR	         O	              -	         O	         O	         O	  B-AM-TMP	(S1(S(SBAR*
       officers	       NNS	      S-NP	         O	              -	      S-A0	         O	         O	  I-AM-TMP	(S(NP*)
        blocked	       VBD	      S-VP	         O	        blocked	       B-V	         O	         O	  I-AM-TMP	(VP*
            off	        RP	     S-PRT	         O	              -	       E-V	         O	         O	  I-AM-TMP	(ADVP*)
           part	        NN	      S-NP	         O	              -	      B-A1	         O	         O	  I-AM-TMP	(NP(NP*)
             of	        IN	      S-PP	         O	              -	      I-A1	         O	         O	  I-AM-TMP	(PP*
       Parkside	       NNP	      S-NP	     S-LOC	              -	      E-A1	         O	         O	  E-AM-TMP	(NP*))))))
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	*
      neighbors	       NNS	      S-NP	         O	              -	         O	      S-A0	      S-A0	         O	(S(NP*)
        wearing	       VBG	      S-VP	         O	        wearing	         O	       S-V	         O	         O	(VP*
        pajamas	       NNS	      S-NP	         O	              -	         O	      S-A1	         O	         O	(S(NP*)
         peeked	       VBN	      S-VP	         O	         peeked	         O	         O	       B-V	         O	(VP*
            out	        RP	     S-PRT	         O	              -	         O	         O	       E-V	         O	(ADVP*)
          their	      PRP$	      B-NP	         O	              -	         O	         O	      B-A1	         O	(SBAR(S(NP*
        windows	       NNS	      E-NP	         O	              -	         O	         O	      E-A1	         O	*
            and	        CC	         O	         O	              -	         O	         O	         O	         O	*
         others	       NNS	      S-NP	         O	              -	         O	         O	         O	      S-A0	*)
        watched	       VBD	      S-VP	         O	        watched	         O	         O	         O	       S-V	(VP*
         police	        NN	      S-NP	         O	              -	         O	         O	         O	      B-A1	(NP(NP*)
           from	        IN	      S-PP	         O	              -	         O	         O	         O	      I-A1	(PP*
          their	      PRP$	      B-NP	         O	              -	         O	         O	         O	      I-A1	(NP*
          front	        JJ	      I-NP	         O	              -	         O	         O	         O	      I-A1	*
        porches	       NNS	      E-NP	         O	              -	         O	         O	         O	      E-A1	*)))))))))
              .	         .	         O	         O	              -	         O	         O	         O	         O	*)))

            The	        DT	      B-NP	         O	              -	      B-A1	         O	(S1(S(NP*
          crime	        NN	      I-NP	         O	              -	      I-A1	         O	*
          scene	        NN	      E-NP	         O	              -	      E-A1	         O	*)
            was	       VBD	      B-VP	         O	              -	         O	         O	(VP*
          later	        RB	      I-VP	         O	              -	  S-AM-TMP	         O	(ADVP*)
       expanded	       VBN	      E-VP	         O	       expanded	       S-V	         O	(VP*
          after	        IN	      S-PP	         O	              -	  B-AM-TMP	         O	(SBAR*
     additional	        JJ	      B-NP	         O	              -	  I-AM-TMP	      B-A1	(S(NP*
        casings	       NNS	      E-NP	         O	              -	  I-AM-TMP	      E-A1	*)
           were	       VBD	      B-VP	         O	              -	  I-AM-TMP	         O	(VP*
          found	       VBN	      E-VP	         O	          found	  I-AM-TMP	       S-V	(VP*
             on	        IN	      S-PP	         O	              -	  I-AM-TMP	  B-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-TMP	  I-AM-LOC	(NP(NP*
          front	        JJ	      I-NP	         O	              -	  I-AM-TMP	  I-AM-LOC	*
           lawn	        NN	      E-NP	         O	              -	  I-AM-TMP	  I-AM-LOC	*)
             of	        IN	      S-PP	         O	              -	  I-AM-TMP	  I-AM-LOC	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-TMP	  I-AM-LOC	(NP*
           home	        NN	      I-NP	         O	              -	  I-AM-TMP	  E-AM-LOC	*
              .	         .	      I-NP	         O	              -	  I-AM-TMP	         O	*
        NEWLINE	       NNP	      E-NP	     S-ORG	              -	  E-AM-TMP	         O	*))))))))))))

         Stokes	       NNP	      S-NP	     S-PER	              -	      S-A0	(S1(S(NP*)
      broadcast	       VBD	      S-VP	         O	      broadcast	       S-V	(VP*
            the	        DT	      B-NP	         O	              -	      B-A1	(NP(NP*
      aftermath	        NN	      E-NP	         O	              -	      I-A1	*)
             of	        IN	      S-PP	         O	              -	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	(NP*
       shooting	        NN	      E-NP	         O	              -	      I-A1	*)))
             on	        IN	      S-PP	         O	              -	      I-A1	(PP*
       Facebook	       NNP	      S-NP	         O	              -	      I-A1	(NP(NP*)
           Live	       NNP	      S-VP	         O	              -	      E-A1	(VP*))))
              .	         .	         O	         O	              -	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	(NP*)))

              "	        ``	         O	         O	              -	         O	         O	         O	         O	(S1(S(ADVP*)
            The	        DT	      B-NP	         O	              -	      B-A0	      B-A0	         O	         O	(NP*
          world	        NN	      E-NP	         O	              -	      E-A0	      E-A0	         O	         O	*)
          needs	       VBZ	      S-VP	         O	          needs	       S-V	         O	         O	         O	(VP*
             to	        TO	      B-VP	         O	              -	  B-AM-PNC	         O	         O	         O	(S(VP*
            see	        VB	      E-VP	         O	            see	  I-AM-PNC	       S-V	         O	         O	(VP*
             it	       PRP	      S-NP	         O	              -	  E-AM-PNC	      S-A1	         O	         O	(NP*))))
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	*
              "	        IN	    S-SBAR	         O	              -	         O	         O	         O	         O	(PP*
             he	       PRP	      S-NP	         O	              -	         O	         O	      S-A0	         O	(SBAR(S(NP*)
           said	       VBD	      S-VP	         O	           said	         O	         O	       S-V	         O	(VP*
          while	        IN	    S-SBAR	         O	              -	         O	         O	  B-AM-ADV	         O	(SBAR*
        holding	       VBG	      S-VP	         O	        holding	         O	         O	  I-AM-ADV	       S-V	(S(VP*
            his	      PRP$	      B-NP	         O	              -	         O	         O	  I-AM-ADV	      B-A1	(NP*
          phone	        NN	      E-NP	         O	              -	         O	         O	  E-AM-ADV	      E-A1	*
              .	         .	         O	         O	              -	         O	         O	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	         O	         O	         O	*)))))))))))

            His	      PRP$	      B-NP	         O	              -	      B-A0	      B-A1	      B-A0	      B-A0	         O	(S1(S(NP(NP*
          uncle	        NN	      E-NP	         O	              -	      E-A0	      E-A1	      I-A0	      I-A0	         O	*)
              ,	         ,	         O	         O	              -	         O	         O	      I-A0	      I-A0	         O	*
            who	        WP	      S-NP	         O	              -	    S-R-A0	    S-R-A1	      I-A0	      I-A0	         O	(SBAR(WHNP*)
            did	       VBD	      B-VP	         O	              -	         O	         O	      I-A0	      I-A0	         O	(S(VP*
            not	        RB	      I-VP	         O	              -	  S-AM-NEG	         O	      I-A0	      I-A0	         O	*
           want	        VB	      I-VP	         O	           want	       S-V	         O	      I-A0	      I-A0	         O	(VP*
             to	        TO	      I-VP	         O	              -	      B-A1	         O	      I-A0	      I-A0	         O	(S(VP*
             be	        VB	      I-VP	         O	              -	      I-A1	         O	      I-A0	      I-A0	         O	(VP*
     identified	       VBN	      E-VP	         O	     identified	      E-A1	       S-V	      I-A0	      I-A0	         O	(VP*))))))))
              ,	         ,	         O	         O	              -	         O	         O	      E-A0	      E-A0	         O	*)
           also	        RB	    S-ADVP	         O	              -	         O	         O	  S-AM-DIS	         O	         O	(ADVP*)
          heard	       VBD	      S-VP	         O	          heard	         O	         O	       S-V	         O	         O	(VP(VP*
            the	        DT	      B-NP	         O	              -	         O	         O	      B-A1	         O	         O	(NP*
        gunfire	        NN	      E-NP	         O	              -	         O	         O	      E-A1	         O	         O	*))
            and	        CC	         O	         O	              -	         O	         O	         O	         O	         O	*
        thought	       VBD	      S-VP	         O	        thought	         O	         O	         O	       S-V	         O	(VP*
             he	       PRP	      S-NP	         O	              -	         O	         O	         O	      B-A1	      S-A0	(SBAR(S(NP*)
            was	       VBD	      B-VP	         O	              -	         O	         O	         O	      I-A1	         O	(VP*
       dreaming	       VBG	      E-VP	         O	       dreaming	         O	         O	         O	      E-A1	       S-V	(VP*))))))
              .	         .	         O	         O	              -	         O	         O	         O	         O	         O	*))

             He	       PRP	      S-NP	         O	              -	      S-A0	         O	         O	         O	         O	         O	         O	         O	      B-A1	(S1(S(S(NP*)
        watched	       VBD	      S-VP	         O	        watched	       S-V	         O	         O	         O	         O	         O	         O	         O	      I-A1	(VP*
         police	       NNS	      S-NP	         O	              -	      B-A1	         O	         O	         O	         O	         O	         O	         O	      I-A1	(NP(NP*)
           from	        IN	      S-PP	         O	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	      I-A1	(PP(PP*
            his	      PRP$	      B-NP	         O	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	      I-A1	(NP*
          porch	        NN	      E-NP	         O	              -	      E-A1	         O	         O	         O	         O	         O	         O	         O	      I-A1	*))
            and	        CC	         O	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	*
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	*
           with	        IN	      S-PP	         O	              -	         O	  B-AM-MNR	         O	         O	         O	         O	         O	         O	      I-A1	(PP*
            his	      PRP$	      B-NP	         O	              -	         O	  I-AM-MNR	         O	         O	         O	         O	         O	         O	      I-A1	(NP*
      neighbors	       NNS	      E-NP	         O	              -	         O	  E-AM-MNR	         O	         O	         O	         O	         O	         O	      I-A1	*))))
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	*
          tried	       VBD	      B-VP	         O	          tried	         O	       S-V	         O	         O	         O	         O	         O	         O	      I-A1	*
             to	        TO	      I-VP	         O	              -	         O	      B-A1	         O	         O	         O	         O	         O	         O	      I-A1	(S(VP*
          piece	        VB	      E-VP	         O	          piece	         O	      I-A1	       S-V	         O	         O	         O	         O	         O	      I-A1	(VP*
       together	        RB	    S-ADVP	         O	              -	         O	      I-A1	      S-A2	         O	         O	         O	         O	         O	      I-A1	(ADVP*)
           what	        WP	      S-NP	         O	              -	         O	      I-A1	      B-A1	    S-R-A1	         O	         O	         O	         O	      I-A1	(SBAR(WHNP*)
       happened	       VBD	      S-VP	         O	       happened	         O	      E-A1	      E-A1	       S-V	         O	         O	         O	         O	      I-A1	(S(VP*))))))))
              .	         .	         O	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	*
        NEWLINE	       NNP	      B-NP	     S-ORG	              -	         O	         O	         O	         O	      B-A1	      B-A0	      B-A1	      B-A0	      I-A1	(NP*
              2	        CD	      E-NP	         O	              -	         O	         O	         O	         O	      E-A1	      I-A0	      I-A1	      I-A0	      I-A1	*)
        wounded	       VBN	      S-VP	         O	        wounded	         O	         O	         O	         O	       S-V	      I-A0	      I-A1	      I-A0	      I-A1	*
             in	        IN	      S-PP	         O	              -	         O	         O	         O	         O	  B-AM-LOC	      I-A0	      I-A1	      I-A0	      I-A1	(PP*
          South	       NNP	      B-NP	     B-LOC	              -	         O	         O	         O	         O	  I-AM-LOC	      I-A0	      I-A1	      I-A0	      I-A1	(NP*
         Austin	       NNP	      E-NP	     E-LOC	              -	         O	         O	         O	         O	  I-AM-LOC	      E-A0	      I-A1	      I-A0	      I-A1	*))
       shooting	       VBG	      S-VP	         O	       shooting	         O	         O	         O	         O	  I-AM-LOC	       S-V	      I-A1	      I-A0	      I-A1	*
          Elvia	       NNP	      B-NP	     B-PER	              -	         O	         O	         O	         O	  I-AM-LOC	      B-A1	      I-A1	      I-A0	      I-A1	(NP*
        Malagon	       NNP	      E-NP	     E-PER	              -	         O	         O	         O	         O	  I-AM-LOC	      I-A1	      I-A1	      I-A0	      I-A1	*)
              /	         :	         O	         O	              -	         O	         O	         O	         O	  I-AM-LOC	      I-A1	      I-A1	      I-A0	      I-A1	*
        Chicago	       NNP	      B-NP	     S-LOC	              -	         O	         O	         O	         O	  I-AM-LOC	      I-A1	      I-A1	      I-A0	      I-A1	(NP*
        Tribune	       NNP	      I-NP	         O	              -	         O	         O	         O	         O	  I-AM-LOC	      I-A1	      I-A1	      I-A0	      I-A1	*
        Casings	      NNPS	      E-NP	         O	              -	         O	         O	         O	         O	  E-AM-LOC	      E-A1	      E-A1	      E-A0	      I-A1	*)
           were	       VBD	      B-VP	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	(VP*
          found	       VBN	      E-VP	         O	          found	         O	         O	         O	         O	         O	         O	       S-V	         O	      I-A1	(VP(VP*
             on	        IN	      S-PP	         O	              -	         O	         O	         O	         O	         O	         O	  B-AM-LOC	         O	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	         O	         O	         O	         O	         O	         O	  I-AM-LOC	         O	      I-A1	(NP*
         ground	        NN	      E-NP	         O	              -	         O	         O	         O	         O	         O	         O	  I-AM-LOC	         O	      I-A1	*))
             at	        IN	      S-PP	         O	              -	         O	         O	         O	         O	         O	         O	  I-AM-LOC	         O	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	         O	         O	         O	         O	         O	         O	  I-AM-LOC	         O	      I-A1	(NP(NP*
          scene	        NN	      E-NP	         O	              -	         O	         O	         O	         O	         O	         O	  I-AM-LOC	         O	      I-A1	*)
