     2017-03-15	        CD	      S-NP	         O	              -	(S1(NP*))

          Teens	       NNS	      S-NP	         O	              -	      B-A0	  B-AM-LOC	(S1(S(S(NP(NP(NP*
              '	       POS	      B-NP	         O	              -	      I-A0	  I-AM-LOC	*)
          house	        NN	      I-NP	         O	              -	      I-A0	  I-AM-LOC	*
          party	        NN	      E-NP	         O	              -	      I-A0	  I-AM-LOC	*)
             in	        IN	      S-PP	         O	              -	      I-A0	  I-AM-LOC	(PP*
          South	       NNP	      B-NP	     B-LOC	              -	      I-A0	  I-AM-LOC	(NP*
      Anchorage	       NNP	      E-NP	     E-LOC	              -	      E-A0	  I-AM-LOC	*)))
         turned	       VBD	      S-VP	         O	         turned	       S-V	  I-AM-LOC	(VP*
           into	        IN	      S-PP	         O	              -	      B-A2	  I-AM-LOC	(PP*
       shootout	        NN	      S-NP	         O	              -	      E-A2	  E-AM-LOC	(NP*))))
              ,	         ,	         O	         O	              -	         O	         O	*
         police	       NNS	      S-NP	         O	              -	         O	      S-A0	(NP*)
            say	       VBP	      S-VP	         O	            say	         O	         O	(VP*)))

              "	       SYM	         O	         O	              -	         O	      B-A0	      B-A1	(S1(S(S(S(VP*
             an	        DT	      B-NP	         O	              -	         O	      I-A2	      I-A1	(NP*
    altercation	        NN	      E-NP	         O	              -	         O	      E-A2	      E-A1	*)))))
              ,	         ,	         O	         O	              -	         O	         O	         O	*
              "	        FW	      B-NP	         O	              -	         O	         O	      B-A0	(NP*
         Oistad	       NNP	      E-NP	     S-PER	              -	         O	         O	      E-A0	*)
          wrote	       VBD	      S-VP	         O	          wrote	         O	         O	       S-V	(VP*)
              .	         .	         O	         O	              -	         O	         O	         O	*))

              "	        ``	         O	         O	              -	         O	         O	         O	(S1(S(ADVP*)
             As	        IN	      S-PP	         O	              -	         O	         O	         O	(PP*
              a	        DT	      B-NP	         O	              -	         O	         O	         O	(NP(NP*
         result	        NN	      E-NP	         O	              -	         O	         O	         O	*)
             of	        IN	      S-PP	         O	              -	         O	         O	         O	(PP*
           that	        DT	      B-NP	         O	              -	         O	         O	         O	(NP*
   disagreement	        NN	      E-NP	         O	              -	         O	         O	         O	*))))
              ,	         ,	         O	         O	              -	         O	         O	         O	*
              a	        DT	      B-NP	         O	              -	      B-A1	      B-A1	      B-A2	(NP*
       physical	        JJ	      I-NP	         O	              -	      I-A1	      I-A1	      I-A2	*
          fight	        NN	      E-NP	         O	              -	      E-A1	      E-A1	      I-A2	*)
         ensued	       VBD	      S-VP	         O	         ensued	       S-V	         O	      E-A2	(VP*
          which	       WDT	      S-NP	         O	              -	      B-A1	    S-R-A1	    S-R-A2	(SBAR(WHNP*)
           grew	       VBD	      B-VP	         O	           grew	      I-A1	       S-V	         O	(S(VP*
             to	        TO	      I-VP	         O	              -	      I-A1	  B-AM-PNC	         O	(S(VP*
        involve	        VB	      E-VP	         O	        involve	      I-A1	  I-AM-PNC	       S-V	(VP*
  approximately	        RB	      B-NP	         O	              -	      I-A1	  I-AM-PNC	      B-A1	(NP(QP*
             10	        CD	      I-NP	         O	              -	      I-A1	  I-AM-PNC	      I-A1	*)
         people	       NNS	      E-NP	         O	              -	      E-A1	  E-AM-PNC	      E-A1	*))))))))
              .	         .	         O	         O	              -	         O	         O	         O	*))

           That	        DT	      S-NP	         O	              -	      S-A0	         O	         O	(S1(S(S(NP*)
            led	       VBD	      S-VP	         O	            led	       S-V	         O	         O	(VP*
             to	        TO	      S-PP	         O	              -	      B-A2	         O	         O	(PP*
       multiple	        JJ	      B-NP	         O	              -	      I-A2	      B-A1	         O	(NP(NP*
        gunshot	        NN	      I-NP	         O	              -	      I-A2	      I-A1	         O	*
         rounds	       NNS	      E-NP	         O	              -	      I-A2	      E-A1	         O	*)
          being	       VBG	      B-VP	         O	              -	      I-A2	         O	         O	(VP*
          fired	       VBN	      E-VP	         O	          fired	      I-A2	       S-V	         O	(VP*
           from	        IN	      S-PP	         O	              -	      I-A2	      B-A2	         O	(PP*
           more	       JJR	      B-NP	         O	              -	      I-A2	      I-A2	         O	(NP(QP*
           than	        IN	      I-NP	         O	              -	      I-A2	      I-A2	         O	*
            one	        CD	      I-NP	         O	              -	      I-A2	      I-A2	         O	*)
         person	        NN	      E-NP	         O	              -	      E-A2	      E-A2	         O	*))))))))
              ;	         :	         O	         O	              -	         O	         O	         O	*
          shots	       NNS	      S-NP	         O	              -	         O	         O	      S-A1	(S(NP*)
           were	       VBD	      B-VP	         O	              -	         O	         O	         O	(VP*
          fired	       VBN	      E-VP	         O	          fired	         O	         O	       S-V	(VP*
           both	        DT	      B-PP	         O	              -	         O	         O	      B-A1	(ADVP(ADVP*
         inside	        IN	      E-PP	         O	              -	         O	         O	      I-A1	*
            and	        CC	         O	         O	              -	         O	         O	      I-A1	*
        outside	        IN	      S-PP	         O	              -	         O	         O	      I-A1	*)
             of	        IN	      S-PP	         O	              -	         O	         O	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	         O	         O	      I-A1	(NP*
           home	        NN	      E-NP	         O	              -	         O	         O	      E-A1	*
              .	         .	         O	         O	              -	         O	         O	         O	*
              "	         .	         O	         O	              -	         O	         O	         O	*))))))))

