     2017-01-23	        CD	      S-NP	         O	              -	(S1(NP*))

           Teen	       NNP	      S-NP	         O	              -	      S-A1	(S1(S(NP*)
           shot	       VBD	      S-VP	         O	           shot	       S-V	(VP*
           dead	        JJ	    S-ADJP	         O	              -	      S-A3	(ADJP*)
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP(PP*
          drive	        NN	      S-NP	         O	              -	  E-AM-LOC	(NP*))
              -	         :	         O	         O	              -	         O	*
             by	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
           near	        IN	      S-PP	         O	              -	  I-AM-LOC	(PP*
        Hayward	       NNP	      S-NP	     S-PER	              -	  E-AM-LOC	(NP*)))))))

           Teen	       NNP	      S-NP	         O	              -	      S-A1	(S1(S(S(NP*)
           shot	       VBD	      S-VP	         O	           shot	       S-V	(VP*
           dead	        JJ	    S-ADJP	         O	              -	      S-A3	(ADJP*)
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP(PP*
          drive	        NN	      S-NP	         O	              -	  E-AM-LOC	(NP*))
              -	         :	         O	         O	              -	         O	*
             by	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
           near	        IN	      S-PP	         O	              -	  I-AM-LOC	(PP*
        Hayward	       NNP	      B-NP	     B-LOC	              -	  I-AM-LOC	(NP*
        NEWLINE	       NNP	      I-NP	     E-LOC	              -	  I-AM-LOC	*
          Photo	       NNP	      E-NP	         O	              -	  I-AM-LOC	*))))))
              :	         :	         O	         O	              -	  I-AM-LOC	*
           Evan	       NNP	      B-NP	     B-PER	              -	  I-AM-LOC	(NP*
     Sernoffsky	       NNP	      E-NP	     E-PER	              -	  E-AM-LOC	*)))

              /	         :	         O	         O	              -	         O	         O	(S1(S(S*
              -	         :	      I-NP	         O	              -	      I-A1	      I-A1	*
            old	        JJ	      I-NP	         O	              -	      I-A1	      I-A1	*)
            boy	        NN	      E-NP	         O	              -	      E-A1	      I-A1	*)
            was	       VBD	      B-VP	         O	              -	         O	      I-A1	(VP*
           shot	       VBN	      E-VP	         O	           shot	       S-V	      I-A1	(VP*
             to	        TO	      S-PP	         O	              -	      B-A4	      I-A1	(PP*
          death	        NN	      S-NP	         O	              -	      E-A4	      I-A1	(NP*))
         Monday	       NNP	      B-NP	         O	              -	  B-AM-TMP	      I-A1	(NP*
          night	        NN	      E-NP	         O	              -	  E-AM-TMP	      I-A1	*)
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	      I-A1	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-LOC	      I-A1	(NP*
          drive	        NN	      E-NP	         O	              -	  E-AM-LOC	      I-A1	*))
              -	         :	         O	         O	              -	         O	      I-A1	*
             by	        IN	      S-PP	         O	              -	      B-A2	      I-A1	(PP*
       shooting	       VBG	      S-VP	         O	              -	      E-A2	      I-A1	(S(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	      I-A1	(PP*
             an	        DT	      B-NP	         O	              -	  I-AM-LOC	      I-A1	(NP(NP*
 unincorporated	        JJ	      I-NP	         O	              -	  I-AM-LOC	      I-A1	*
        stretch	        NN	      E-NP	         O	              -	  I-AM-LOC	      I-A1	*)
             of	        IN	      S-PP	         O	              -	  I-AM-LOC	      I-A1	(PP*
        Alameda	       NNP	      B-NP	     B-LOC	              -	  I-AM-LOC	      I-A1	(NP*
         County	       NNP	      E-NP	     E-LOC	              -	  I-AM-LOC	      I-A1	*))
           near	        IN	      S-PP	         O	              -	  I-AM-LOC	      I-A1	(PP*
        Hayward	       NNP	      S-NP	     S-LOC	              -	  E-AM-LOC	      E-A1	(NP*))))))))))
              ,	         ,	         O	         O	              -	         O	         O	*
         police	        NN	      S-NP	         O	              -	         O	      S-A0	(NP*)
           said	       VBD	      S-VP	         O	           said	         O	       S-V	(VP*))
              .	         .	         O	         O	              -	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	       S-V	(NP*)))

             It	       PRP	      S-NP	         O	              -	         O	      B-A1	(S1(SINV(S(NP*)
            was	       VBD	      S-VP	         O	              -	         O	      I-A1	(VP*
            the	        DT	      B-NP	         O	              -	         O	      I-A1	(NP(NP*
          first	        JJ	      I-NP	         O	              -	         O	      I-A1	*
       homicide	        NN	      E-NP	         O	              -	         O	      I-A1	*)
             of	        IN	      S-PP	         O	              -	         O	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	         O	      I-A1	(NP*
           year	        NN	      E-NP	         O	              -	         O	      I-A1	*)))
            for	        IN	      S-PP	         O	              -	         O	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	      B-A0	      I-A1	(NP(NP*
        Alameda	       NNP	      I-NP	     B-ORG	              -	      I-A0	      I-A1	*
         County	       NNP	      I-NP	     I-ORG	              -	      I-A0	      I-A1	*
        Sheriff	       NNP	      I-NP	     I-ORG	              -	      I-A0	      I-A1	*
           ’s	        NN	      I-NP	     I-ORG	              -	      I-A0	      I-A1	*
     Department	       NNP	      E-NP	     E-ORG	              -	      E-A0	      I-A1	*)
              ,	         ,	         O	         O	              -	         O	      I-A1	*
          which	       WDT	      S-NP	         O	              -	    S-R-A0	      I-A1	(SBAR(WHNP*)
   investigates	       VBZ	      S-VP	         O	   investigates	       S-V	      I-A1	(S(VP*
         crimes	       NNS	      S-NP	         O	              -	      B-A1	      I-A1	(NP*)
        outside	        IN	      S-PP	         O	              -	      I-A1	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	      I-A1	(NP(NP*
   jurisdiction	        NN	      E-NP	         O	              -	      I-A1	      I-A1	*)
             of	        IN	      S-PP	         O	              -	      I-A1	      I-A1	(PP*
          towns	       NNS	      B-NP	         O	              -	      I-A1	      I-A1	(NP*
            and	        CC	      I-NP	         O	              -	      I-A1	      I-A1	*
         cities	       NNS	      E-NP	         O	              -	      I-A1	      I-A1	*))
             in	        IN	      S-PP	         O	              -	      I-A1	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	      I-A1	(NP*
         county	        NN	      E-NP	         O	              -	      E-A1	      E-A1	*)))))))))))
              ,	         ,	         O	         O	              -	         O	         O	*
           said	       VBD	      S-VP	         O	           said	         O	       S-V	(VP*)
            Sgt	       NNP	      S-NP	         O	              -	         O	      S-A1	(NP*)
              .	         .	         O	         O	              -	         O	         O	*))

            Ray	       NNP	      B-NP	     B-PER	              -	(S1(NP(NP*
          Kelly	       NNP	      E-NP	     E-PER	              -	*)
              ,	         ,	         O	         O	              -	*
              a	        DT	      B-NP	         O	              -	(NP(NP*
      spokesman	        NN	      E-NP	         O	              -	*)
            for	        IN	      S-PP	         O	              -	(PP*
            the	        DT	      B-NP	         O	              -	(NP*
     department	        NN	      E-NP	         O	              -	*)))
              .	         .	         O	         O	              -	*
        NEWLINE	       NNP	         O	     S-ORG	              -	(NP*)))

            The	        DT	      B-NP	         O	              -	      B-A1	      B-A1	(S1(S(S(S(NP*
       shooting	        NN	      E-NP	         O	              -	      E-A1	      I-A1	*)
            was	       VBD	      B-VP	         O	              -	         O	      I-A1	(VP*
       reported	       VBN	      E-VP	         O	       reported	       S-V	      I-A1	(VP*
           just	        RB	    S-ADVP	         O	              -	  B-AM-TMP	      I-A1	(PP(ADVP*)
          after	        IN	      S-PP	         O	              -	  I-AM-TMP	      I-A1	*
              7	        CD	      B-NP	         O	              -	  I-AM-TMP	      I-A1	(NP*
           p.m.	        NN	      E-NP	         O	              -	  I-AM-TMP	      I-A1	*))
             at	        IN	      S-PP	         O	              -	  I-AM-TMP	      I-A1	(PP*
      Princeton	       NNP	      B-NP	     B-LOC	              -	  I-AM-TMP	      I-A1	(NP(NP*
         Street	       NNP	      E-NP	     E-LOC	              -	  I-AM-TMP	      I-A1	*)
            and	        CC	         O	         O	              -	  I-AM-TMP	      I-A1	*
        Smalley	       NNP	      B-NP	     B-LOC	              -	  I-AM-TMP	      I-A1	(NP*
         Avenue	       NNP	      E-NP	     E-LOC	              -	  I-AM-TMP	      I-A1	*)))
              ,	         ,	         O	         O	              -	  I-AM-TMP	      I-A1	*
           east	        JJ	    S-ADVP	         O	              -	  I-AM-TMP	      I-A1	(ADVP*
             of	        IN	      S-PP	         O	              -	  I-AM-TMP	      I-A1	(PP*
     Interstate	       NNP	      B-NP	         O	              -	  I-AM-TMP	      I-A1	(NP*
            880	        CD	      E-NP	         O	              -	  E-AM-TMP	      E-A1	*))))))
              ,	         ,	         O	         O	              -	         O	         O	*
          Kelly	       NNP	      S-NP	     S-PER	              -	         O	      S-A0	(NP*)
           said	       VBD	      S-VP	         O	           said	         O	       S-V	(VP*))
              .	         .	         O	         O	              -	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	         O	(NP*)))

       Officers	       NNS	      B-NP	         O	              -	      B-A0	         O	      B-A1	(S1(S(S(S(S(NP(UCP*
            and	        CC	      I-NP	         O	              -	      I-A0	         O	      I-A1	*
        medical	        JJ	      I-NP	         O	              -	      I-A0	         O	      I-A1	*)
      personnel	       NNS	      E-NP	         O	              -	      E-A0	         O	      I-A1	*)
      converged	       VBD	      S-VP	         O	      converged	       S-V	         O	      I-A1	(VP*
             at	        IN	      S-PP	         O	              -	  B-AM-LOC	         O	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	         O	      I-A1	(NP*
          scene	        NN	      E-NP	         O	              -	  E-AM-LOC	         O	      I-A1	*))))
              ,	         ,	         O	         O	              -	         O	         O	      I-A1	*
            but	        CC	         O	         O	              -	         O	         O	      I-A1	*
            the	        DT	      B-NP	         O	              -	         O	      B-A1	      I-A1	(S(NP*
         victim	        NN	      E-NP	         O	              -	         O	      E-A1	      I-A1	*)
            was	       VBD	      B-VP	         O	              -	         O	         O	      I-A1	(VP*
     pronounced	       VBN	      E-VP	         O	     pronounced	         O	       S-V	      I-A1	(VP*
           dead	        JJ	    S-ADJP	         O	              -	         O	      S-A2	      I-A1	(S(ADJP*)
             at	        IN	      S-PP	         O	              -	         O	  B-AM-LOC	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	         O	  I-AM-LOC	      I-A1	(NP*
          scene	        NN	      E-NP	         O	              -	         O	  E-AM-LOC	      E-A1	*)))))))
              ,	         ,	         O	         O	              -	         O	         O	         O	*
          Kelly	       NNP	      S-NP	     S-PER	              -	         O	         O	      S-A0	(NP*)
           said	       VBD	      S-VP	         O	           said	         O	         O	       S-V	(VP*))
              .	         .	         O	         O	              -	         O	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	         O	       S-V	(NP*)))

             No	        DT	      B-NP	         O	              -	      B-A1	(S1(S(S(NP*
        arrests	       NNS	      E-NP	         O	              -	      E-A1	*)
           were	       VBD	      B-VP	         O	              -	         O	(VP*
           made	       VBN	      E-VP	         O	           made	       S-V	(VP*)))
              ,	         ,	         O	         O	              -	         O	*
            and	        CC	         O	         O	              -	         O	*
        further	        JJ	      B-NP	         O	              -	         O	(FRAG(NP(NP*
    information	        NN	      I-NP	         O	              -	         O	*)
       wasn’t	        NN	      E-NP	         O	              -	         O	*
    immediately	        RB	    B-ADJP	         O	              -	         O	(ADJP(ADJP*
      available	        JJ	    E-ADJP	         O	              -	         O	*)
             as	        IN	      S-PP	         O	              -	         O	(SBAR*
            the	        DT	      B-NP	         O	              -	         O	(S(NP*
  investigation	        NN	      E-NP	         O	              -	         O	*)
            was	       VBD	      S-VP	         O	              -	         O	(VP*
        ongoing	        JJ	    S-ADJP	         O	              -	         O	(NP*
              .	         .	         O	         O	              -	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	*)))))))))

        Michael	       NNP	      B-NP	     B-PER	              -	(S1(S(NP*
         Bodley	       NNP	      E-NP	     E-PER	              -	*)
             is	       VBZ	      S-VP	         O	              -	(VP*
              a	        DT	      B-NP	         O	              -	(NP*
            San	       NNP	      I-NP	     B-ORG	              -	*
      Francisco	       NNP	      I-NP	     I-ORG	              -	*
      Chronicle	       NNP	      I-NP	     E-ORG	              -	*
          staff	        NN	      I-NP	         O	              -	*
         writer	        NN	      E-NP	         O	              -	*))
              .	         .	         O	         O	              -	*))

          Email	        NN	      S-NP	         O	              -	(S1(NP(NP*)
              :	         :	         O	         O	              -	*
mbodley@sfchronicle.com	        NN	      S-NP	         O	              -	(NP*)
              .	         .	         O	         O	              -	*))

        Twitter	       NNP	      S-NP	     S-PER	              -	(S1(NP*))

              :	         :	         O	         O	              -	(S1(SINV*
 michael_bodley	        NN	      S-NP	         O	              -	(NP*)))

