     2017-04-02	        CD	      S-NP	         O	              -	(S1(NP*))

     Accidental	        JJ	      B-NP	         O	              -	      B-A0	(S1(S(NP(NP*
       shooting	        NN	      E-NP	         O	              -	      I-A0	*)
             in	        IN	      S-PP	         O	              -	      I-A0	(PP*
         Cabela	       NNP	      B-NP	    S-MISC	              -	      I-A0	(NP*
           ’s	        NN	      I-NP	         O	              -	      I-A0	*
        parking	        NN	      I-NP	         O	              -	      I-A0	*
            lot	        NN	      E-NP	         O	              -	      E-A0	*)))
          sends	       VBZ	      S-VP	         O	          sends	       S-V	(VP*
            one	        CD	      B-NP	         O	              -	      B-A1	(NP(NP*
            man	        NN	      E-NP	         O	              -	      E-A1	*)
             to	        TO	      S-PP	         O	              -	      B-A2	(PP*
            the	        DT	      B-NP	         O	              -	      I-A2	(NP*
       hospital	        NN	      E-NP	         O	              -	      E-A2	*))))))

         KANSAS	       NNP	      B-NP	     B-LOC	              -	(S1(NP(NP*
           CITY	       NNP	      E-NP	     E-LOC	              -	*)
              ,	         ,	         O	         O	              -	*
           Kan.	       NNP	      B-NP	     S-LOC	              -	(NP*
            —	        NN	      E-NP	         O	              -	*)))

             An	        DT	      B-NP	         O	              -	      B-A0	(S1(S(NP*
     accidental	        JJ	      I-NP	         O	              -	      I-A0	*
       shooting	        NN	      E-NP	         O	              -	      E-A0	*)
           sent	       VBN	      S-VP	         O	           sent	       S-V	(VP*
            one	        CD	      B-NP	         O	              -	      B-A1	(NP*
         person	        NN	      E-NP	         O	              -	      E-A1	*)
             to	        TO	      S-PP	         O	              -	      B-A2	(PP*
            the	        DT	      B-NP	         O	              -	      I-A2	(NP*
       hospital	        NN	      E-NP	         O	              -	      E-A2	*))
           with	        IN	      S-PP	         O	              -	  B-AM-MNR	(PP*
          minor	        JJ	      B-NP	         O	              -	  I-AM-MNR	(NP(NP*
       injuries	       NNS	      E-NP	         O	              -	  E-AM-MNR	*)
             on	        IN	      S-PP	         O	              -	  B-AM-TMP	(PP*
         Sunday	       NNP	      B-NP	         O	              -	  E-AM-TMP	(NP*
              .	         .	      I-NP	         O	              -	         O	*
        NEWLINE	       NNP	      E-NP	     S-ORG	              -	      S-A1	*)))))))

         Police	       NNS	      S-NP	         O	              -	      S-A0	         O	         O	         O	         O	         O	         O	(S1(S(NP*)
           that	        DT	      B-NP	         O	              -	      I-A1	         O	      I-A1	      B-A1	         O	         O	         O	(S(NP*
       shooting	        NN	      E-NP	         O	              -	      I-A1	         O	      I-A1	      E-A1	         O	         O	         O	*)
       happened	       VBD	      S-VP	         O	       happened	      I-A1	         O	      I-A1	       S-V	         O	         O	         O	(VP*)))
              ,	         ,	         O	         O	              -	      I-A1	         O	      I-A1	         O	         O	         O	         O	*
             or	        CC	         O	         O	              -	      I-A1	         O	      I-A1	         O	         O	         O	         O	*
      precisely	        RB	    S-ADVP	         O	              -	      I-A1	         O	      I-A1	         O	         O	         O	         O	(ADVP*)
            how	       WRB	    S-ADVP	         O	              -	      I-A1	         O	      I-A1	         O	S-R-AM-MNR	         O	         O	(SBAR(WHADVP*)
             he	       PRP	      S-NP	         O	              -	      I-A1	         O	      I-A1	         O	      S-A1	         O	         O	(S(NP*)
            was	       VBD	      B-VP	         O	              -	      I-A1	         O	      I-A1	         O	         O	         O	         O	(VP*
        injured	       VBN	      E-VP	         O	        injured	      E-A1	         O	      E-A1	         O	       S-V	         O	         O	(VP*))))
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	         O	         O	         O	*
            but	        CC	         O	         O	              -	         O	         O	         O	         O	         O	         O	         O	*
           said	       VBD	      S-VP	         O	           said	         O	         O	         O	         O	         O	       S-V	         O	(VP*
            the	        DT	      B-NP	         O	              -	         O	         O	         O	         O	         O	      B-A1	      B-A1	(SBAR(S(NP*
            man	        NN	      E-NP	         O	              -	         O	         O	         O	         O	         O	      I-A1	      E-A1	*)
             is	       VBZ	      B-VP	         O	              -	         O	         O	         O	         O	         O	      I-A1	         O	(VP*
       expected	       VBN	      I-VP	         O	       expected	         O	         O	         O	         O	         O	      I-A1	       S-V	(VP*
             to	        TO	      I-VP	         O	              -	         O	         O	         O	         O	         O	      I-A1	    B-C-A1	(S(VP*
             be	        VB	      E-VP	         O	              -	         O	         O	         O	         O	         O	      I-A1	    I-C-A1	(VP*
           okay	        JJ	    S-ADJP	         O	              -	         O	         O	         O	         O	         O	      E-A1	    E-C-A1	(ADJP*)))))))))
              .	         .	         O	         O	              -	         O	         O	         O	         O	         O	         O	         O	*))

