     2017-01-04	        CD	      S-NP	         O	              -	(S1(NP*))

         Update	        NN	      S-NP	         O	              -	         O	         O	(S1(X(NP*)
              :	         :	         O	         O	              -	         O	         O	*
              4	        CD	      B-NP	         O	              -	      B-A1	         O	(S(NP(NP*
         people	       NNS	      E-NP	         O	              -	      E-A1	         O	*)
           shot	       VBN	      S-VP	         O	           shot	       S-V	         O	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	         O	(PP*
          Allen	       NNP	      S-NP	     S-PER	              -	  E-AM-LOC	         O	(NP*))
          after	        IN	      S-PP	         O	              -	  B-AM-TMP	         O	(PP*
       argument	        NN	      S-NP	         O	              -	  I-AM-TMP	         O	(NP(NP*)
             on	        IN	      S-PP	         O	              -	  I-AM-TMP	         O	(PP*
       Facebook	       NNP	      S-NP	         O	              -	  E-AM-TMP	      S-A1	(NP*))))))
      escalates	       VBZ	      S-VP	         O	      escalates	         O	         O	(VP*))))

           2:03	        CD	      B-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	(S1(S(NP*
            how	       WRB	    S-ADVP	         O	              -	         O	S-R-AM-MNR	      B-A1	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	(SBAR(WHADVP*)
           they	       PRP	      S-NP	         O	              -	         O	      S-A0	      I-A1	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	(S(NP*)
           work	       VBP	      S-VP	         O	           work	         O	       S-V	      E-A1	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	(VP*
          Pause	       NNP	      B-NP	         O	              -	         O	      B-A1	      B-A0	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	(NP*
        NEWLINE	       NNP	      I-NP	     S-ORG	              -	         O	      I-A1	      I-A0	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
           1:52	        CD	      I-NP	         O	              -	         O	      I-A1	      I-A0	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
        Houston	       NNP	      I-NP	     S-LOC	              -	         O	      I-A1	      I-A0	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
       barbecue	        NN	      I-NP	         O	              -	         O	      I-A1	      I-A0	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
     restaurant	        NN	      I-NP	         O	              -	         O	      I-A1	      I-A0	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
          owner	        NN	      E-NP	         O	              -	         O	      I-A1	      E-A0	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	*))))
         shoots	       VBZ	      S-VP	         O	         shoots	         O	      E-A1	       S-V	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	(VP*)
              ,	         ,	         O	         O	              -	         O	         O	         O	      E-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
          kills	       VBZ	      S-VP	         O	          kills	         O	         O	         O	       S-V	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
      suspected	        JJ	      B-NP	         O	      suspected	         O	         O	         O	      B-A0	       S-V	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	(NP*
         robber	        NN	      I-NP	         O	              -	         O	         O	         O	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
        NEWLINE	        NN	      I-NP	     S-ORG	              -	         O	         O	         O	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
           0:50	        CD	      I-NP	         O	              -	         O	         O	         O	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
          Grand	       NNP	      I-NP	         O	              -	         O	         O	         O	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
       Champion	       NNP	      I-NP	         O	              -	         O	         O	         O	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
          Steer	       NNP	      I-NP	         O	              -	         O	         O	         O	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
           Sale	       NNP	      E-NP	         O	              -	         O	         O	         O	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
        NEWLINE	       NNP	      B-NP	     S-ORG	              -	         O	         O	         O	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
           1:08	        CD	      I-NP	         O	              -	         O	         O	         O	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
            Man	        NN	      E-NP	         O	              -	         O	         O	         O	      E-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	*)
          opens	       VBZ	      S-VP	         O	          opens	         O	         O	         O	         O	         O	       S-V	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
           fire	        NN	      S-NP	         O	              -	         O	         O	         O	         O	         O	      S-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	(NP*)
             at	        IN	      S-PP	         O	              -	         O	         O	         O	         O	         O	  B-AM-LOC	         O	         O	         O	         O	         O	         O	         O	         O	         O	(PP*
             DC	       NNP	      B-NP	     S-LOC	              -	         O	         O	         O	         O	         O	  I-AM-LOC	         O	         O	         O	         O	         O	         O	         O	         O	         O	(NP*
       pizzeria	        NN	      E-NP	         O	              -	         O	         O	         O	         O	         O	  E-AM-LOC	         O	         O	         O	         O	         O	         O	         O	         O	         O	*))
           over	        IN	      S-PP	         O	              -	         O	         O	         O	         O	         O	      B-A2	         O	         O	         O	         O	         O	         O	         O	         O	         O	(PP*
           fake	        JJ	      B-NP	         O	              -	         O	         O	         O	         O	         O	      I-A2	         O	         O	         O	         O	         O	         O	         O	         O	         O	(NP*
           news	        NN	      I-NP	         O	              -	         O	         O	         O	         O	         O	      I-A2	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
          story	        NN	      I-NP	         O	              -	         O	         O	         O	         O	         O	      I-A2	         O	         O	         O	         O	         O	         O	         O	         O	         O	*))
        NEWLINE	       NNP	      I-NP	     S-ORG	              -	         O	         O	         O	         O	         O	      I-A2	         O	         O	         O	         O	         O	         O	         O	         O	         O	(S(VP*
          11:30	        CD	      I-NP	         O	              -	         O	         O	         O	         O	         O	      I-A2	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
            Two	        CD	      I-NP	         O	              -	         O	         O	         O	         O	         O	      I-A2	         O	         O	         O	         O	         O	         O	         O	         O	         O	(NP(NP*
          views	       NNS	      E-NP	         O	              -	         O	         O	         O	         O	         O	      I-A2	         O	         O	         O	         O	         O	         O	         O	         O	         O	*)
             of	        IN	      S-PP	         O	              -	         O	         O	         O	         O	         O	      I-A2	         O	         O	         O	         O	         O	         O	         O	         O	         O	(PP*
     Jacqueline	       NNP	      B-NP	     B-PER	              -	         O	         O	         O	         O	         O	      I-A2	         O	         O	         O	         O	         O	         O	         O	         O	         O	(NP(NP*
          Craig	       NNP	      E-NP	     E-PER	              -	         O	         O	         O	         O	         O	      I-A2	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
             's	       POS	      B-NP	         O	              -	         O	         O	         O	         O	         O	      I-A2	         O	         O	         O	         O	         O	         O	         O	         O	         O	*)
         arrest	        NN	      E-NP	         O	              -	         O	         O	         O	         O	         O	      E-A2	         O	         O	         O	         O	         O	         O	         O	         O	         O	*))
              :	         :	         O	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
            See	        VB	      S-VP	         O	            See	         O	         O	         O	         O	         O	         O	       S-V	         O	         O	         O	         O	         O	         O	         O	         O	(NX(S(VP*
            the	        DT	      B-NP	         O	              -	         O	         O	         O	         O	         O	         O	      B-A1	         O	         O	         O	         O	         O	         O	         O	         O	(NP*
        bodycam	        NN	      I-NP	         O	              -	         O	         O	         O	         O	         O	         O	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	*
            and	        CC	      I-NP	         O	              -	         O	         O	         O	         O	         O	         O	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	*
           cell	        NN	      I-NP	         O	              -	         O	         O	         O	         O	         O	         O	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	*
          phone	        NN	      I-NP	         O	              -	         O	         O	         O	         O	         O	         O	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	*
         videos	       NNS	      I-NP	         O	              -	         O	         O	         O	         O	         O	         O	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	*
           side	        NN	      E-NP	         O	              -	         O	         O	         O	         O	         O	         O	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	*)))
              -	         :	         O	         O	              -	         O	         O	         O	         O	         O	         O	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	*
             by	        IN	      S-PP	         O	              -	         O	         O	         O	         O	         O	         O	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	(PP*
              -	         :	         O	         O	              -	         O	         O	         O	         O	         O	         O	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	*
           side	        NN	      B-NP	         O	              -	         O	         O	         O	         O	         O	         O	      I-A1	         O	      B-A1	      B-A0	         O	         O	         O	         O	         O	(NP*
        NEWLINE	        NN	      E-NP	     S-ORG	              -	         O	         O	         O	         O	         O	         O	      I-A1	         O	      I-A1	      I-A0	         O	         O	         O	         O	         O	*
           2:18	        CD	      B-NP	         O	              -	         O	         O	         O	         O	         O	         O	      I-A1	         O	      I-A1	      I-A0	         O	         O	         O	         O	         O	*
        Bucking	       VBG	      I-NP	         O	        Bucking	         O	         O	         O	         O	         O	         O	      I-A1	       S-V	      I-A1	      I-A0	         O	         O	         O	         O	         O	*
          horse	        NN	      E-NP	         O	              -	         O	         O	         O	         O	         O	         O	      I-A1	      S-A1	      E-A1	      E-A0	         O	         O	         O	         O	         O	*))))))
           dies	       VBZ	      S-VP	         O	           dies	         O	         O	         O	         O	         O	         O	      I-A1	         O	       S-V	         O	         O	         O	         O	         O	         O	(VP*
          after	        IN	      S-PP	         O	              -	         O	         O	         O	         O	         O	         O	      I-A1	         O	  B-AM-TMP	         O	         O	         O	         O	         O	         O	(PP*
        running	       VBG	      S-VP	         O	        running	         O	         O	         O	         O	         O	         O	      I-A1	         O	  I-AM-TMP	       S-V	         O	         O	         O	         O	         O	(S(VP*
           into	        IN	      S-PP	         O	              -	         O	         O	         O	         O	         O	         O	      I-A1	         O	  I-AM-TMP	  B-AM-DIR	         O	         O	         O	         O	         O	(PP*
           wall	        NN	      S-NP	         O	              -	         O	         O	         O	         O	         O	         O	      I-A1	         O	  I-AM-TMP	  I-AM-DIR	         O	         O	         O	         O	         O	(NP(NP*)
             at	        IN	      S-PP	         O	              -	         O	         O	         O	         O	         O	         O	      I-A1	         O	  I-AM-TMP	  I-AM-DIR	         O	         O	         O	         O	         O	(PP*
           Fort	       NNP	      B-NP	     B-LOC	              -	         O	         O	         O	         O	         O	         O	      I-A1	         O	  I-AM-TMP	  I-AM-DIR	         O	         O	         O	         O	         O	(NP*
          Worth	       NNP	      I-NP	     E-LOC	              -	         O	         O	         O	         O	         O	         O	      I-A1	         O	  I-AM-TMP	  I-AM-DIR	         O	         O	         O	         O	         O	*))))))))
          rodeo	        NN	      I-NP	         O	              -	         O	         O	         O	         O	         O	         O	      I-A1	         O	  I-AM-TMP	  I-AM-DIR	         O	         O	         O	         O	         O	(NP*
        NEWLINE	       NNP	      E-NP	     S-ORG	              -	         O	         O	         O	         O	         O	         O	      I-A1	         O	  I-AM-TMP	  I-AM-DIR	         O	         O	         O	         O	         O	*)
           1:05	        CD	      S-VP	         O	              -	         O	         O	         O	         O	         O	         O	      I-A1	         O	  I-AM-TMP	  I-AM-DIR	         O	         O	         O	         O	         O	(VP*
            The	       NNP	      B-NP	         O	              -	         O	         O	         O	         O	         O	         O	      I-A1	         O	  I-AM-TMP	  I-AM-DIR	         O	         O	         O	         O	         O	(NP*
         Dallas	       NNP	      I-NP	    B-MISC	              -	         O	         O	         O	         O	         O	         O	      I-A1	         O	  I-AM-TMP	  I-AM-DIR	         O	         O	         O	         O	         O	*
        Cowboys	      NNPS	      I-NP	    E-MISC	              -	         O	         O	         O	         O	         O	         O	      I-A1	         O	  I-AM-TMP	  I-AM-DIR	         O	         O	         O	         O	         O	*
         season	        NN	      E-NP	         O	              -	         O	         O	         O	         O	         O	         O	      I-A1	         O	  I-AM-TMP	  E-AM-DIR	         O	         O	         O	         O	         O	*)
             in	        IN	      S-PP	         O	              -	         O	         O	         O	         O	         O	         O	      I-A1	         O	  I-AM-TMP	  B-AM-TMP	         O	         O	         O	         O	         O	(PP*
             60	        CD	      B-NP	         O	              -	         O	         O	         O	         O	         O	         O	      I-A1	         O	  I-AM-TMP	  I-AM-TMP	         O	         O	         O	         O	         O	(NP*
        seconds	       NNS	      E-NP	         O	              -	         O	         O	         O	         O	         O	         O	      E-A1	         O	  E-AM-TMP	  E-AM-TMP	         O	         O	         O	         O	         O	*)))
              :	         :	         O	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
          Watch	        VB	      S-VP	         O	          Watch	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	       S-V	         O	         O	         O	         O	(NP(NP*
        NEWLINE	        JJ	      B-NP	     S-ORG	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      B-A1	      B-A0	         O	         O	         O	*
           2:04	        CD	      I-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A0	         O	         O	         O	*
          Berea	       NNP	      I-NP	     S-ORG	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A0	         O	         O	         O	*
         father	        NN	      E-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      E-A1	      E-A0	         O	         O	         O	*)
      describes	       VBZ	      S-VP	         O	      describes	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	       S-V	         O	         O	         O	(SBAR(S(VP*
        beating	       VBG	      S-VP	         O	        beating	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      B-A1	       S-V	         O	         O	(S(VP*
            his	      PRP$	      B-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	      B-A1	         O	         O	(NP*
       daughter	        NN	      E-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	         O	*)
           with	        IN	      S-PP	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	         O	(PP*
        leather	        NN	      B-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	         O	(NP(NP*
          belts	       NNS	      E-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	         O	*)
        NEWLINE	        JJ	      B-NP	     S-ORG	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	         O	(ADJP*
           0:33	        CD	      I-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	         O	*)
         Social	       NNP	      I-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A1	      B-A0	         O	*
         worker	        NN	      E-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	      E-A1	      E-A0	         O	*)))))
           says	       VBZ	      S-VP	         O	           says	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	         O	       S-V	         O	*
             he	       PRP	      S-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	         O	      B-A1	      S-A0	(NP*)
            did	       VBD	      B-VP	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	         O	      I-A1	         O	(VP*
            n't	        RB	      I-VP	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	         O	      I-A1	  S-AM-NEG	*
            see	        VB	      E-VP	         O	            see	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	         O	      I-A1	       S-V	(VP*
          abuse	        NN	      S-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	         O	      I-A1	      B-A1	(NP(NP*)
             in	        IN	      S-PP	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	         O	      I-A1	      I-A1	(PP*
          Berea	       NNP	      B-NP	     S-ORG	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	         O	      I-A1	      I-A1	(NP*
        torture	        NN	      I-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	         O	      I-A1	      I-A1	*
           case	        NN	      E-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      E-A1	         O	      E-A1	      E-A1	*))))))))))

