     2017-04-06	        CD	      S-NP	         O	              -	(S1(NP*))

       Brooklyn	       NNP	      B-NP	     S-LOC	              -	      B-A1	(S1(NP(NP(NP*
           teen	        NN	      E-NP	         O	              -	      E-A1	*)
         cuffed	       VBN	      S-VP	         O	         cuffed	       S-V	(ADJP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
        15-year	        JJ	      B-NP	         O	              -	  I-AM-LOC	(ADJP*))))
              -	         :	      I-NP	         O	              -	  I-AM-LOC	*
            old	        JJ	      I-NP	         O	              -	  I-AM-LOC	(NP(NP*
             's	       POS	      E-NP	         O	              -	  I-AM-LOC	*)
          fatal	        JJ	      B-NP	         O	              -	  I-AM-LOC	*
       shooting	        NN	      E-NP	         O	              -	  E-AM-LOC	*)))

         Police	       NNP	      S-NP	         O	              -	      S-A0	      B-A1	(S1(S(S(S(NP*)
       arrested	       VBD	      S-VP	         O	       arrested	       S-V	      I-A1	(VP*
              a	        DT	      B-NP	         O	              -	      B-A1	      I-A1	(NP*
        teenage	        JJ	      I-NP	         O	              -	      I-A1	      I-A1	*
         gunman	        NN	      E-NP	         O	              -	      E-A1	      I-A1	*)
      Wednesday	       NNP	      B-NP	         O	              -	  B-AM-TMP	      I-A1	(NP*
          night	        NN	      E-NP	         O	              -	  E-AM-TMP	      I-A1	*)
            for	        IN	      S-PP	         O	              -	      B-A1	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	      I-A1	(NP(NP*
          fatal	        JJ	      I-NP	         O	              -	      I-A1	      I-A1	*
       shooting	        NN	      E-NP	         O	              -	      I-A1	      I-A1	*)
             of	        IN	      S-PP	         O	              -	      I-A1	      I-A1	(PP*
              a	        DT	      B-NP	         O	              -	      I-A1	      I-A1	(NP(NP*
        15-year	        JJ	      I-NP	         O	              -	      I-A1	      I-A1	*
              -	         :	      I-NP	         O	              -	      I-A1	      I-A1	*
            old	        JJ	      I-NP	         O	              -	      I-A1	      I-A1	*
            boy	        NN	      E-NP	         O	              -	      I-A1	      I-A1	*)
             in	        IN	      S-PP	         O	              -	      I-A1	      I-A1	(PP*
       Brooklyn	       NNP	      S-NP	     S-LOC	              -	      E-A1	      E-A1	(NP*))))))))
              ,	         ,	         O	         O	              -	         O	         O	*
           cops	       NNS	      S-NP	         O	              -	         O	      S-A0	(NP*)
           said	       VBD	      S-VP	         O	           said	         O	       S-V	(VP*))
              .	         .	         O	         O	              -	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	       S-V	(NP*)))

           Cops	       NNS	      S-NP	         O	              -	      S-A0	      S-A0	      B-A1	(S1(S(S(NP(NP(NP*)
         police	       NNS	      S-NP	         O	              -	         O	         O	      S-A0	(NP*)
           said	       VBD	      S-VP	         O	           said	         O	         O	       S-V	(VP*))
              .	         .	         O	         O	              -	         O	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	         O	       S-V	(NP*)))

          Rohan	       NNP	      S-NP	     S-PER	              -	      B-A1	         O	         O	(S1(S(S(NP(NP*)
            and	        CC	         O	         O	              -	      I-A1	         O	         O	*
            his	      PRP$	      B-NP	         O	              -	      I-A1	         O	         O	(NP*
        friends	       NNS	      E-NP	         O	              -	      E-A1	         O	         O	*))
           were	       VBD	      B-VP	         O	              -	         O	         O	         O	(VP*
       standing	       VBG	      E-VP	         O	       standing	       S-V	         O	         O	(VP*
             on	        IN	      S-PP	         O	              -	      B-A2	         O	         O	(PP*
            the	        DT	      B-NP	         O	              -	      I-A2	         O	         O	(NP*
         street	        NN	      E-NP	         O	              -	      E-A2	         O	         O	*))
           when	       WRB	    S-ADVP	         O	              -	  B-AM-TMP	S-R-AM-TMP	         O	(SBAR(WHADVP*)
          Zidon	       NNP	      S-NP	     S-PER	              -	  I-AM-TMP	      S-A1	      S-A0	(S(NP*)
         jumped	       VBD	      S-VP	         O	         jumped	  I-AM-TMP	       S-V	         O	(VP(VP*
            out	        IN	      S-PP	         O	              -	  I-AM-TMP	  B-AM-DIR	         O	(PP*
             of	        IN	      S-PP	         O	              -	  I-AM-TMP	  I-AM-DIR	         O	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-TMP	  I-AM-DIR	         O	(NP*
           gold	        NN	      I-NP	         O	              -	  I-AM-TMP	  I-AM-DIR	         O	*
          Honda	       NNP	      I-NP	     B-ORG	              -	  I-AM-TMP	  I-AM-DIR	         O	*
         Accord	       NNP	      E-NP	     E-ORG	              -	  I-AM-TMP	  E-AM-DIR	         O	*))))
            and	        CC	         O	         O	              -	  I-AM-TMP	         O	         O	*
         opened	       VBD	      S-VP	         O	         opened	  I-AM-TMP	         O	       S-V	(VP*
           fire	        NN	      S-NP	         O	              -	  I-AM-TMP	         O	      S-A1	(NP*)
           with	        IN	      S-PP	         O	              -	  I-AM-TMP	         O	  B-AM-MNR	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-TMP	         O	  I-AM-MNR	(NP*
   .380-caliber	       JJR	      I-NP	         O	              -	  I-AM-TMP	         O	  I-AM-MNR	*
         pistol	        NN	      E-NP	         O	              -	  E-AM-TMP	         O	  E-AM-MNR	*)))))))))
              ,	         ,	         O	         O	              -	         O	         O	         O	*
      according	       VBG	      S-PP	         O	              -	         O	         O	         O	(PP*
             to	        TO	      S-PP	         O	              -	         O	         O	         O	(PP*
      officials	       NNS	      S-NP	         O	              -	         O	         O	         O	(NP*)))
              .	         .	         O	         O	              -	         O	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	         O	         O	(NP*)))

          Zidon	       NNP	      S-NP	     S-PER	              -	      S-A0	      S-A0	         O	(S1(S(S(NP*)
          fired	       VBD	      S-VP	         O	          fired	       S-V	         O	         O	(VP*
             at	        IN	      B-NP	         O	              -	      B-A1	         O	         O	(NP(QP*
          least	       JJS	      I-NP	         O	              -	      I-A1	         O	         O	*
           four	        CD	      I-NP	         O	              -	      I-A1	         O	         O	*)
          shots	       NNS	      E-NP	         O	              -	      E-A1	         O	         O	*)
              ,	         ,	         O	         O	              -	         O	         O	         O	*
        hitting	       VBG	      S-VP	         O	        hitting	  B-AM-ADV	       S-V	         O	(S(VP*
          Rohan	       NNP	      S-NP	     S-PER	              -	  I-AM-ADV	      S-A1	         O	(NP*)
             as	        IN	    S-SBAR	         O	              -	  I-AM-ADV	  B-AM-TMP	         O	(PP*
             he	       PRP	      S-NP	         O	              -	  I-AM-ADV	  I-AM-TMP	      B-A0	(NP(NP*)
            and	        CC	         O	         O	              -	  I-AM-ADV	  I-AM-TMP	      I-A0	*
            his	      PRP$	      B-NP	         O	              -	  I-AM-ADV	  I-AM-TMP	      I-A0	(NP*
        friends	       NNS	      E-NP	         O	              -	  I-AM-ADV	  I-AM-TMP	      E-A0	*)))))))
            ran	       VBD	      S-VP	         O	            ran	  I-AM-ADV	  I-AM-TMP	       S-V	(VP*
            for	        IN	      S-PP	         O	              -	  I-AM-ADV	  I-AM-TMP	  B-AM-PNC	(PP*
          cover	        NN	      S-NP	         O	              -	  E-AM-ADV	  E-AM-TMP	  E-AM-PNC	(NP*)))
              .	         .	         O	         O	              -	         O	         O	         O	*))

          Zidon	       NNP	      S-NP	     S-PER	              -	      S-A1	(S1(S(NP*)
           then	        RB	    S-ADVP	         O	              -	  S-AM-TMP	(ADVP*)
           sped	       VBD	      S-VP	         O	           sped	       B-V	(VP*
            off	        RP	     S-PRT	         O	              -	       E-V	(ADVP*)
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	(NP*
          Honda	       NNP	      I-NP	     S-ORG	              -	  I-AM-LOC	*
              .	         .	      I-NP	         O	              -	  I-AM-LOC	*
        NEWLINE	       NNP	      E-NP	     S-ORG	              -	  E-AM-LOC	*)))))

       Brooklyn	       NNP	      B-NP	     S-LOC	              -	      B-A1	         O	         O	(S1(S(NP(NP*
            boy	        NN	      E-NP	         O	              -	      I-A1	         O	         O	*)
              ,	         ,	         O	         O	              -	      I-A1	         O	         O	*
             15	        CD	      S-NP	         O	              -	      I-A1	         O	         O	(NP*)
              ,	         ,	         O	         O	              -	      E-A1	         O	         O	*)
           dies	       VBZ	      S-VP	         O	           dies	       S-V	         O	         O	(VP*
           from	        IN	      S-PP	         O	              -	  B-AM-TMP	         O	         O	(PP*
        gunshot	        NN	      B-NP	         O	              -	  I-AM-TMP	         O	         O	(NP*
          wound	        NN	      E-NP	         O	              -	  I-AM-TMP	         O	         O	*))
             to	        TO	      S-PP	         O	              -	  I-AM-TMP	         O	         O	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-TMP	         O	         O	(NP*
           head	        NN	      I-NP	         O	              -	  I-AM-TMP	         O	         O	*
        NEWLINE	       NNP	      I-NP	     B-PER	              -	  I-AM-TMP	      B-A1	         O	*))
          Rohan	       NNP	      E-NP	     E-PER	              -	  I-AM-TMP	      E-A1	         O	(SBAR(S(NP*)
            was	       VBD	      B-VP	         O	              -	  I-AM-TMP	         O	         O	(VP*
         rushed	       VBN	      E-VP	         O	         rushed	  I-AM-TMP	       S-V	         O	(VP*
             to	        TO	      S-PP	         O	              -	  I-AM-TMP	      B-A2	         O	(PP*
          Kings	       NNP	      B-NP	     B-LOC	              -	  I-AM-TMP	      I-A2	  B-AM-LOC	(NP(NP*
         County	       NNP	      I-NP	     I-LOC	              -	  I-AM-TMP	      I-A2	  I-AM-LOC	*
       Hospital	       NNP	      E-NP	     E-LOC	              -	  I-AM-TMP	      I-A2	  E-AM-LOC	*)
              ,	         ,	         O	         O	              -	  I-AM-TMP	      I-A2	         O	*
          where	       WRB	    S-ADVP	         O	              -	  I-AM-TMP	      I-A2	S-R-AM-LOC	(SBAR(WHADVP*)
             he	       PRP	      S-NP	         O	              -	  I-AM-TMP	      I-A2	      S-A1	(S(NP*)
           died	       VBD	      S-VP	         O	           died	  I-AM-TMP	      I-A2	       S-V	(VP*
          three	        CD	      B-NP	         O	              -	  I-AM-TMP	      I-A2	  B-AM-TMP	(ADVP(NP*
           days	       NNS	      E-NP	         O	              -	  I-AM-TMP	      I-A2	  I-AM-TMP	*)
          later	        RB	    S-ADVP	         O	              -	  E-AM-TMP	      E-A2	  E-AM-TMP	*)))))))))))
              .	         .	         O	         O	              -	         O	         O	         O	*))

              A	        DT	      B-NP	         O	              -	      B-A1	      B-A0	(S1(S(NP(NP*
         second	        JJ	      I-NP	         O	              -	      I-A1	      I-A0	*
         victim	        NN	      E-NP	         O	              -	      I-A1	      I-A0	*)
              ,	         ,	         O	         O	              -	      I-A1	      I-A0	*
             an	        DT	      B-NP	         O	              -	      I-A1	      I-A0	(NP(NP*
        18-year	        JJ	      I-NP	         O	              -	      I-A1	      I-A0	(ADJP*
              -	         :	      I-NP	         O	              -	      I-A1	      I-A0	*
            old	        JJ	      I-NP	         O	              -	      I-A1	      I-A0	*)
         friend	        NN	      E-NP	         O	              -	      I-A1	      I-A0	*)
             of	        IN	      S-PP	         O	              -	      I-A1	      I-A0	(PP*
          Rohan	       NNP	      B-NP	     S-PER	              -	      I-A1	      I-A0	(NP*
           ’s	        NN	      E-NP	         O	              -	      I-A1	      I-A0	*)))
              ,	         ,	         O	         O	              -	      E-A1	      E-A0	*)
            was	       VBD	      B-VP	         O	              -	         O	         O	(VP*
            hit	       VBN	      E-VP	         O	            hit	       S-V	         O	(VP(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-TMP	         O	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-TMP	         O	(NP*
            leg	        NN	      E-NP	         O	              -	  E-AM-TMP	         O	*)))
            and	        CC	         O	         O	              -	         O	         O	*
       survived	       VBD	      S-VP	         O	       survived	         O	       S-V	(VP*)))
              .	         .	         O	         O	              -	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	         O	(NP*)))

          Rohan	       NNP	      B-NP	     B-PER	              -	(S1(NP*
           Levy	       NNP	      E-NP	     E-PER	              -	*
              .	         .	         O	         O	              -	*))

              (	     -LRB-	         O	         O	              -	(S1(NP*
       GoFundMe	       NNP	      S-NP	     S-PER	              -	*
              )	     -RRB-	         O	         O	              -	*
        NEWLINE	       NNP	      S-NP	     S-ORG	              -	*))

           Cops	       NNS	      S-NP	         O	              -	      S-A0	         O	         O	         O	         O	(S1(S(NP*)
           said	       VBD	      S-VP	         O	           said	       S-V	         O	         O	         O	         O	(VP*
           they	       PRP	      S-NP	         O	              -	      B-A1	      S-A0	         O	         O	         O	(SBAR(S(NP*)
        believe	       VBP	      S-VP	         O	        believe	      I-A1	       S-V	         O	         O	         O	(VP*
            the	        DT	      B-NP	         O	              -	      I-A1	      B-A1	      B-A1	         O	         O	(SBAR(S(NP*
       shooting	        NN	      E-NP	         O	              -	      I-A1	      I-A1	      E-A1	         O	         O	*)
            was	       VBD	      S-VP	         O	              -	      I-A1	      I-A1	         O	         O	         O	(VP*
           gang	        NN	    B-ADJP	         O	              -	      I-A1	      I-A1	         O	         O	         O	(ADJP*
              -	         :	    I-ADJP	         O	              -	      I-A1	      I-A1	         O	         O	         O	*
        related	       VBN	    E-ADJP	         O	        related	      I-A1	      E-A1	       S-V	         O	         O	*))))
              ,	         ,	         O	         O	              -	      I-A1	         O	         O	         O	         O	*
         though	        IN	    S-SBAR	         O	              -	      I-A1	  B-AM-ADV	         O	         O	         O	(SBAR*
           they	       PRP	      S-NP	         O	              -	      I-A1	  I-AM-ADV	         O	      S-A0	         O	(S(NP*)
           said	       VBD	      S-VP	         O	           said	      I-A1	  I-AM-ADV	         O	       S-V	         O	(VP*
            the	        DT	      B-NP	         O	              -	      I-A1	  I-AM-ADV	         O	      B-A1	      B-A1	(SBAR(S(NP*
       shooting	        NN	      I-NP	         O	              -	      I-A1	  I-AM-ADV	         O	      I-A1	      I-A1	*
        victims	       NNS	      E-NP	         O	              -	      I-A1	  I-AM-ADV	         O	      I-A1	      E-A1	*)
           were	       VBD	      B-VP	         O	              -	      I-A1	  I-AM-ADV	         O	      I-A1	         O	(VP*
            not	        RB	      I-VP	         O	              -	      I-A1	  I-AM-ADV	         O	      I-A1	  S-AM-NEG	*
     affiliated	       VBN	      E-VP	         O	     affiliated	      I-A1	  I-AM-ADV	         O	      I-A1	       S-V	(VP*
           with	        IN	      S-PP	         O	              -	      I-A1	  I-AM-ADV	         O	      I-A1	      B-A2	(PP*
            any	        DT	      B-NP	         O	              -	      I-A1	  I-AM-ADV	         O	      I-A1	      I-A2	(NP*
          gangs	       NNS	      E-NP	         O	              -	      E-A1	  E-AM-ADV	         O	      E-A1	      E-A2	*)))))))))))))
              .	         .	         O	         O	              -	         O	         O	         O	         O	         O	*))

            One	        CD	      S-NP	         O	              -	      B-A0	      B-A1	(S1(S(S(NP(NP*)
             of	        IN	      S-PP	         O	              -	      I-A0	      I-A1	(PP*
          Rohan	       NNP	      B-NP	     S-PER	              -	      I-A0	      I-A1	(NP*
           ’s	        JJ	      I-NP	         O	              -	      I-A0	      I-A1	*
        friends	       NNS	      E-NP	         O	              -	      E-A0	      E-A1	*)))
            was	       VBD	      B-VP	         O	              -	         O	         O	(VP*
        wearing	       VBG	      E-VP	         O	        wearing	       S-V	         O	(VP*
            red	        JJ	      B-NP	         O	              -	      B-A1	         O	(NP(NP*
          pants	       NNS	      E-NP	         O	              -	      I-A1	         O	*)
            and	        CC	         O	         O	              -	      I-A1	         O	*
              a	        DT	      B-NP	         O	              -	      I-A1	         O	(NP*
          black	        JJ	      I-NP	         O	              -	      I-A1	         O	*
         jacket	        NN	      E-NP	         O	              -	      E-A1	         O	*)))))
              ,	         ,	         O	         O	              -	         O	         O	*
            and	        CC	         O	         O	              -	         O	         O	(S*
            may	        MD	      B-VP	         O	              -	         O	  S-AM-MOD	(VP*
           have	        VB	      I-VP	         O	              -	         O	         O	(VP*
           been	       VBN	      I-VP	         O	              -	         O	         O	(VP*
       mistaken	       VBN	      E-VP	         O	       mistaken	         O	       S-V	(VP*
            for	        IN	      S-PP	         O	              -	         O	      B-A3	(PP*
              a	        DT	      B-NP	         O	              -	         O	      I-A3	(NP*
         Bloods	      NNPS	      I-NP	    S-MISC	              -	         O	      I-A3	*
         member	        NN	      E-NP	         O	              -	         O	      E-A3	*
              .	         .	         O	         O	              -	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	         O	*)))))))))

          Zidon	       NNP	      S-NP	     S-PER	              -	      S-A0	         O	         O	(S1(S(S(NP*)
          lived	       VBD	      S-VP	         O	          lived	       S-V	         O	         O	(VP*
           near	        IN	      S-PP	         O	              -	  B-AM-LOC	         O	         O	(PP*
          Rohan	       NNP	      S-NP	     S-LOC	              -	  E-AM-LOC	         O	         O	(NP*))
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	         O	         O	(PP*
           East	       NNP	      B-NP	     B-LOC	              -	  I-AM-LOC	         O	         O	(NP*
       Flatbush	       NNP	      E-NP	     E-LOC	              -	  E-AM-LOC	         O	         O	*))))
              ,	         ,	         O	         O	              -	         O	         O	         O	*
            but	        CC	         O	         O	              -	         O	         O	         O	*
         police	        NN	      S-NP	         O	              -	         O	      S-A0	         O	(S(NP*)
           said	       VBD	      S-VP	         O	           said	         O	       S-V	         O	(VP*
           they	       PRP	      S-NP	         O	              -	         O	      B-A1	      S-A0	(SBAR(S(NP*)
            did	       VBD	      B-VP	         O	              -	         O	      I-A1	         O	(VP*
            not	        RB	      I-VP	         O	              -	         O	      I-A1	  S-AM-NEG	*
           know	        VB	      E-VP	         O	           know	         O	      I-A1	       S-V	(VP*
           each	        DT	      B-NP	         O	              -	         O	      I-A1	      B-A1	(NP*
          other	        JJ	      I-NP	         O	              -	         O	      E-A1	      E-A1	*
              .	         .	      I-NP	         O	              -	         O	         O	         O	*
        NEWLINE	       NNP	      E-NP	     S-ORG	              -	         O	         O	         O	*)))))))))

            The	        DT	      B-NP	         O	              -	      B-A0	         O	(S1(S(S(NP*
           teen	        JJ	      I-NP	         O	              -	      I-A0	         O	*
         gunman	        NN	      E-NP	         O	              -	      E-A0	         O	*)
            has	       VBZ	      S-VP	         O	            has	       S-V	         O	(VP*
            six	        CD	      B-NP	         O	              -	      B-A1	      B-A2	(NP*
          prior	        JJ	      I-NP	         O	              -	      I-A1	      I-A2	*
        arrests	       NNS	      E-NP	         O	              -	      I-A1	      E-A2	*)
              ,	         ,	         O	         O	              -	      I-A1	         O	*
      including	       VBG	      S-PP	         O	      including	      I-A1	       S-V	(PP*
          three	        CD	      S-NP	         O	              -	      I-A1	      B-A1	(NP(NP*)
           from	        IN	      S-PP	         O	              -	      I-A1	      I-A1	(PP*
           2017	        CD	      S-NP	         O	              -	      I-A1	      E-A1	(NP*))))
              ,	         ,	         O	         O	              -	      I-A1	         O	*
      according	       VBG	      S-PP	         O	              -	      I-A1	         O	(PP*
             to	        TO	      S-PP	         O	              -	      I-A1	         O	(PP*
      officials	       NNS	      S-NP	         O	              -	      I-A1	         O	(NP*)))))
              .	         .	         O	         O	              -	      I-A1	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	      E-A1	         O	(NP*)))

           Teen	        NN	      S-NP	         O	              -	      S-A0	      B-A0	      B-A0	(S1(S(NP*)
        stabbed	       VBN	      S-VP	         O	        stabbed	       S-V	      I-A0	      I-A0	(VP*
         during	        IN	      S-PP	         O	              -	  B-AM-TMP	      I-A0	      I-A0	(PP*
          fight	        NN	      S-NP	         O	              -	  I-AM-TMP	      I-A0	      I-A0	(SBAR(S(NP(NP*)
             at	        IN	      S-PP	         O	              -	  I-AM-TMP	      I-A0	      I-A0	(PP*
         Queens	       NNP	      B-NP	     S-LOC	              -	  I-AM-TMP	      I-A0	      I-A0	(NP*
           high	        JJ	      I-NP	         O	              -	  I-AM-TMP	      I-A0	      I-A0	*
         school	        NN	      I-NP	         O	              -	  I-AM-TMP	      I-A0	      I-A0	*
        NEWLINE	       NNP	      I-NP	         O	              -	  I-AM-TMP	      I-A0	      I-A0	*
           Cops	       NNP	      E-NP	         O	              -	  I-AM-TMP	      E-A0	      E-A0	*)))
       arrested	       VBD	      S-VP	         O	       arrested	  I-AM-TMP	       S-V	         O	(VP(VP*
          Zidon	       NNP	      B-NP	     B-ORG	              -	  I-AM-TMP	      B-A1	         O	(NP*)
      Wednesday	       NNP	      E-NP	     E-ORG	              -	  E-AM-TMP	      E-A1	         O	(NP*))
            and	        CC	         O	         O	              -	         O	         O	         O	*
        charged	       VBD	      S-VP	         O	        charged	         O	         O	       S-V	(VP*
            him	       PRP	      S-NP	         O	              -	         O	         O	      S-A1	(NP*)
           with	        IN	      S-PP	         O	              -	         O	         O	      B-A2	(PP*
         murder	        NN	      B-NP	         O	              -	         O	         O	      I-A2	(NP(NP*
              ,	         ,	      I-NP	         O	              -	         O	         O	      I-A2	*
        assault	        NN	      I-NP	         O	              -	         O	         O	      I-A2	*
            and	        CC	      I-NP	         O	              -	         O	         O	      I-A2	*
       criminal	        JJ	      I-NP	         O	              -	         O	         O	      I-A2	*
     possession	        NN	      E-NP	         O	              -	         O	         O	      I-A2	*)
             of	        IN	      S-PP	         O	              -	         O	         O	      I-A2	(PP*
              a	        DT	      B-NP	         O	              -	         O	         O	      I-A2	(NP*
         weapon	        NN	      E-NP	         O	              -	         O	         O	      E-A2	*))))))))))
              .	         .	         O	         O	              -	         O	         O	         O	*))

