     2017-02-28	        CD	      S-NP	         O	              -	(S1(NP*))

        Several	        JJ	      S-NP	         O	              -	      B-A0	(S1(S(NP(NP(NP*)
             in	        IN	      S-PP	         O	              -	      I-A0	(PP*
        custody	        NN	      S-NP	         O	              -	      I-A0	(NP*)))
          after	        IN	      S-PP	         O	              -	      I-A0	(PP*
      Vicksburg	       NNP	      B-NP	     S-LOC	              -	      I-A0	(NP*
       shooting	        NN	      E-NP	         O	              -	      E-A0	*)))
        injures	       VBZ	      S-VP	         O	        injures	       S-V	(VP*
           teen	        NN	      B-NP	         O	              -	      B-A1	(NP(NP(NP*)
              -	         :	      I-NP	         O	              -	      I-A1	*
  MSNewsNow.com	       NNP	      I-NP	     S-PER	              -	      I-A1	(NP*)
              -	         :	      I-NP	         O	              -	      I-A1	*
        Jackson	       NNP	      E-NP	     S-PER	              -	      I-A1	(NP*))
              ,	         ,	         O	         O	              -	      I-A1	*
             MS	       NNP	      S-NP	         O	              -	      E-A1	(NP*)))))

      Vicksburg	       NNP	      B-NP	     B-ORG	              -	      B-A0	      B-A0	         O	         O	(S1(S(NP*
         Police	       NNP	      E-NP	     E-ORG	              -	      E-A0	      E-A0	         O	         O	*)
       continue	       VBP	      B-VP	         O	       continue	       S-V	         O	         O	         O	(VP*
             to	        TO	      I-VP	         O	              -	      B-A1	         O	         O	         O	(S(VP*
    investigate	        VB	      E-VP	         O	    investigate	      I-A1	       S-V	         O	         O	(VP*
              a	        DT	      B-NP	         O	              -	      I-A1	      B-A1	         O	         O	(NP*
       shooting	       VBG	      E-NP	         O	       shooting	      I-A1	      I-A1	       S-V	         O	*)
            the	        DT	      B-NP	         O	              -	      I-A1	      I-A1	      B-A1	         O	(NP(NP(NP*
       happened	       VBN	      E-NP	         O	       happened	      I-A1	      I-A1	      E-A1	       S-V	*)
           near	        IN	      S-PP	         O	              -	      I-A1	      I-A1	         O	  B-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	      I-A1	         O	  I-AM-LOC	(NP(NP*
   intersection	        NN	      E-NP	         O	              -	      I-A1	      I-A1	         O	  I-AM-LOC	*)
             of	        IN	      S-PP	         O	              -	      I-A1	      I-A1	         O	  I-AM-LOC	(PP*
         Bowmar	       NNP	      B-NP	     B-LOC	              -	      I-A1	      I-A1	         O	  I-AM-LOC	(NP*
         Avenue	       NNP	      E-NP	     E-LOC	              -	      I-A1	      I-A1	         O	  I-AM-LOC	*)))))
            and	        CC	         O	         O	              -	      I-A1	      I-A1	         O	  I-AM-LOC	*
       Drummond	       NNP	      B-NP	     B-LOC	              -	      I-A1	      I-A1	         O	  I-AM-LOC	(NP*
         Street	       NNP	      E-NP	     E-LOC	              -	      E-A1	      E-A1	         O	  E-AM-LOC	*
              .	         .	         O	         O	              -	         O	         O	         O	         O	*
        NEWLINE	       NNP	         O	     S-LOC	              -	      S-A1	         O	         O	         O	*))))))))

             An	        DT	      B-NP	         O	              -	      B-A1	      B-A0	(S1(S(NP*
        NEWLINE	       NNP	         O	     S-ORG	              -	      S-A0	(NP*)))

         Anyone	        NN	      S-NP	         O	              -	      B-A2	      B-A0	(S1(S(NP(NP*)
           with	        IN	      S-PP	         O	              -	      I-A2	      I-A0	(PP*
            any	        DT	      B-NP	         O	              -	      I-A2	      I-A0	(NP(NP*
    information	        NN	      E-NP	         O	              -	      I-A2	      I-A0	*)
             on	        IN	      S-PP	         O	              -	      I-A2	      I-A0	(PP*
           this	        DT	      B-NP	         O	              -	      I-A2	      I-A0	(NP*
       incident	        NN	      E-NP	         O	              -	      E-A2	      E-A0	*)))))
             is	       VBZ	      B-VP	         O	              -	         O	         O	(VP*
          asked	       VBN	      E-VP	         O	          asked	       S-V	         O	(VP*
             to	        TO	      B-VP	         O	              -	      B-A1	         O	(S(VP*
        contact	        VB	      E-VP	         O	        contact	      I-A1	       S-V	(VP*
            the	        DT	      B-NP	         O	              -	      I-A1	      B-A1	(NP(NP(NP*
       Criminal	       NNP	      I-NP	     B-ORG	              -	      I-A1	      I-A1	*
  Investigation	       NNP	      I-NP	     I-ORG	              -	      I-A1	      I-A1	*
       Division	       NNP	      E-NP	     I-ORG	              -	      I-A1	      I-A1	*)
             of	        IN	      S-PP	     I-ORG	              -	      I-A1	      I-A1	(PP*
            the	        DT	      B-NP	     I-ORG	              -	      I-A1	      I-A1	(NP*
         Police	       NNP	      I-NP	     I-ORG	              -	      I-A1	      I-A1	*
     Department	       NNP	      I-NP	     E-ORG	              -	      I-A1	      I-A1	*)))
             or	        CC	      I-NP	         O	              -	      I-A1	      I-A1	*
  CrimeStoppers	       NNP	      E-NP	     S-ORG	              -	      I-A1	      E-A1	(NP(NP*)
             at	        IN	      S-PP	         O	              -	      I-A1	      B-A3	(PP*
            601	        CD	      S-NP	         O	              -	      I-A1	      I-A3	(NP*))
              -	         :	         O	         O	              -	      I-A1	      I-A3	(PP*
      355-TIPS.	       NNP	      B-NP	         O	              -	      I-A1	      I-A3	(NP*
        NEWLINE	       NNP	      I-NP	         O	              -	      I-A1	      I-A3	*
      Copyright	       NNP	      I-NP	         O	              -	      I-A1	      I-A3	*
           2017	        CD	      I-NP	         O	              -	      I-A1	      I-A3	*
      MSNewsNow	       NNP	      E-NP	     S-PER	              -	      E-A1	      E-A3	*)))))))))
              .	         .	         O	         O	              -	         O	         O	*))

            All	        DT	      B-NP	         O	              -	      B-A1	(S1(NP*
         rights	       NNS	      E-NP	         O	              -	      E-A1	*
       reserved	       VBN	      S-VP	         O	       reserved	       S-V	*))

