     2017-03-19	        CD	      S-NP	         O	              -	(S1(NP*))

              7	        CD	      S-NP	         O	              -	      S-A1	(S1(ADJP(NP*)
        wounded	       VBN	      S-VP	         O	        wounded	       S-V	*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
           city	        NN	      B-NP	         O	              -	  I-AM-LOC	(NP*
      shootings	       NNS	      E-NP	         O	              -	  E-AM-LOC	*))))

          Seven	        CD	      B-NP	         O	              -	      B-A1	(S1(S(NP*
         people	       NNS	      E-NP	         O	              -	      E-A1	*)
           were	       VBD	      B-VP	         O	              -	         O	(VP*
        wounded	       VBN	      E-VP	         O	        wounded	       S-V	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-TMP	(PP*
      shootings	       NNS	      S-NP	         O	              -	  I-AM-TMP	(NP(NP*)
           from	        IN	      S-PP	         O	              -	  I-AM-TMP	(PP*
         Sunday	       NNP	      S-NP	         O	              -	  I-AM-TMP	(NP*))
             to	        TO	      S-PP	         O	              -	  I-AM-TMP	(PP*
          early	        JJ	      B-NP	         O	              -	  I-AM-TMP	(NP*
         Monday	       NNP	      E-NP	         O	              -	  E-AM-TMP	*))
             on	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	(NP(NP*
           city	        NN	      E-NP	         O	              -	  I-AM-LOC	*
             's	       POS	      B-NP	         O	              -	  I-AM-LOC	*)
           West	       NNP	      E-NP	     S-LOC	              -	  I-AM-LOC	(ADJP*
            and	        CC	         O	         O	              -	  I-AM-LOC	*
      Northwest	       NNP	      B-NP	     S-LOC	              -	  I-AM-LOC	*)
           side	        NN	      E-NP	         O	              -	  E-AM-LOC	*))))
              ,	         ,	         O	         O	              -	         O	*
      according	       VBG	      S-PP	         O	              -	         O	(PP*
             to	        TO	      S-PP	         O	              -	         O	(PP*
        Chicago	       NNP	      B-NP	     S-LOC	              -	         O	(NP*
         police	        NN	      I-NP	         O	              -	         O	*
              .	         .	      I-NP	         O	              -	         O	*
        NEWLINE	       NNP	      E-NP	     S-ORG	              -	         O	*)))))))

             In	        IN	      S-PP	         O	              -	  B-AM-LOC	      B-A1	(S1(S(PP*
              A	        DT	      B-NP	         O	              -	      B-A1	         O	(S1(S(S(NP*
        29-year	        JJ	      I-NP	         O	              -	      I-A1	         O	(ADJP*
              -	         :	      I-NP	         O	              -	      I-A1	         O	*
            old	        JJ	      I-NP	         O	              -	      I-A1	         O	*)
            man	        NN	      E-NP	         O	              -	      E-A1	         O	*)
            was	       VBD	      B-VP	         O	              -	         O	         O	(VP*
           shot	       VBN	      E-VP	         O	           shot	       S-V	         O	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-TMP	         O	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-TMP	         O	(NP*
          right	        JJ	      I-NP	         O	              -	  I-AM-TMP	         O	*
            leg	        NN	      I-NP	         O	              -	  I-AM-TMP	         O	*
            and	        CC	      I-NP	         O	              -	  I-AM-TMP	         O	*
       buttocks	       NNS	      E-NP	         O	              -	  E-AM-TMP	         O	*)))))
              ,	         ,	         O	         O	              -	         O	         O	*
            and	        CC	         O	         O	              -	         O	         O	*
              a	        DT	      B-NP	         O	              -	         O	      B-A1	(S(NP*
        33-year	        JJ	      I-NP	         O	              -	         O	      I-A1	(ADJP*
              -	         :	      I-NP	         O	              -	         O	      I-A1	*
            old	        JJ	      I-NP	         O	              -	         O	      I-A1	*)
            man	        NN	      E-NP	         O	              -	         O	      E-A1	*)
            was	       VBD	      B-VP	         O	              -	         O	         O	(VP*
           shot	       VBN	      E-VP	         O	           shot	         O	       S-V	(VP*
             in	        IN	      S-PP	         O	              -	         O	  B-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	         O	  I-AM-LOC	(NP*
           left	        JJ	      I-NP	         O	              -	         O	  I-AM-LOC	*
            leg	        NN	      E-NP	         O	              -	         O	  E-AM-LOC	*)))))
              .	         .	         O	         O	              -	         O	         O	*))

          Their	      PRP$	      B-NP	         O	              -	      B-A1	(S1(S(NP*
     conditions	       NNS	      E-NP	         O	              -	      E-A1	*)
           were	       VBD	      B-VP	         O	              -	         O	(VP*
     stabilized	       VBN	      E-VP	         O	     stabilized	       S-V	(VP*
             at	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
       Illinois	       NNP	      B-NP	     B-LOC	              -	  I-AM-LOC	(NP*
        Masonic	       NNP	      I-NP	     I-LOC	              -	  I-AM-LOC	*
        Medical	       NNP	      I-NP	     I-LOC	              -	  I-AM-LOC	*
         Center	       NNP	      E-NP	     E-LOC	              -	  E-AM-LOC	*))))
              .	         .	         O	         O	              -	         O	*))

         Police	       NNS	      S-NP	         O	              -	      S-A0	         O	(S1(S(NP*)
            did	       VBD	      B-VP	         O	              -	         O	         O	(VP*
            not	        RB	      I-VP	         O	              -	  S-AM-NEG	         O	*
        release	        VB	      E-VP	         O	        release	       S-V	         O	(VP*
            any	        DT	      B-NP	         O	              -	      B-A1	         O	(NP(NP*
          other	        JJ	      I-NP	         O	              -	      I-A1	         O	*
        details	       NNS	      E-NP	         O	              -	      I-A1	         O	*)
          about	        IN	      S-PP	         O	              -	      I-A1	         O	(PP*
            how	       WRB	    S-ADVP	         O	              -	      I-A1	S-R-AM-MNR	(SBAR(WHADVP*)
            the	        DT	      B-NP	         O	              -	      I-A1	      B-A1	(S(NP*
       shooting	        NN	      E-NP	         O	              -	      I-A1	      E-A1	*)
       happened	       VBD	      S-VP	         O	       happened	      E-A1	       S-V	(VP*)))))))
              .	         .	         O	         O	              -	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	         O	(NP*)))

          About	        IN	      B-NP	         O	              -	  B-AM-TMP	      B-A1	(S1(S(PP(NP(NP(NP(NP*
           5:30	        CD	      I-NP	         O	              -	  I-AM-TMP	      I-A1	*
           p.m.	        NN	      I-NP	         O	              -	  E-AM-TMP	      I-A1	*)
         Sunday	       NNP	      E-NP	         O	              -	  S-AM-TMP	      I-A1	(NP*)
             on	        IN	      S-PP	         O	              -	  B-AM-LOC	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	      I-A1	(NP*
           West	       NNP	      I-NP	     B-LOC	              -	  I-AM-LOC	      I-A1	*
           Side	       NNP	      E-NP	     E-LOC	              -	  E-AM-LOC	      I-A1	*)))
              ,	         ,	         O	         O	              -	         O	      I-A1	*
              a	        DT	      B-NP	         O	              -	      B-A1	      I-A1	(NP*
        20-year	        JJ	      I-NP	         O	              -	      I-A1	      I-A1	(ADJP*
              -	         :	      I-NP	         O	              -	      I-A1	      I-A1	*
            old	        JJ	      I-NP	         O	              -	      I-A1	      I-A1	*)
            man	        NN	      E-NP	         O	              -	      E-A1	      I-A1	*))
            was	       VBD	      B-VP	         O	              -	         O	      I-A1	*
           shot	       VBN	      E-VP	         O	           shot	       S-V	      I-A1	(VP*
          about	        IN	      S-PP	         O	              -	  B-AM-TMP	      I-A1	(PP*
           5:30	        CD	      B-NP	         O	              -	  I-AM-TMP	      I-A1	(NP*
           p.m.	        NN	      E-NP	         O	              -	  E-AM-TMP	      I-A1	*))
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	      I-A1	(NP(NP*
            300	        CD	      I-NP	         O	              -	  I-AM-LOC	      I-A1	*
          block	        NN	      E-NP	         O	              -	  I-AM-LOC	      I-A1	*)
             of	        IN	      S-PP	         O	              -	  I-AM-LOC	      I-A1	(PP*
          North	       NNP	      B-NP	     B-LOC	              -	  I-AM-LOC	      I-A1	(NP(NP*
            St.	       NNP	      I-NP	     I-LOC	              -	  I-AM-LOC	      I-A1	*
          Louis	       NNP	      I-NP	     I-LOC	              -	  I-AM-LOC	      I-A1	*
         Avenue	       NNP	      E-NP	     E-LOC	              -	  E-AM-LOC	      I-A1	*)
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	      I-A1	(NP*
           East	       NNP	      I-NP	     B-LOC	              -	  I-AM-LOC	      I-A1	*
       Garfield	       NNP	      I-NP	     I-LOC	              -	  I-AM-LOC	      I-A1	*
           Park	       NNP	      I-NP	     E-LOC	              -	  I-AM-LOC	      I-A1	*
   neighborhood	        NN	      E-NP	         O	              -	  E-AM-LOC	      E-A1	*))))))))
              ,	         ,	         O	         O	              -	         O	         O	*)
         police	       NNS	      S-NP	         O	              -	         O	      S-A0	(NP*)
           said	       VBD	      S-VP	         O	           said	         O	       S-V	(VP*)
              .	         .	         O	         O	              -	         O	         O	*))

             He	       PRP	      S-NP	         O	              -	      S-A0	         O	         O	         O	      B-A1	(S1(S(S(NP*)
           told	       VBD	      S-VP	         O	           told	       S-V	         O	         O	         O	      I-A1	(VP*
         police	        NN	      S-NP	         O	              -	      S-A2	         O	         O	         O	      I-A1	(NP(NP*)
             he	       PRP	      S-NP	         O	              -	      B-A1	      S-A1	         O	      S-A0	      I-A1	(SBAR(S(NP*)
            was	       VBD	      B-VP	         O	              -	      I-A1	         O	         O	         O	      I-A1	(VP*
           shot	       VBN	      E-VP	         O	           shot	      I-A1	       S-V	         O	         O	      I-A1	(VP*
           when	       WRB	    S-ADVP	         O	              -	      I-A1	  B-AM-TMP	         O	         O	      I-A1	(SBAR(WHADVP*)
        someone	        NN	      S-NP	         O	              -	      I-A1	  I-AM-TMP	      B-A0	      B-A0	      I-A1	(S(NP(NP*)
         inside	        IN	      S-PP	         O	              -	      I-A1	  I-AM-TMP	      I-A0	      I-A0	      I-A1	(PP*
              a	        DT	      B-NP	         O	              -	      I-A1	  I-AM-TMP	      I-A0	      I-A0	      I-A1	(NP*
        vehicle	        NN	      E-NP	         O	              -	      I-A1	  I-AM-TMP	      E-A0	      E-A0	      I-A1	*)))
         opened	       VBN	      S-VP	         O	         opened	      I-A1	  I-AM-TMP	       S-V	         O	      I-A1	(VP(VP*
           fire	        NN	      S-NP	         O	              -	      I-A1	  I-AM-TMP	      S-A1	         O	      I-A1	(NP*))
            and	        CC	         O	         O	              -	      I-A1	  I-AM-TMP	         O	         O	      I-A1	*
            hit	       VBD	      S-VP	         O	            hit	      I-A1	  I-AM-TMP	         O	       S-V	      I-A1	(VP*
            him	       PRP	      S-NP	         O	              -	      E-A1	  E-AM-TMP	         O	      S-A1	      E-A1	(NP*))))))))))))
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	         O	*
         police	       NNS	      S-NP	         O	              -	         O	         O	         O	         O	      S-A0	(NP*)
           said	       VBD	      S-VP	         O	           said	         O	         O	         O	         O	       S-V	(VP*)
              .	         .	         O	         O	              -	         O	         O	         O	         O	         O	*))

             He	       PRP	      S-NP	         O	              -	      S-A1	(S1(S(NP*)
            was	       VBD	      B-VP	         O	              -	         O	(VP*
        treated	       VBN	      E-VP	         O	        treated	       S-V	(VP*
             at	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
          Mount	       NNP	      B-NP	     B-LOC	              -	  I-AM-LOC	(NP*
          Sinai	       NNP	      I-NP	     I-LOC	              -	  I-AM-LOC	*
       Hospital	       NNP	      E-NP	     E-LOC	              -	  E-AM-LOC	*))
            for	        IN	      S-PP	         O	              -	  B-AM-CAU	(PP*
        gunshot	        NN	      B-NP	         O	              -	  I-AM-CAU	(NP(NP*
         wounds	       NNS	      E-NP	         O	              -	  I-AM-CAU	*)
             to	        TO	      S-PP	         O	              -	  I-AM-CAU	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-CAU	(NP*
            arm	        NN	      I-NP	         O	              -	  I-AM-CAU	*
            and	        CC	      I-NP	         O	              -	  I-AM-CAU	*
            leg	        NN	      E-NP	         O	              -	  E-AM-CAU	*
              .	         .	         O	         O	              -	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	*))))))))

          About	        IN	      S-PP	         O	              -	  B-AM-TMP	      B-A1	(S1(S(PP(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-TMP	      I-A1	(NP*
           same	        JJ	      I-NP	         O	              -	  I-AM-TMP	      I-A1	*
           time	        NN	      E-NP	         O	              -	  I-AM-TMP	      I-A1	*))
            and	        CC	         O	         O	              -	  I-AM-TMP	      I-A1	*
             in	        IN	      S-PP	         O	              -	  I-AM-TMP	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-TMP	      I-A1	(NP*
           same	        JJ	      I-NP	         O	              -	  I-AM-TMP	      I-A1	*
   neighborhood	        NN	      E-NP	         O	              -	  E-AM-TMP	      I-A1	*)))
              ,	         ,	         O	         O	              -	         O	      I-A1	*
          three	        CD	      B-NP	         O	              -	      B-A1	      I-A1	(NP(NP*
          males	       NNS	      I-NP	         O	              -	      I-A1	      I-A1	*
           ages	       NNS	      I-NP	         O	              -	      I-A1	      I-A1	*
             17	        CD	      I-NP	         O	              -	      I-A1	      I-A1	*
              ,	         ,	      I-NP	         O	              -	      I-A1	      I-A1	*
             18	        CD	      I-NP	         O	              -	      I-A1	      I-A1	*
            and	        CC	      I-NP	         O	              -	      I-A1	      I-A1	*
             22	        CD	      E-NP	         O	              -	      I-A1	      I-A1	*)
              ,	         ,	         O	         O	              -	      E-A1	      I-A1	*)
           were	       VBD	      B-VP	         O	              -	         O	      I-A1	(VP*
           shot	       VBN	      E-VP	         O	           shot	       S-V	      I-A1	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	      I-A1	(NP(NP*
           3200	        CD	      I-NP	         O	              -	  I-AM-LOC	      I-A1	*
          block	        NN	      E-NP	         O	              -	  I-AM-LOC	      I-A1	*)
             of	        IN	      S-PP	         O	              -	  I-AM-LOC	      I-A1	(PP*
           West	       NNP	      B-NP	     B-LOC	              -	  I-AM-LOC	      I-A1	(NP*
        Maypole	       NNP	      I-NP	     I-LOC	              -	  I-AM-LOC	      I-A1	*
         Avenue	       NNP	      E-NP	     E-LOC	              -	  E-AM-LOC	      E-A1	*))))))
              ,	         ,	         O	         O	              -	         O	         O	*
         police	        NN	      S-NP	         O	              -	         O	      S-A0	*
           said	       VBD	      S-VP	         O	           said	         O	       S-V	(VP*)
              .	         .	         O	         O	              -	         O	         O	*))

            The	        DT	      B-NP	         O	              -	      B-A0	      B-A0	      B-A1	(S1(S(S(NP(NP*
         gunman	        NN	      E-NP	         O	              -	      I-A0	      I-A0	      I-A1	*)
              ,	         ,	         O	         O	              -	      I-A0	      I-A0	      I-A1	*
            who	        WP	      S-NP	         O	              -	      I-A0	      I-A0	      I-A1	(SBAR(WHNP*)
            was	       VBD	      S-VP	         O	              -	      I-A0	      I-A0	      I-A1	(S(VP*
             in	        IN	      S-PP	         O	              -	      I-A0	      I-A0	      I-A1	(PP*
              a	        DT	      B-NP	         O	              -	      I-A0	      I-A0	      I-A1	(NP*
           dark	        JJ	      I-NP	         O	              -	      I-A0	      I-A0	      I-A1	*
              -	         :	      I-NP	         O	              -	      I-A0	      I-A0	      I-A1	*
        colored	       VBN	      I-NP	         O	              -	      I-A0	      I-A0	      I-A1	*
            SUV	        NN	      E-NP	     S-ORG	              -	      I-A0	      I-A0	      I-A1	*)))))
              ,	         ,	         O	         O	              -	      E-A0	      E-A0	      I-A1	*)
         opened	       VBD	      S-VP	         O	         opened	       S-V	         O	      I-A1	(VP(VP*
           fire	        NN	      S-NP	         O	              -	      S-A1	         O	      I-A1	(NP*))
            and	        CC	         O	         O	              -	         O	         O	      I-A1	*
            hit	       VBD	      S-VP	         O	            hit	         O	       S-V	      I-A1	(VP*
            the	        DT	      B-NP	         O	              -	         O	      B-A1	      I-A1	(NP*
        17-year	        JJ	      E-NP	         O	              -	         O	      I-A1	      I-A1	*)
              -	         :	         O	         O	              -	         O	      I-A1	      I-A1	*
            old	        JJ	    S-ADJP	         O	              -	         O	      E-A1	      I-A1	(UCP(ADJP*
             in	        IN	      S-PP	         O	              -	         O	  B-AM-TMP	      I-A1	(PP*
            his	      PRP$	      B-NP	         O	              -	         O	  I-AM-TMP	      I-A1	(NP*
           foot	        NN	      E-NP	         O	              -	         O	  I-AM-TMP	      I-A1	*)))
              ,	         ,	         O	         O	              -	         O	  I-AM-TMP	      I-A1	*
            the	        DT	      B-NP	         O	              -	         O	  I-AM-TMP	      I-A1	(NP*
        18-year	        JJ	      E-NP	         O	              -	         O	  I-AM-TMP	      I-A1	*)
              -	         :	         O	         O	              -	         O	  I-AM-TMP	      I-A1	*
            old	        JJ	    S-ADJP	         O	              -	         O	  I-AM-TMP	      I-A1	(ADJP*
             in	        IN	      S-PP	         O	              -	         O	  I-AM-TMP	      I-A1	(PP*
            his	      PRP$	      B-NP	         O	              -	         O	  I-AM-TMP	      I-A1	(NP*
          ankle	        NN	      E-NP	         O	              -	         O	  I-AM-TMP	      I-A1	*)))
            and	        CC	         O	         O	              -	         O	  I-AM-TMP	      I-A1	*
            the	        DT	      B-NP	         O	              -	         O	  I-AM-TMP	      I-A1	(NP*
        22-year	        JJ	      E-NP	         O	              -	         O	  I-AM-TMP	      I-A1	*)
              -	         :	         O	         O	              -	         O	  I-AM-TMP	      I-A1	*
            old	        JJ	    S-ADJP	         O	              -	         O	  I-AM-TMP	      I-A1	(ADJP*
             to	        TO	      S-PP	         O	              -	         O	  I-AM-TMP	      I-A1	(PP*
            his	      PRP$	      B-NP	         O	              -	         O	  I-AM-TMP	      I-A1	(NP*
            leg	        NN	      E-NP	         O	              -	         O	  E-AM-TMP	      E-A1	*)))))))
              ,	         ,	         O	         O	              -	         O	         O	         O	*
         police	       NNS	      S-NP	         O	              -	         O	         O	      S-A0	(NP*)
           said	       VBD	      S-VP	         O	           said	         O	         O	       S-V	(VP*)
              .	         .	         O	         O	              -	         O	         O	         O	*))

         Police	       NNS	      S-NP	         O	              -	      S-A0	         O	(S1(S(NP*)
           said	       VBD	      S-VP	         O	           said	       S-V	         O	(VP*
            all	        DT	      S-NP	         O	              -	      B-A1	      S-A1	(SBAR(S(NP*)
           were	       VBD	      B-VP	         O	              -	      I-A1	         O	(VP*
         listed	       VBN	      E-VP	         O	         listed	      I-A1	       S-V	(VP*
             in	        IN	      S-PP	         O	              -	      I-A1	      B-A2	(PP*
           good	        JJ	      B-NP	         O	              -	      I-A1	      I-A2	(NP*
      condition	        NN	      E-NP	         O	              -	      I-A1	      I-A2	*))
             at	        IN	      S-PP	         O	              -	      I-A1	      I-A2	(PP*
          Mount	       NNP	      B-NP	     B-LOC	              -	      I-A1	      I-A2	(NP(NP*
          Sinai	       NNP	      I-NP	     I-LOC	              -	      I-A1	      I-A2	*
       Hospital	       NNP	      E-NP	     E-LOC	              -	      E-A1	      E-A2	*)
              ,	         ,	         O	         O	              -	         O	         O	*
            but	        CC	         O	         O	              -	         O	         O	*
        Chicago	       NNP	      B-NP	     B-ORG	              -	         O	         O	(NP*
           Fire	       NNP	      I-NP	     I-ORG	              -	         O	         O	*
     Department	       NNP	      I-NP	     I-ORG	              -	         O	         O	*
           Cmdr	       NNP	      E-NP	     E-ORG	              -	         O	         O	*))))))))
              .	         .	         O	         O	              -	         O	         O	*))

         Curtis	       NNP	      B-NP	     B-PER	              -	      B-A0	(S1(S(NP*
         Hudson	       NNP	      E-NP	     E-PER	              -	      E-A0	*)
            put	       VBD	      S-VP	         O	            put	       S-V	(VP*
            the	        DT	      B-NP	         O	              -	      B-A1	(NP(NP*
         oldest	       JJS	      I-NP	         O	              -	      I-A1	*
         victim	        NN	      E-NP	         O	              -	      I-A1	*
             's	       POS	      B-NP	         O	              -	      I-A1	*)
      condition	        NN	      E-NP	         O	              -	      E-A1	*)
             at	        IN	      S-PP	         O	              -	      B-A2	(PP*
        serious	        JJ	    S-ADJP	         O	              -	      I-A2	(ADJP*
             to	        TO	      S-PP	         O	              -	      I-A2	(PP*
       critical	        JJ	      B-NP	         O	              -	      E-A2	(NP*
              .	         .	      I-NP	         O	              -	         O	*
        NEWLINE	       NNP	      E-NP	     S-ORG	              -	         O	*)))))))

             On	        IN	      S-PP	         O	              -	  B-AM-LOC	         O	(S1(S(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	         O	(NP*
      Northwest	       NNP	      I-NP	     B-LOC	              -	  I-AM-LOC	         O	*
           Side	       NNP	      E-NP	     E-LOC	              -	  E-AM-LOC	         O	*))
              ,	         ,	         O	         O	              -	         O	         O	*
             an	        DT	      B-NP	         O	              -	      B-A1	         O	(NP*
         arrest	        NN	      E-NP	         O	              -	      E-A1	         O	*)
            was	       VBD	      B-VP	         O	              -	         O	         O	(VP*
           made	       VBN	      E-VP	         O	           made	       S-V	         O	(VP*
          after	        IN	      S-PP	         O	              -	  B-AM-TMP	         O	(SBAR*
              a	        DT	      B-NP	         O	              -	  I-AM-TMP	      B-A1	(S(NP*
            man	        NN	      E-NP	         O	              -	  I-AM-TMP	      E-A1	*)
            was	       VBD	      B-VP	         O	              -	  I-AM-TMP	         O	(VP*
           shot	       VBN	      E-VP	         O	           shot	  I-AM-TMP	       S-V	(NP(ADJP*
            and	        CC	         O	         O	              -	  I-AM-TMP	         O	*
     critically	        RB	      B-VP	         O	              -	  I-AM-TMP	         O	(ADJP*
        wounded	       VBN	      E-VP	         O	              -	  I-AM-TMP	         O	*))
         Sunday	       NNP	      B-NP	         O	              -	  I-AM-TMP	  B-AM-TMP	*
        morning	        NN	      E-NP	         O	              -	  I-AM-TMP	  E-AM-TMP	*)
             in	        IN	      S-PP	         O	              -	  I-AM-TMP	  B-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-TMP	  I-AM-LOC	(NP*
         Albany	       NNP	      I-NP	     B-LOC	              -	  I-AM-TMP	  I-AM-LOC	*
           Park	       NNP	      I-NP	     E-LOC	              -	  I-AM-TMP	  I-AM-LOC	*
   neighborhood	        NN	      E-NP	         O	              -	  E-AM-TMP	  E-AM-LOC	*)))))))
              .	         .	         O	         O	              -	         O	         O	*))

         Police	       NNS	      S-NP	         O	              -	      S-A1	         O	(S1(S(NP*)
           were	       VBD	      B-VP	         O	              -	         O	         O	(VP*
         called	       VBN	      E-VP	         O	         called	       S-V	         O	(VP*
             to	        TO	      S-PP	         O	              -	      B-A2	         O	(PP*
            the	        DT	      B-NP	         O	              -	      I-A2	         O	(NP(NP*
           3600	        CD	      I-NP	         O	              -	      I-A2	         O	*
          block	        NN	      E-NP	         O	              -	      I-A2	         O	*)
             of	        IN	      S-PP	         O	              -	      I-A2	         O	(PP*
           West	       NNP	      B-NP	     B-LOC	              -	      I-A2	         O	(NP*
      Sunnyside	       NNP	      I-NP	     I-LOC	              -	      I-A2	         O	*
         Avenue	       NNP	      E-NP	     E-LOC	              -	      E-A2	         O	*))))
          about	        IN	      S-PP	         O	              -	  B-AM-TMP	  B-AM-TMP	(PP*
             11	        CD	      B-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	(NP(NP*
           a.m.	        NN	      E-NP	         O	              -	  I-AM-TMP	  E-AM-TMP	*)
              ,	         ,	         O	         O	              -	  I-AM-TMP	         O	*
          where	       WRB	    S-ADVP	         O	              -	  I-AM-TMP	S-R-AM-LOC	(SBAR(WHADVP*)
           they	       PRP	      S-NP	         O	              -	  I-AM-TMP	      S-A0	(S(NP*)
          found	       VBD	      S-VP	         O	          found	  I-AM-TMP	       S-V	(VP*
